latitude,tech,fuel,node,longitude,status,unit,zone,ave_marg_damages_isrm_LePeule,Generation (MWh) Unadjusted,Generation (MWh),aq_costs,Specification
41.209797,Oil,Oil,6,-73.108976,Existing,Existing Oil 3,CT,21.94525142,667.8,60101.99999999989,521954.6880102916,MO OPOI
41.283997,Oil,Oil,6,-72.904323,Existing,Existing Oil 61,CT,49.37634365,1441.5,129734.99999999977,2535008.388829954,MO OPOI
41.2925,Oil,Oil,6,-72.7942,Existing,Existing Oil 1,CT,72.79641688,65.39999999999637,5885.999999999662,169563.97104295134,MO OPOI
41.3367,Oil,Oil,6,-72.02,Existing,Existing Oil 151,CT,133.6953449,-3.375077994860476e-14,-1.4770407119613076e-11,-1.2527000811568255e-09,MO OPOI
41.3469,Oil,Oil,6,-72.0411,Existing,Existing Oil 155,CT,133.6953449,-3.6415315207705135e-14,-1.5556445021047687e-11,-1.2909892485516037e-09,MO OPOI
41.362778,Oil,Oil,6,-72.0825,Existing,Existing Oil 149,CT,133.6953449,-2.1316282072803006e-14,-8.988365607365263e-12,-6.990865033896436e-10,MO OPOI
41.4281,Oil,Oil,6,-72.1019,Existing,Existing Oil 4,CT,131.7203012,268.83154348818175,24194.83891393631,1261184.915738088,MO OPOI
41.554944,Oil,Oil,6,-72.579075,Existing,Existing Oil 7,CT,19.18844466,1278.9753400183163,115107.78060164826,874073.1345050558,MO OPOI
41.5683,Oil,Oil,6,-72.2322,Existing,Existing Oil 154,CT,133.6953449,-2.220446049250313e-14,-9.294787162161806e-12,-8.38159590806597e-10,MO OPOI
41.5694,Oil,Oil,6,-72.1175,Existing,Existing Oil 153,CT,133.6953449,-2.3092638912203256e-14,-9.690026558928361e-12,-7.785016253801865e-10,MO OPOI
41.7103,Coal,Coal,8,-71.1931,Existing,Existing Coal 29,SEMA,60.37583423,3720.0,370199.9999999994,9130271.503695805,MO OPOI
41.7694,Oil,Oil,8,-70.5097,Existing,Existing Oil 27,SEMA,7.809595005,4690.920130307008,488818.42611593695,1585248.3614909507,MO OPOI
42.235,Oil,Oil,8,-70.9672,Existing,Existing Oil 37,SEMA,34.13986798,8.100000000000001,728.9999999999987,9849.012379810782,MO OPOI
42.336215,Oil,Oil,4,-73.235486,Existing,Existing Oil 35,WCMA,46.07783098,61.199999999999996,5507.99999999999,100435.96961360442,MO OPOI
42.4433,Oil,Oil,4,-73.2058,Existing,Existing Oil 31,WCMA,92.97915266,63.300000000000004,5696.99999999999,209621.16058851604,MO OPOI
43.0978,Coal,Coal,2,-70.7842,Existing,Existing Coal 46,NH,20.39510344,1042.3696913192782,123313.27221873486,1055472.444823872,MO OPOI
43.0978,Oil,Oil,2,-70.7842,Existing,Existing Oil 47,NH,20.39510344,63.599999999999994,5723.999999999989,46198.60427174178,MO OPOI
43.1,Oil,Oil,2,-70.790833,Existing,Existing Oil 67,NH,13.74748878,1242.0,111779.9999999998,608122.1144130868,MO OPOI
43.1411,Coal,Coal,2,-71.4692,Existing,Existing Coal 44,NH,105.4654119,1791.575566973555,196641.8010276195,8705227.594155027,MO OPOI
43.1411,Oil,Oil,2,-71.4692,Existing,Existing Oil 45,NH,105.4654119,74.39999999999955,6695.999999999948,279465.8950440517,MO OPOI
43.7508,Oil,Oil,1,-70.1567,Existing,Existing Oil 17,ME,44.16033273,1600.0,143999.99999999974,2516507.0228757267,MO OPOI
