unit,fuel,latitude,ave_marg_damages_isrm_LePeule,longitude,zone,tech,node,status,Generation (MWh) Unadjusted,Generation (MWh),aq_costs,Specification
Existing Coal 29,Coal,41.7103,60.37583423,-71.1931,SEMA,Coal,8,Existing,3720.0,370199.9999999994,9130271.503695805,MO OPOI
Existing Coal 44,Coal,43.1411,105.4654119,-71.4692,NH,Coal,2,Existing,1791.575566973555,196641.8010276195,8705227.594155027,MO OPOI
Existing Coal 46,Coal,43.0978,20.39510344,-70.7842,NH,Coal,2,Existing,1042.3696913192782,123313.27221873486,1055472.444823872,MO OPOI
Existing Oil 1,Oil,41.2925,72.79641688,-72.7942,CT,Oil,6,Existing,65.39999999999637,5885.999999999662,169563.97104295134,MO OPOI
Existing Oil 149,Oil,41.362778,133.6953449,-72.0825,CT,Oil,6,Existing,-2.1316282072803006e-14,-8.988365607365263e-12,-6.990865033896436e-10,MO OPOI
Existing Oil 151,Oil,41.3367,133.6953449,-72.02,CT,Oil,6,Existing,-3.375077994860476e-14,-1.4770407119613076e-11,-1.2527000811568255e-09,MO OPOI
Existing Oil 153,Oil,41.5694,133.6953449,-72.1175,CT,Oil,6,Existing,-2.3092638912203256e-14,-9.690026558928361e-12,-7.785016253801865e-10,MO OPOI
Existing Oil 154,Oil,41.5683,133.6953449,-72.2322,CT,Oil,6,Existing,-2.220446049250313e-14,-9.294787162161806e-12,-8.38159590806597e-10,MO OPOI
Existing Oil 155,Oil,41.3469,133.6953449,-72.0411,CT,Oil,6,Existing,-3.6415315207705135e-14,-1.5556445021047687e-11,-1.2909892485516037e-09,MO OPOI
Existing Oil 17,Oil,43.7508,44.16033273,-70.1567,ME,Oil,1,Existing,1600.0,143999.99999999974,2516507.0228757267,MO OPOI
Existing Oil 27,Oil,41.7694,7.809595005,-70.5097,SEMA,Oil,8,Existing,4690.920130307008,488818.42611593695,1585248.3614909507,MO OPOI
Existing Oil 3,Oil,41.209797,21.94525142,-73.108976,CT,Oil,6,Existing,667.8,60101.99999999989,521954.6880102916,MO OPOI
Existing Oil 31,Oil,42.4433,92.97915266,-73.2058,WCMA,Oil,4,Existing,63.300000000000004,5696.99999999999,209621.16058851604,MO OPOI
Existing Oil 35,Oil,42.336215,46.07783098,-73.235486,WCMA,Oil,4,Existing,61.199999999999996,5507.99999999999,100435.96961360442,MO OPOI
Existing Oil 37,Oil,42.235,34.13986798,-70.9672,SEMA,Oil,8,Existing,8.100000000000001,728.9999999999987,9849.012379810782,MO OPOI
Existing Oil 4,Oil,41.4281,131.7203012,-72.1019,CT,Oil,6,Existing,268.83154348818175,24194.83891393631,1261184.915738088,MO OPOI
Existing Oil 45,Oil,43.1411,105.4654119,-71.4692,NH,Oil,2,Existing,74.39999999999955,6695.999999999948,279465.8950440517,MO OPOI
Existing Oil 47,Oil,43.0978,20.39510344,-70.7842,NH,Oil,2,Existing,63.599999999999994,5723.999999999989,46198.60427174178,MO OPOI
Existing Oil 61,Oil,41.283997,49.37634365,-72.904323,CT,Oil,6,Existing,1441.5,129734.99999999977,2535008.388829954,MO OPOI
Existing Oil 67,Oil,43.1,13.74748878,-70.790833,NH,Oil,2,Existing,1242.0,111779.9999999998,608122.1144130868,MO OPOI
Existing Oil 7,Oil,41.554944,19.18844466,-72.579075,CT,Oil,6,Existing,1278.9753400183163,115107.78060164826,874073.1345050558,MO OPOI
