unit,tech,ave_marg_damages_isrm_LePeule,longitude,latitude,fuel,status,node,zone,Generation (MWh) Unadjusted,Generation (MWh),aq_costs,Specification
Existing NG-CC 1035,NG-CC,7.859726755,-75.422206,39.806687,Gas,Existing,5,PJM_EMAC,20054.461484985095,2892512.3074249243,18703611.2499088,SO X5
Existing NG-CC 1036,NG-CC,8.166343395,-75.422206,39.806687,Gas,Existing,5,PJM_EMAC,22011.54577075903,3007679.7288537933,20207008.798186406,SO X5
Existing NG-CC 1037,NG-CC,8.29786429,-75.422206,39.806687,Gas,Existing,5,PJM_EMAC,20054.461484985095,2892512.3074249243,19746237.079543423,SO X5
Existing NG-CC 1038,NG-CC,8.107978147,-75.422206,39.806687,Gas,Existing,5,PJM_EMAC,79500.95607622476,11812050.97838818,70221114.24491407,SO X5
Existing NG-CC 1042,NG-CC,1.316939942,-78.17795,38.97014,Gas,Existing,1,PJM_AP,110489.7042425683,18696567.784665883,15686633.59515759,SO X5
Existing NG-CC 1043,NG-CC,0.975389303,-78.17795,38.97014,Gas,Existing,1,PJM_AP,110489.7042425683,18696567.784665883,11618278.192368126,SO X5
Existing NG-CC 1044,NG-CC,1.269545686,-78.17795,38.97014,Gas,Existing,1,PJM_AP,110489.7042425683,18696567.784665883,15122100.38853464,SO X5
Existing NG-CC 1045,NG-CC,1.187291644,-78.17795,38.97014,Gas,Existing,1,PJM_AP,211504.34051147895,34164835.8194442,24778048.202799447,SO X5
Existing NG-CC 1050,NG-CC,10.20320074,-77.16722,39.86916,Gas,Existing,8,PJM_WMAC,22803.85821580488,3496716.488021412,29352132.29726319,SO X5
Existing NG-CC 1051,NG-CC,9.051536797,-77.1668,39.8729,Gas,Existing,8,PJM_WMAC,22803.85821580488,3496716.488021412,26039074.632485367,SO X5
Existing NG-CC 1052,NG-CC,10.33820225,-77.1668,39.8729,Gas,Existing,8,PJM_WMAC,22803.85821580488,3496716.488021412,29740498.877792735,SO X5
Existing NG-CC 1053,NG-CC,9.864313262,-77.16694,39.87165333,Gas,Existing,8,PJM_WMAC,137911.9458724056,21927021.39502602,139691763.6125278,SO X5
Existing NG-CC 1110,NG-CC,1.148221329,-78.2848,37.6961,Gas,Existing,4,PJM_Dom,58060.70231785526,8504100.09336425,7210112.454708336,SO X5
Existing NG-CC 1111,NG-CC,0.910301291,-78.2848,37.6961,Gas,Existing,4,PJM_Dom,58060.70231785526,8504100.09336425,5716123.28564938,SO X5
Existing NG-CC 1112,NG-CC,1.02926131,-78.2848,37.6961,Gas,Existing,4,PJM_Dom,123726.21486437967,19797409.710519228,12844281.223940207,SO X5
Existing NG-CC 1118,NG-CC,12.59769993,-75.220256,39.841001,Gas,Existing,5,PJM_EMAC,89689.1077395882,13007579.015278889,104390093.52233893,SO X5
Existing NG-CC 1119,NG-CC,12.56593167,-75.220256,39.841001,Gas,Existing,5,PJM_EMAC,89689.1077395882,13007579.015278889,104126847.71946466,SO X5
Existing NG-CC 1121,NG-CC,1.480886124,-75.49942,39.18717,Gas,Existing,5,PJM_EMAC,77909.06676464187,11418963.368338652,10799202.874711365,SO X5
Existing NG-CC 1122,NG-CC,1.480886124,-75.49942,39.18717,Gas,Existing,5,PJM_EMAC,55033.807612185316,8136645.266148759,7537075.764272751,SO X5
Existing NG-CC 1164,NG-CC,3.384191279,-77.71313,36.76479,Gas,Existing,4,PJM_Dom,135500.73104540928,22436670.61685383,49448361.9833094,SO X5
Existing NG-CC 1165,NG-CC,3.332454903,-77.71313,36.76479,Gas,Existing,4,PJM_Dom,135500.73104540928,22436670.61685383,48692412.08649726,SO X5
Existing NG-CC 1166,NG-CC,3.506924306,-77.71313,36.76479,Gas,Existing,4,PJM_Dom,135500.73104540928,22436670.61685383,51241684.71422686,SO X5
Existing NG-CC 1167,NG-CC,3.407856829,-77.71313,36.76479,Gas,Existing,4,PJM_Dom,284586.94913928164,44783938.211240955,94489062.01838993,SO X5
Existing NG-CC 125,NG-CC,95.1056135,-74.025002,40.8396,Gas,Existing,5,PJM_EMAC,18865.609608163388,2704079.760731818,211576998.96428567,SO X5
Existing NG-CC 126,NG-CC,94.45324995,-74.025002,40.8396,Gas,Existing,5,PJM_EMAC,18865.609608163744,2704079.7607318787,210125716.36315677,SO X5
Existing NG-CC 127,NG-CC,94.77943172,-74.025002,40.8396,Gas,Existing,5,PJM_EMAC,58407.73525621592,8334145.766602256,570733159.3662146,SO X5
Existing NG-CC 146,NG-CC,19.86409061,-74.211871,40.624411,Gas,Existing,5,PJM_EMAC,94832.73852016132,13949486.084339092,175501921.68881878,SO X5
Existing NG-CC 147,NG-CC,19.85026591,-74.211871,40.624411,Gas,Existing,5,PJM_EMAC,23980.987375731496,3521813.350039737,57514250.941676915,SO X5
Existing NG-CC 148,NG-CC,19.8779153,-74.211871,40.624411,Gas,Existing,5,PJM_EMAC,23980.987375731547,3521813.350039747,57594362.410312034,SO X5
Existing NG-CC 149,NG-CC,19.43511979,-74.211871,40.624411,Gas,Existing,5,PJM_EMAC,94832.73852016147,13949486.08433912,171711906.5939157,SO X5
Existing NG-CC 150,NG-CC,19.3843234,-74.211871,40.624411,Gas,Existing,5,PJM_EMAC,23980.987375731547,3521813.350039747,56164226.989049084,SO X5
Existing NG-CC 151,NG-CC,19.48591618,-74.211871,40.624411,Gas,Existing,5,PJM_EMAC,23980.987375731547,3521813.350039747,56458582.37296559,SO X5
Existing NG-CC 346,NG-CC,11.42180143,-76.070093,41.201997,Gas,Existing,8,PJM_WMAC,14372.959623699377,2172212.7981184865,18400617.748261895,SO X5
Existing NG-CC 347,NG-CC,10.61978306,-76.070093,41.201997,Gas,Existing,8,PJM_WMAC,14228.523501920401,2141607.617509601,16867768.5502252,SO X5
Existing NG-CC 379,NG-CC,1.86815888,-77.2786,38.5391,Gas,Existing,4,PJM_Dom,22051.866812565924,3690324.757821049,5671803.79895804,SO X5
Existing NG-CC 380,NG-CC,2.331999191,-77.2786,38.5391,Gas,Existing,4,PJM_Dom,22051.866812567412,3690324.757821257,7080041.217201838,SO X5
Existing NG-CC 381,NG-CC,2.100079035,-77.2786,38.5391,Gas,Existing,4,PJM_Dom,127672.82160071371,20418160.29635264,27581420.92401791,SO X5
Existing NG-CC 453,NG-CC,18.39028323,-75.50444433,39.74564767,Gas,Existing,5,PJM_EMAC,22348.021080339553,3108415.1054016887,47029486.014364265,SO X5
Existing NG-CC 457,NG-CC,10.12751862,-75.506389,39.74564767,Gas,Existing,5,PJM_EMAC,48151.08028124545,6979603.734624225,51171348.844959825,SO X5
Existing NG-CC 633,NG-CC,40.42742977,-75.118141,39.918222,Gas,Existing,5,PJM_EMAC,8382.580673983875,1258204.600007726,41847566.06813275,SO X5
Existing NG-CC 69,NG-CC,55.72897316,-76.527476,39.178421,Gas,Existing,7,PJM_SMAC,49929.11474342706,8768876.714642366,363440539.1435304,SO X5
Existing NG-CC 722,NG-CC,39.31088066,-74.168576,40.062369,Gas,Existing,5,PJM_EMAC,9430.6666664,1421692.8332859995,45979193.693560354,SO X5
Existing NG-CC 768,NG-CC,6.747324639,-78.2036,38.12417,Gas,Existing,4,PJM_Dom,6900.71861418476,1181250.5930709234,6557170.093910091,SO X5
Existing NG-CC 769,NG-CC,5.475829282,-78.205,38.12583,Gas,Existing,4,PJM_Dom,6846.406507843314,1169374.3415011817,5268006.0351903895,SO X5
Existing NG-CC 790,NG-CC,13.75738347,-88.25838,41.48058,Gas,Existing,3,PJM_COMD,38392.24943062575,7005287.300719011,79287476.89574827,SO X5
Existing NG-CC 791,NG-CC,10.95323383,-88.25748,41.4806,Gas,Existing,3,PJM_COMD,38392.24943062575,7005287.300719011,63126413.254645824,SO X5
Existing NG-CC 792,NG-CC,13.69802891,-88.25705,41.48061,Gas,Existing,3,PJM_COMD,38392.24943062575,7005287.300719011,78945400.70699336,SO X5
