unit,tech,ave_marg_damages_isrm_LePeule,longitude,latitude,fuel,status,node,zone,Generation (MWh) Unadjusted,Generation (MWh),aq_costs,Specification
Existing NG-CT 697,NG-CT,20.95150623,-77.4462,37.8203,Gas,Existing,4,PJM_Dom,170.0,36550.0,630007.0877517082,SO X5
Existing NG-CT 7,NG-CT,14.05763666,-84.1025,37.8824,Gas,Existing,9,PJM_West,7.333333199999998,1576.6666379999997,18234.547729349597,SO X5
Existing NG-CT 780,NG-CT,234.6815277,-88.23873,42.09291,Gas,Existing,3,PJM_COMD,8.481731667217084e-14,6.490583985358995e-11,1.2531569996856892e-08,SO X5
Existing NG-CT 784,NG-CT,37.49352264,-84.4634,39.4523,Gas,Existing,9,PJM_West,69.0,14835.0,457600.6156812439,SO X5
Existing NG-CT 787,NG-CT,35.91010846,-84.4634,39.4523,Gas,Existing,9,PJM_West,72.0,15480.0,457330.8273493451,SO X5
Existing NG-CT 788,NG-CT,34.48586393,-84.4634,39.4523,Gas,Existing,9,PJM_West,73.0,15695.0,445292.34990058665,SO X5
Existing NG-CT 8,NG-CT,13.85084452,-84.1025,37.8824,Gas,Existing,9,PJM_West,138.69969980781644,29820.435458680535,291851.0264137874,SO X5
Existing NG-CT 811,NG-CT,14.05035147,-79.76719,40.54409,Gas,Existing,1,PJM_AP,7.815970093361103e-14,1.0835776720341521e-11,1.2525354877545242e-10,SO X5
Existing NG-CT 812,NG-CT,13.17971833,-79.76719,40.54409,Gas,Existing,1,PJM_AP,7.105427357601002e-15,3.5527136788004227e-14,3.852202783303472e-13,SO X5
Existing NG-CT 818,NG-CT,24.0886921,-88.12379,41.43743,Gas,Existing,3,PJM_COMD,10.601434932439185,2279.3085104744246,45170.940840269664,SO X5
Existing NG-CT 819,NG-CT,22.42913649,-88.1238,41.43779,Gas,Existing,3,PJM_COMD,10.601434932439185,2279.3085104744246,42058.95418822359,SO X5
Existing NG-CT 820,NG-CT,23.24774369,-88.12386,41.43884,Gas,Existing,3,PJM_COMD,10.601434932439185,2279.3085104744246,43594.00047671091,SO X5
Existing NG-CT 821,NG-CT,23.26271614,-88.12386,41.4392,Gas,Existing,3,PJM_COMD,10.601434932439185,2279.3085104744246,43622.0767064363,SO X5
Existing NG-CT 822,NG-CT,21.83539515,-88.11544,41.44038,Gas,Existing,3,PJM_COMD,10.601434932439185,2279.3085104744246,40945.57473066631,SO X5
Existing NG-CT 823,NG-CT,19.71777436,-88.11546,41.44074,Gas,Existing,3,PJM_COMD,10.601434932439185,2279.3085104744246,36974.62757296591,SO X5
Existing NG-CT 824,NG-CT,19.80823621,-88.11551,41.44183,Gas,Existing,3,PJM_COMD,10.601434932439185,2279.3085104744246,37144.260978452934,SO X5
Existing NG-CT 825,NG-CT,20.21946742,-88.11552,41.4422,Gas,Existing,3,PJM_COMD,10.601434932439185,2279.3085104744246,37915.39876299801,SO X5
Existing NG-CT 826,NG-CT,20.20806868,-88.1154,41.44265,Gas,Existing,3,PJM_COMD,10.601434932439185,2279.3085104744246,37894.02392836373,SO X5
Existing NG-CT 839,NG-CT,22.76345991,-84.61514,40.074305,Gas,Existing,9,PJM_West,49.0000000000002,10535.00000000002,197294.789847317,SO X5
Existing NG-CT 840,NG-CT,22.13714336,-84.615,40.07472,Gas,Existing,9,PJM_West,49.00000000000001,10535.000000000002,191866.39747644242,SO X5
Existing NG-CT 841,NG-CT,23.06681587,-84.615,40.074305,Gas,Existing,9,PJM_West,49.00000000000011,10535.00000000001,199924.02769664914,SO X5
Existing NG-CT 842,NG-CT,22.61602139,-84.615,40.07458,Gas,Existing,9,PJM_West,49.00000000000004,10535.0,196016.91504560338,SO X5
Existing NG-CT 846,NG-CT,13.23055649,-79.8061,41.2908,Gas,Existing,6,PJM_PENE,6.394884621840902e-14,1.5241141682054146e-11,1.6589695527810817e-10,SO X5
Existing NG-CT 847,NG-CT,14.02616591,-79.8061,41.2908,Gas,Existing,6,PJM_PENE,7.815970093361103e-14,2.4868995751603507e-11,2.869723297819948e-10,SO X5
Existing NG-CT 848,NG-CT,30.35157488,-79.8061,41.2908,Gas,Existing,6,PJM_PENE,1.1368683772161603e-13,2.1742607714259056e-11,5.429197802362591e-10,SO X5
Existing NG-CT 849,NG-CT,4.256989655,-79.8061,41.2908,Gas,Existing,6,PJM_PENE,9.947598300641403e-14,1.0871303857129528e-11,3.807387091276741e-11,SO X5
Existing NG-CT 850,NG-CT,34.15560734,-79.8061,41.2908,Gas,Existing,6,PJM_PENE,7.105427357601002e-14,8.313350008393166e-12,2.3360432623580725e-10,SO X5
Existing NG-CT 851,NG-CT,14.5452821,-89.405,41.82875,Gas,Existing,3,PJM_COMD,36.46666640000001,7840.333276000001,57597.87827505083,SO X5
Existing NG-CT 852,NG-CT,15.30734507,-89.405,41.82875,Gas,Existing,3,PJM_COMD,36.46666640000001,7840.333276000001,60615.572251847865,SO X5
Existing NG-CT 871,NG-CT,157.787224,-84.20969,39.7277,Gas,Existing,9,PJM_West,16.798497748135105,3611.6770158490476,367347.4668002283,SO X5
Existing NG-CT 872,NG-CT,156.9241352,-84.2093,39.72789,Gas,Existing,9,PJM_West,16.798497748135105,3611.6770158490476,365338.0931876749,SO X5
Existing NG-CT 873,NG-CT,160.5428579,-84.20911,39.7282,Gas,Existing,9,PJM_West,16.798497748135105,3611.6770158490476,373762.91101004486,SO X5
Existing NG-CT 874,NG-CT,151.1772072,-84.20881,39.72839,Gas,Existing,9,PJM_West,16.798497748135105,3611.6770158490476,351958.5597301162,SO X5
Existing NG-CT 875,NG-CT,23.12143975,-87.75291,41.44116,Gas,Existing,3,PJM_COMD,3.552713678800501e-14,5.080380560684714e-12,9.663933282197671e-11,SO X5
Existing NG-CT 877,NG-CT,23.72108016,-87.753,41.44065,Gas,Existing,3,PJM_COMD,1.1368683772161605e-13,3.353761712787672e-11,6.544997232764147e-10,SO X5
Existing NG-CT 878,NG-CT,23.62099737,-87.75296,41.44039,Gas,Existing,3,PJM_COMD,6.394884621840903e-14,2.52242671194835e-12,4.901845196513775e-11,SO X5
Existing NG-CT 879,NG-CT,23.59253769,-87.75295,41.440135,Gas,Existing,3,PJM_COMD,2.2026824808563106e-13,5.179856543691129e-11,1.0053914633168368e-09,SO X5
Existing NG-CT 880,NG-CT,22.31933917,-87.75298,41.43988,Gas,Existing,3,PJM_COMD,1.2789769243681806e-13,1.8260948309034575e-11,3.3531073894122757e-10,SO X5
Existing NG-CT 885,NG-CT,40.93329349,-83.635,41.39778,Gas,Existing,2,PJM_ATSI,26.000000000000053,5590.000000000004,188248.40317283446,SO X5
Existing NG-CT 887,NG-CT,64.55235528,-82.79916,40.71028,Gas,Existing,2,PJM_ATSI,26.000000000000043,5590.000000000011,296870.26785358007,SO X5
Existing NG-CT 889,NG-CT,54.09153317,-84.10889,41.40722,Gas,Existing,2,PJM_ATSI,26.000000000000018,5590.000000000004,248761.9215617362,SO X5
Existing NG-CT 9,NG-CT,11.67561276,-84.1025,37.8824,Gas,Existing,9,PJM_West,138.69969980789284,29820.43545869696,246016.73660381642,SO X5
Existing NG-CT 915,NG-CT,9.831173851,-82.5939,38.3441,Gas,Existing,9,PJM_West,50.000000000000135,10750.000000000018,86947.40886626471,SO X5
Existing NG-CT 916,NG-CT,9.057435321,-82.5939,38.3441,Gas,Existing,9,PJM_West,50.00000000000003,10750.0,80104.4253789316,SO X5
Existing NG-CT 917,NG-CT,7.800039409,-82.5939,38.3441,Gas,Existing,9,PJM_West,50.00000000000012,10750.000000000027,68983.95104652912,SO X5
Existing NG-CT 918,NG-CT,13.97541033,-82.5939,38.3441,Gas,Existing,9,PJM_West,50.00000000000017,10750.000000000025,123599.25014577286,SO X5
Existing NG-CT 919,NG-CT,14.24343749,-82.5939,38.3441,Gas,Existing,9,PJM_West,50.00000000000003,10750.000000000018,125969.69618008976,SO X5
Existing NG-CT 920,NG-CT,14.27925683,-82.5939,38.3441,Gas,Existing,9,PJM_West,50.0,10750.0,126286.48427147121,SO X5
Existing NG-CT 921,NG-CT,13.86032439,-82.10208,36.66416,Gas,Existing,9,PJM_West,50.00000000000007,10750.0,122581.42415351626,SO X5
Existing NG-CT 922,NG-CT,13.63576773,-82.10208,36.66416,Gas,Existing,9,PJM_West,50.00000000000018,10750.000000000027,120595.43346445184,SO X5
Existing NG-CT 923,NG-CT,12.3706913,-82.10208,36.66416,Gas,Existing,9,PJM_West,50.000000000000036,10750.000000000011,109407.03223451143,SO X5
Existing NG-CT 924,NG-CT,14.11265685,-82.10208,36.66416,Gas,Existing,9,PJM_West,50.00000000000001,10750.000000000002,124813.06545112375,SO X5
Existing NG-CT 925,NG-CT,14.03432113,-82.10208,36.66416,Gas,Existing,9,PJM_West,50.0,10750.0,124120.26030100624,SO X5
Existing NG-CT 943,NG-CT,7.076490561,-83.46102,41.47684,Gas,Existing,2,PJM_ATSI,173.4,37281.0,217044.2518124781,SO X5
Existing NG-CT 944,NG-CT,7.850650805,-83.46102,41.47684,Gas,Existing,2,PJM_ATSI,109.4333332,23528.166638000002,119066.62848923962,SO X5
Existing NG-CT 945,NG-CT,6.273263383,-81.3636,39.3331,Gas,Existing,1,PJM_AP,171.7,36915.5,190521.97750125633,SO X5
Existing NG-CT 946,NG-CT,0.466590209,-81.3636,39.3331,Gas,Existing,1,PJM_AP,171.7,36915.5,14170.565441633473,SO X5
Existing NG-CT 950,NG-CT,11.09927979,-79.83877,39.74751,Gas,Existing,1,PJM_AP,4.263256414560601e-14,4.618527782440649e-12,4.217364746186785e-11,SO X5
Existing NG-CT 951,NG-CT,12.85790455,-79.83877,39.74751,Gas,Existing,1,PJM_AP,7.105427357601002e-15,3.5527136788004227e-14,3.758142204163507e-13,SO X5
Existing NG-CT 952,NG-CT,7.42920719,-75.5405,37.9892,Gas,Existing,5,PJM_EMAC,-1.6425676407330108e-13,-8.909765534496896e-12,-5.445672876638727e-11,SO X5
Existing NG-CT 953,NG-CT,8.098248727,-75.5405,37.9892,Gas,Existing,5,PJM_EMAC,9.217910790674444e-14,3.755122634621095e-11,2.501831405272426e-10,SO X5
Existing NG-CT 954,NG-CT,15.95566143,-75.5405,37.9892,Gas,Existing,5,PJM_EMAC,4.263256414560602e-14,2.444267011014745e-11,3.2085311673444167e-10,SO X5
Existing NG-CT 955,NG-CT,8.677263375,-75.5405,37.9892,Gas,Existing,5,PJM_EMAC,2.7692021920437047e-13,1.3185516250081506e-12,9.412884321845286e-12,SO X5
Existing NG-CT 956,NG-CT,8.149516808,-75.5405,37.9892,Gas,Existing,5,PJM_EMAC,2.3447910280083306e-13,6.139089236967266e-11,4.1160307421271276e-10,SO X5
Existing NG-CT 957,NG-CT,8.729224771,-75.5405,37.9892,Gas,Existing,5,PJM_EMAC,2.8421709430404014e-14,1.4210854715201696e-13,1.0205603220635089e-12,SO X5
Existing NG-CT 958,NG-CT,16.06881938,-75.5405,37.9892,Gas,Existing,5,PJM_EMAC,6.337450299220319e-14,1.4295747548744063e-11,1.88987745034504e-10,SO X5
Existing NG-CT 973,NG-CT,62.59099776,-88.24549,41.99967,Gas,Existing,3,PJM_COMD,123.8,26617.0,1370609.6430009468,SO X5
