ave_marg_damages_isrm_LePeule,node,fuel,longitude,unit,tech,status,zone,latitude,Generation (MWh) Unadjusted,Generation (MWh),aq_costs,Specification
133.6953449,6,Oil,-72.2322,Existing Oil 154,Oil,Existing,CT,41.5683,-4.884981308350689e-14,-2.0112800314109326e-11,-1.6367037983126799e-09,MO EM190
133.6953449,6,Oil,-72.1175,Existing Oil 153,Oil,Existing,CT,41.5694,-4.085620730620576e-14,-1.596500709410974e-11,-1.3275394750224604e-09,MO EM190
133.6953449,6,Oil,-72.0825,Existing Oil 149,Oil,Existing,CT,41.362778,-4.618527782440651e-14,-1.8496315590255098e-11,-1.5303055517986355e-09,MO EM190
133.6953449,6,Oil,-72.0411,Existing Oil 155,Oil,Existing,CT,41.3469,-3.9968028886505635e-14,-1.5782930518071216e-11,-1.2798481140221868e-09,MO EM190
133.6953449,6,Oil,-72.02,Existing Oil 151,Oil,Existing,CT,41.3367,-3.6415315207705135e-14,-1.5303314171433148e-11,-1.2697445358058861e-09,MO EM190
