node,zone,unit,status,tech,latitude,longitude,fuel,ave_marg_damages_isrm_LePeule,Generation (MWh) Unadjusted,Generation (MWh),aq_costs,Specification
3,PJM_COMD,Existing NG-CC 830,Existing,NG-CC,41.41324667,-88.33022667,Gas,13.44148982,10323.468389495665,2045867.9899550825,20186148.254397046,MO OPOI X5
3,PJM_COMD,Existing NG-CT 1039,Existing,NG-CT,42.23855,-89.10102,Gas,22.9159314,965.4000000000001,144810.000313755,2139106.3470929256,MO OPOI X5
3,PJM_COMD,Existing NG-CT 831,Existing,NG-CT,41.39326,-87.94555,Gas,11.72894043,465.0,69750.000151125,673047.6266699871,MO OPOI X5
3,PJM_COMD,Existing NG-CT 832,Existing,NG-CT,41.39327,-87.94502,Gas,10.53271152,466.79999999999995,70020.00015171,606743.4554353937,MO OPOI X5
3,PJM_COMD,Existing NG-CT 833,Existing,NG-CT,41.39328,-87.94449,Gas,11.69332245,468.0,70200.0001521,675332.798797665,MO OPOI X5
3,PJM_COMD,Existing NG-CT 835,Existing,NG-CT,41.3933,-87.94343,Gas,11.95199726,465.0,69750.000151125,685847.4077704212,MO OPOI X5
3,PJM_COMD,Existing NG-CT 836,Existing,NG-CT,41.3933,-87.9429,Gas,11.03021841,463.79999999999995,69570.000150735,631319.0873731335,MO OPOI X5
3,PJM_COMD,Existing NG-CT 851,Existing,NG-CT,41.82875,-89.405,Gas,14.5452821,1546.4333332,231509.16715714923,2208855.849293385,MO OPOI X5
3,PJM_COMD,Existing NG-CT 852,Existing,NG-CT,41.82875,-89.405,Gas,15.30734507,1546.4333332,231509.16715714923,2324583.2196696796,MO OPOI X5
3,PJM_COMD,Existing NG-CT 853,Existing,NG-CT,41.82875,-89.405,Gas,16.05050923,424.5,63675.00013796252,840815.2384527999,MO OPOI X5
3,PJM_COMD,Existing NG-CT 854,Existing,NG-CT,41.82875,-89.405,Gas,16.18257689,420.5,63075.0001366625,839745.6117961558,MO OPOI X5
3,PJM_COMD,Existing NG-CT 855,Existing,NG-CT,41.82875,-89.405,Gas,15.08029076,510.59999999999997,76590.00016594499,950220.9238421428,MO OPOI X5
3,PJM_COMD,Existing NG-CT 857,Existing,NG-CT,41.82875,-89.405,Gas,15.9892027,483.16058510679295,72474.08792304614,953349.9990635233,MO OPOI X5
3,PJM_COMD,Existing NG-CT 858,Existing,NG-CT,41.82875,-89.405,Gas,16.22960328,267.84756341931757,40177.1345999481,536450.5163871588,MO OPOI X5
3,PJM_COMD,Existing NG-CT 926,Existing,NG-CT,41.68355,-87.55686,Gas,37.61291877,943.1999999999999,141480.00030654,3430270.7217588313,MO OPOI X5
3,PJM_COMD,Existing NG-CT 927,Existing,NG-CT,41.68356,-87.55635,Gas,39.0445655,975.0,146250.000316875,3680889.484205918,MO OPOI X5
3,PJM_COMD,Existing NG-CT 959,Existing,NG-CT,42.47803,-87.89504,Gas,15.48490761,1824.0,273600.00059280003,3108257.61197889,MO OPOI X5
3,PJM_COMD,Existing NG-CT 960,Existing,NG-CT,42.47767,-87.89506,Gas,13.33164878,1824.0,273600.00059280003,2676037.845644213,MO OPOI X5
3,PJM_COMD,Existing NG-CT 961,Existing,NG-CT,42.47732,-87.89507,Gas,20.09173551,912.0,136800.00029640002,1771739.4651972568,MO OPOI X5
4,PJM_Dom,Existing Coal 468,Existing,Coal,36.86875,-78.70482,Coal,32.19076745,36399.99999999995,4768200.013491994,92374809.70826131,MO OPOI X5
4,PJM_Dom,Existing Coal 469,Existing,Coal,36.86875,-78.70482,Coal,30.66096976,36429.98481006378,4777915.347326681,88127265.31464414,MO OPOI X5
4,PJM_Dom,Existing NG-CC 1110,Existing,NG-CC,37.6961,-78.2848,Gas,1.148221329,38593.59808432176,5712089.714517934,4824945.696674658,MO OPOI X5
4,PJM_Dom,Existing NG-CC 1111,Existing,NG-CC,37.6961,-78.2848,Gas,0.910301291,39350.05832724667,5829670.708283574,3908617.758302341,MO OPOI X5
4,PJM_Dom,Existing NG-CC 1112,Existing,NG-CC,37.6961,-78.2848,Gas,1.02926131,99617.98115630813,15461027.562523328,9327259.394381892,MO OPOI X5
4,PJM_Dom,Existing NG-CC 1164,Existing,NG-CC,36.76479,-77.71313,Gas,3.384191279,77648.25232314387,11269860.851473687,24921305.176497463,MO OPOI X5
4,PJM_Dom,Existing NG-CC 1165,Existing,NG-CC,36.76479,-77.71313,Gas,3.332454903,78290.12483864902,11366141.72900807,24770633.767551396,MO OPOI X5
4,PJM_Dom,Existing NG-CC 1166,Existing,NG-CC,36.76479,-77.71313,Gas,3.506924306,70693.66150937085,9465452.838343747,21512251.638287153,MO OPOI X5
4,PJM_Dom,Existing NG-CC 1167,Existing,NG-CC,36.76479,-77.71313,Gas,3.407856829,208564.19668241387,29156226.203443613,58362480.055018805,MO OPOI X5
4,PJM_Dom,Existing NG-CC 379,Existing,NG-CC,38.5391,-77.2786,Gas,1.86815888,15146.99999999895,2226757.500768331,3422390.29924113,MO OPOI X5
4,PJM_Dom,Existing NG-CC 380,Existing,NG-CC,38.5391,-77.2786,Gas,2.331999191,14998.5,2174040.000753638,4170985.9763856595,MO OPOI X5
4,PJM_Dom,Existing NG-CC 381,Existing,NG-CC,38.5391,-77.2786,Gas,2.100079035,78460.11063295366,11460760.327392094,15791740.082994716,MO OPOI X5
4,PJM_Dom,Existing NG-CC 768,Existing,NG-CC,38.12417,-78.2036,Gas,6.747324639,3451.0,442946.000090335,2458811.2649819884,MO OPOI X5
4,PJM_Dom,Existing NG-CC 769,Existing,NG-CC,38.12583,-78.205,Gas,5.475829282,3451.0,442946.00009033503,1995462.1192934471,MO OPOI X5
4,PJM_Dom,Existing NG-CC 974,Existing,NG-CC,37.8669,-78.3801,Gas,1.375231631,17533.8,2577640.5008895826,2916359.1303376984,MO OPOI X5
4,PJM_Dom,Existing NG-CC 975,Existing,NG-CC,37.8669,-78.3801,Gas,1.766282398,18135.600000000002,2666111.0009201155,3874192.281643439,MO OPOI X5
4,PJM_Dom,Existing NG-CC 976,Existing,NG-CC,37.8669,-78.3801,Gas,1.436337517,18482.399999999998,2717094.00093771,3210731.372843591,MO OPOI X5
4,PJM_Dom,Existing NG-CC 977,Existing,NG-CC,37.8669,-78.3801,Gas,1.525950515,121417.83270251621,17879907.114718735,17894320.102988802,MO OPOI X5
4,PJM_Dom,Existing NG-CT 553,Existing,NG-CT,38.5292,-77.7686,Gas,11.76288831,644.0,80500.0003703,694707.7585352687,MO OPOI X5
4,PJM_Dom,Existing NG-CT 554,Existing,NG-CT,38.5292,-77.7686,Gas,12.05382666,477.90000000000003,59737.50027479251,506906.96527883376,MO OPOI X5
4,PJM_Dom,Existing NG-CT 555,Existing,NG-CT,38.5292,-77.7686,Gas,11.73940391,644.0,80500.0003703,693320.7866917399,MO OPOI X5
4,PJM_Dom,Existing NG-CT 556,Existing,NG-CT,38.1169,-78.2144,Gas,11.59778176,306.0,38250.00017595,325460.78460893454,MO OPOI X5
4,PJM_Dom,Existing NG-CT 557,Existing,NG-CT,38.1169,-78.2144,Gas,11.8819614,308.0,38500.0001771,335614.84475665656,MO OPOI X5
4,PJM_Dom,Existing NG-CT 558,Existing,NG-CT,38.1169,-78.2144,Gas,11.85436063,309.2,38650.00017779,336139.79334672005,MO OPOI X5
4,PJM_Dom,Existing NG-CT 559,Existing,NG-CT,38.1169,-78.2144,Gas,12.2640199,231.60000000000002,28950.000133170004,249941.10646397976,MO OPOI X5
4,PJM_Dom,Existing NG-CT 560,Existing,NG-CT,38.1169,-78.2144,Gas,10.21531045,632.0,79000.0003634,592067.1374699246,MO OPOI X5
4,PJM_Dom,Existing NG-CT 561,Existing,NG-CT,38.54573,-77.77069,Gas,7.894826684,612.0,76500.0003519,443094.4710113588,MO OPOI X5
4,PJM_Dom,Existing NG-CT 562,Existing,NG-CT,38.54573,-77.77069,Gas,7.76911235,759.5867561391665,98838.01381874068,562004.8708212232,MO OPOI X5
4,PJM_Dom,Existing NG-CT 563,Existing,NG-CT,38.54573,-77.77069,Gas,8.187206639,608.0,76000.0003496,456500.90145418525,MO OPOI X5
4,PJM_Dom,Existing NG-CT 564,Existing,NG-CT,38.54573,-77.77069,Gas,7.659567836,456.0,60800.000224200005,383133.96261522715,MO OPOI X5
4,PJM_Dom,Existing NG-CT 565,Existing,NG-CT,38.07194,-77.51309,Gas,5.275309188,453.0,60400.00022272501,262136.60039192985,MO OPOI X5
