Scenario,Cost Components,Cost ($),Percentage Difference (%) (Cost ($))
MO,Air Quality,741365193.1134703,-95.46015758777408
MO,BESS Investment,636756686.1137613,inf
MO,Emission,9819042812.51848,-72.26142666931008
MO,Generation Investment,47526186787.71669,72.52490285297829
MO,Line Investment,1937535084.8976595,-4.022631396189465
MO,Operation,23305253761.045696,-32.40776957888368
MO EM190,Air Quality,126587530.1356434,-99.22482543892406
MO EM190,BESS Investment,3462883656.4813356,inf
MO EM190,Emission,10927199022.709988,-69.13091049933603
MO EM190,Generation Investment,66605618928.98009,141.78518648070255
MO EM190,Line Investment,1893686614.6810026,-6.194700857795926
MO EM190,Operation,16416937969.808376,-52.3859527365785
MO EM190 X5,Air Quality,343260275.69014156,-97.89800280282115
MO EM190 X5,BESS Investment,11198198356.573154,inf
MO EM190 X5,Emission,20443345786.76571,-42.24801163837637
MO EM190 X5,Generation Investment,54575350671.14833,98.11408634072419
MO EM190 X5,Line Investment,2085574607.9752555,3.3106261974923714
MO EM190 X5,Operation,19852822707.198425,-42.42085579958448
MO OPOI,Air Quality,737309858.8532269,-95.48499093393251
MO OPOI,BESS Investment,645633718.4705521,inf
MO OPOI,Emission,9796269839.334347,-72.32575980225259
MO OPOI,Generation Investment,47633639170.49585,72.91496595614917
MO OPOI,Line Investment,1601527454.152018,-20.667041338046538
MO OPOI,Operation,23291254096.72543,-32.4483728070766
MO OPOI X5,Air Quality,1080135454.88197,-93.3856555519844
MO OPOI X5,BESS Investment,962343794.1529286,inf
MO OPOI X5,Emission,12291691194.558702,-65.27625104925976
MO OPOI X5,Generation Investment,43077132576.85988,56.374382531535474
MO OPOI X5,Line Investment,1813910949.479245,-10.146453001209474
MO OPOI X5,Operation,26221364798.987495,-23.95017236792421
MO X5,Air Quality,1083189641.9195738,-93.36695285596225
MO X5,BESS Investment,940655702.7214818,inf
MO X5,Emission,12256341426.54679,-65.37611334245305
MO X5,Generation Investment,43177414033.3932,56.73841444143065
MO X5,Line Investment,1937535084.8976595,-4.022631396189465
MO X5,Operation,26217140539.737564,-23.962423987559312
SO,Air Quality,16330196641.120258,0.0
SO,BESS Investment,0.0,0.0
SO,Emission,35398514175.40175,0.0
SO,Generation Investment,27547435762.48665,0.0
SO,Line Investment,2018741619.0744936,0.0
SO,Operation,34479190309.07576,0.0
SO X5,Air Quality,16344475921.96935,0.0874409608340939
SO X5,BESS Investment,0.0,0.0
SO X5,Emission,35098556480.90162,-0.8473736864033937
SO X5,Generation Investment,28074081975.88432,1.9117794408829998
SO X5,Line Investment,2068595386.6797628,2.4695467282298864
SO X5,Operation,34510299254.53462,0.09022527843605908
