Scenario,Cost Components,Epoch,Cost ($),Cost ($) Percentage Difference (%)
MO X5,Over Generation Penalty,4,0.0,0.0
MO X5,RPS Noncompliance,1,0.0,0.0
MO X5,RPS Noncompliance,2,0.0,0.0
MO X5,RPS Noncompliance,3,0.0,0.0
MO X5,RPS Noncompliance,4,0.0,0.0
MO X5,Under Generation Penalty,1,0.0,0.0
MO X5,Under Generation Penalty,2,0.0,0.0
MO X5,Under Generation Penalty,3,0.0,0.0
MO X5,Under Generation Penalty,4,90187107.80135378,0.0
SO,Demand Flexibility,1,0.0,0.0
SO,Demand Flexibility,2,0.0,0.0
SO,Demand Flexibility,3,0.0,0.0
SO,Demand Flexibility,4,0.0,0.0
SO,Generator O&M,1,12151017630.250553,0.0
SO,Generator O&M,2,8159709847.46312,-32.84751865432963
SO,Generator O&M,3,7223587721.903805,-40.55158224838445
SO,Generator O&M,4,6944875109.45828,-42.84532110159503
SO,Over Generation Penalty,1,0.0,0.0
SO,Over Generation Penalty,2,0.0,0.0
SO,Over Generation Penalty,3,0.0,0.0
SO,Over Generation Penalty,4,0.0,0.0
SO,RPS Noncompliance,1,0.0,0.0
SO,RPS Noncompliance,2,0.0,0.0
SO,RPS Noncompliance,3,0.0,0.0
SO,RPS Noncompliance,4,0.0,0.0
SO,Under Generation Penalty,1,0.0,0.0
SO,Under Generation Penalty,2,0.0,0.0
SO,Under Generation Penalty,3,0.0,0.0
SO,Under Generation Penalty,4,0.0,0.0
SO X5,Demand Flexibility,1,0.0,0.0
SO X5,Demand Flexibility,2,10063730.057926605,0.0
SO X5,Demand Flexibility,3,45042843.27053945,0.0
SO X5,Demand Flexibility,4,36282994.44742348,0.0
SO X5,Generator O&M,1,12249538259.604528,0.0
SO X5,Generator O&M,2,8221648389.587414,-32.8819730560779
SO X5,Generator O&M,3,7213083089.305786,-41.11546952677825
SO X5,Generator O&M,4,6636854458.703408,-45.819554026866015
SO X5,Over Generation Penalty,1,0.0,0.0
SO X5,Over Generation Penalty,2,0.0,0.0
SO X5,Over Generation Penalty,3,0.0,0.0
SO X5,Over Generation Penalty,4,0.0,0.0
SO X5,RPS Noncompliance,1,0.0,0.0
SO X5,RPS Noncompliance,2,0.0,0.0
SO X5,RPS Noncompliance,3,0.0,0.0
SO X5,RPS Noncompliance,4,0.0,0.0
SO X5,Under Generation Penalty,1,0.0,0.0
SO X5,Under Generation Penalty,2,0.0,0.0
SO X5,Under Generation Penalty,3,58521412.574937455,0.0
SO X5,Under Generation Penalty,4,39264076.9826619,0.0
