Scenario,Technology,Capacity (MW),Percentage Difference (%) (Capacity (MW))
MO,Battery,670.0507908978057,inf
MO,NG-CC-CCS,0.0,0.0
MO,NG-CT,0.0,-100.0
MO,Offshore Storage,0.0,0.0
MO,Solar PV,2593.1056460450027,35.13203278998613
MO,Wind,41404.45998051194,62.61319519326746
MO EM190,Battery,4267.215869779827,inf
MO EM190,NG-CC-CCS,0.0,0.0
MO EM190,NG-CT,0.0,-100.0
MO EM190,Offshore Storage,0.0,0.0
MO EM190,Solar PV,0.0,-100.0
MO EM190,Wind,61184.83513045781,140.2992707215597
MO EM190 X5,Battery,13300.706716520024,inf
MO EM190 X5,NG-CC-CCS,0.0,0.0
MO EM190 X5,NG-CT,0.0,-100.0
MO EM190 X5,Offshore Storage,0.0,0.0
MO EM190 X5,Solar PV,1888.578143881948,-1.5823346593116434
MO EM190 X5,Wind,53061.56522704192,108.3956817112574
MO OPOI,Battery,679.3919767560888,inf
MO OPOI,NG-CC-CCS,0.0,0.0
MO OPOI,NG-CT,0.0,-100.0
MO OPOI,Offshore Storage,0.0,0.0
MO OPOI,Solar PV,2586.9350269023917,34.81046922022351
MO OPOI,Wind,41431.30800957543,62.718638997937525
MO OPOI X5,Battery,1160.0265583377113,inf
MO OPOI X5,NG-CC-CCS,0.0,0.0
MO OPOI X5,NG-CT,0.0,-100.0
MO OPOI X5,Offshore Storage,0.0,0.0
MO OPOI X5,Solar PV,4428.079406659817,130.75626420776845
MO OPOI X5,Wind,38177.823705162125,49.940801091083834
MO X5,Battery,1128.159114817062,inf
MO X5,NG-CC-CCS,0.0,0.0
MO X5,NG-CT,0.0,-100.0
MO X5,Offshore Storage,0.0,0.0
MO X5,Solar PV,4724.778413335702,146.21785558567183
MO X5,Wind,38181.14095823257,49.95382937647396
SO,Battery,0.0,0.0
SO,NG-CC-CCS,0.0,0.0
SO,NG-CT,2643.131088690124,0.0
SO,Offshore Storage,0.0,0.0
SO,Solar PV,1918.9422319096225,0.0
SO,Wind,25461.931260438192,0.0
SO X5,Battery,0.0,0.0
SO X5,NG-CC-CCS,0.0,0.0
SO X5,NG-CT,3337.6978991082196,26.278182470408872
SO X5,Offshore Storage,0.0,0.0
SO X5,Solar PV,4939.412971402115,157.40290089330574
SO X5,Wind,24432.04497943845,-4.044808190178174
