ave_marg_damages_isrm_LePeule,node,fuel,longitude,unit,tech,status,zone,latitude,Generation (MWh) Unadjusted,Generation (MWh),aq_costs,Specification
133.6953449,6,Oil,-72.2322,Existing Oil 154,Oil,Existing,CT,41.5683,-4.88E-14,-2.01E-11,-1.64E-09,MO EM190
133.6953449,6,Oil,-72.1175,Existing Oil 153,Oil,Existing,CT,41.5694,-4.09E-14,-1.60E-11,-1.33E-09,MO EM190
133.6953449,6,Oil,-72.0825,Existing Oil 149,Oil,Existing,CT,41.362778,-4.62E-14,-1.85E-11,-1.53E-09,MO EM190
133.6953449,6,Oil,-72.0411,Existing Oil 155,Oil,Existing,CT,41.3469,-4.00E-14,-1.58E-11,-1.28E-09,MO EM190
133.6953449,6,Oil,-72.02,Existing Oil 151,Oil,Existing,CT,41.3367,-3.64E-14,-1.53E-11,-1.27E-09,MO EM190
21.94525142,6,Oil,-73.108976,Existing Oil 3,Oil,Existing,CT,41.209797,667.8,60102,521954.688,MO OPOI
49.37634365,6,Oil,-72.904323,Existing Oil 61,Oil,Existing,CT,41.283997,1441.5,129735,2535008.389,MO OPOI
72.79641688,6,Oil,-72.7942,Existing Oil 1,Oil,Existing,CT,41.2925,65.4,5886,169563.971,MO OPOI
133.6953449,6,Oil,-72.02,Existing Oil 151,Oil,Existing,CT,41.3367,-3.38E-14,-1.48E-11,-1.25E-09,MO OPOI
133.6953449,6,Oil,-72.0411,Existing Oil 155,Oil,Existing,CT,41.3469,-3.64E-14,-1.56E-11,-1.29E-09,MO OPOI
133.6953449,6,Oil,-72.0825,Existing Oil 149,Oil,Existing,CT,41.362778,-2.13E-14,-8.99E-12,-6.99E-10,MO OPOI
131.7203012,6,Oil,-72.1019,Existing Oil 4,Oil,Existing,CT,41.4281,268.8315435,24194.83891,1261184.916,MO OPOI
19.18844466,6,Oil,-72.579075,Existing Oil 7,Oil,Existing,CT,41.554944,1278.97534,115107.7806,874073.1345,MO OPOI
133.6953449,6,Oil,-72.2322,Existing Oil 154,Oil,Existing,CT,41.5683,-2.22E-14,-9.29E-12,-8.38E-10,MO OPOI
133.6953449,6,Oil,-72.1175,Existing Oil 153,Oil,Existing,CT,41.5694,-2.31E-14,-9.69E-12,-7.79E-10,MO OPOI
60.37583423,8,Coal,-71.1931,Existing Coal 29,Coal,Existing,SEMA,41.7103,3720,370200,9130271.504,MO OPOI
7.809595005,8,Oil,-70.5097,Existing Oil 27,Oil,Existing,SEMA,41.7694,4690.92013,488818.4261,1585248.361,MO OPOI
34.13986798,8,Oil,-70.9672,Existing Oil 37,Oil,Existing,SEMA,42.235,8.1,729,9849.01238,MO OPOI
46.07783098,4,Oil,-73.235486,Existing Oil 35,Oil,Existing,WCMA,42.336215,61.2,5508,100435.9696,MO OPOI
92.97915266,4,Oil,-73.2058,Existing Oil 31,Oil,Existing,WCMA,42.4433,63.3,5697,209621.1606,MO OPOI
20.39510344,2,Coal,-70.7842,Existing Coal 46,Coal,Existing,NH,43.0978,1042.369691,123313.2722,1055472.445,MO OPOI
20.39510344,2,Oil,-70.7842,Existing Oil 47,Oil,Existing,NH,43.0978,63.6,5724,46198.60427,MO OPOI
13.74748878,2,Oil,-70.790833,Existing Oil 67,Oil,Existing,NH,43.1,1242,111780,608122.1144,MO OPOI
105.4654119,2,Coal,-71.4692,Existing Coal 44,Coal,Existing,NH,43.1411,1791.575567,196641.801,8705227.594,MO OPOI
105.4654119,2,Oil,-71.4692,Existing Oil 45,Oil,Existing,NH,43.1411,74.4,6696,279465.895,MO OPOI
44.16033273,1,Oil,-70.1567,Existing Oil 17,Oil,Existing,ME,43.7508,1600,144000,2516507.023,MO OPOI
21.94525142,6,Oil,-73.108976,Existing Oil 3,Oil,Existing,CT,41.209797,667.8,60102,521954.688,MO
49.37634365,6,Oil,-72.904323,Existing Oil 61,Oil,Existing,CT,41.283997,1441.5,129735,2535008.389,MO
72.79641688,6,Oil,-72.7942,Existing Oil 1,Oil,Existing,CT,41.2925,65.4,5886,169563.971,MO
133.6953449,6,Oil,-72.02,Existing Oil 151,Oil,Existing,CT,41.3367,-2.66E-14,-1.17E-11,-9.34E-10,MO
133.6953449,6,Oil,-72.0411,Existing Oil 155,Oil,Existing,CT,41.3469,-3.02E-14,-1.23E-11,-9.98E-10,MO
133.6953449,6,Oil,-72.0825,Existing Oil 149,Oil,Existing,CT,41.362778,-2.58E-14,-1.10E-11,-8.75E-10,MO
131.7203012,6,Oil,-72.1019,Existing Oil 4,Oil,Existing,CT,41.4281,293.6175091,26425.57582,1377464.745,MO
19.18844466,6,Oil,-72.579075,Existing Oil 7,Oil,Existing,CT,41.554944,1299.687703,116971.8933,888228.3099,MO
133.6953449,6,Oil,-72.2322,Existing Oil 154,Oil,Existing,CT,41.5683,-2.58E-14,-1.12E-11,-9.56E-10,MO
133.6953449,6,Oil,-72.1175,Existing Oil 153,Oil,Existing,CT,41.5694,-3.11E-14,-1.31E-11,-1.18E-09,MO
60.37583423,8,Coal,-71.1931,Existing Coal 29,Coal,Existing,SEMA,41.7103,3720,370200,9130271.504,MO
7.809595005,8,Oil,-70.5097,Existing Oil 27,Oil,Existing,SEMA,41.7694,4747.560346,497934.3101,1616727.075,MO
34.13986798,8,Oil,-70.9672,Existing Oil 37,Oil,Existing,SEMA,42.235,8.1,729,9849.01238,MO
46.07783098,4,Oil,-73.235486,Existing Oil 35,Oil,Existing,WCMA,42.336215,61.2,5508,100435.9696,MO
92.97915266,4,Oil,-73.2058,Existing Oil 31,Oil,Existing,WCMA,42.4433,63.3,5697,209621.1606,MO
20.39510344,2,Coal,-70.7842,Existing Coal 46,Coal,Existing,NH,43.0978,1048.032169,123822.8953,1059585.63,MO
20.39510344,2,Oil,-70.7842,Existing Oil 47,Oil,Existing,NH,43.0978,84.8,7632,61598.13903,MO
13.74748878,2,Oil,-70.790833,Existing Oil 67,Oil,Existing,NH,43.1,1642,147780,803974.6472,MO
105.4654119,2,Coal,-71.4692,Existing Coal 44,Coal,Existing,NH,43.1411,1867.066765,203436.0088,8988792.315,MO
105.4654119,2,Oil,-71.4692,Existing Oil 45,Oil,Existing,NH,43.1411,74.4,6696,279465.895,MO
44.16033273,1,Oil,-70.1567,Existing Oil 17,Oil,Existing,ME,43.7508,1674.803983,150732.3585,2634159.992,MO
151.8447747,6,Oil,-73.5989,Existing Oil 2,Oil,Existing,CT,41.0289,8451.62371,133016.714,12227465.95,SO X5
133.6953449,6,Oil,-73.5564,Existing Oil 140,Oil,Existing,CT,41.0372,5228.144893,80278.15569,6490327.193,SO X5
133.6953449,6,Oil,-73.3928,Existing Oil 158,Oil,Existing,CT,41.1117,552,12510,913555.9447,SO X5
46.07783098,4,Oil,-73.235486,Existing Oil 35,Oil,Existing,WCMA,42.336215,1693.2,29682,817002.2263,SO X5
133.6953449,3,Oil,-73.2239,Existing Oil 56,Oil,Existing,VT,44.4814,2046.34365,32671.71825,2653326.239,SO X5
92.97915266,4,Oil,-73.2058,Existing Oil 31,Oil,Existing,WCMA,42.4433,1751.3,30700.5,1705175.502,SO X5
133.6953449,3,Oil,-73.1703,Existing Oil 53,Oil,Existing,VT,44.4906,1527.809807,30953.83362,2337503.462,SO X5
339.9972675,6,Oil,-73.120886,Existing Oil 10,Oil,Existing,CT,41.776109,1835.860275,33968.12335,6759522.924,SO X5
133.6953449,3,Oil,-73.1164,Existing Oil 54,Oil,Existing,VT,44.4821,704,13960,1054285.683,SO X5
206.9482785,6,Oil,-73.116267,Existing Oil 6,Oil,Existing,CT,41.798943,1813.059651,32030.0703,3952417.975,SO X5
21.94525142,6,Oil,-73.108976,Existing Oil 3,Oil,Existing,CT,41.209797,15671.69386,285003.8025,3687181.42,SO X5
133.6953449,6,Oil,-73.1075,Existing Oil 146,Oil,Existing,CT,41.2108,15163.8942,279438.6496,21833306.68,SO X5
133.6953449,3,Oil,-73.0631,Existing Oil 65,Oil,Existing,VT,43.7089,800.4,16008,1209994.777,SO X5
133.6953449,3,Oil,-72.9923,Existing Oil 51,Oil,Existing,VT,43.603,1138.184363,22916.92182,1732271.611,SO X5
49.37634365,6,Oil,-72.904323,Existing Oil 61,Oil,Existing,CT,41.283997,24515.8601,384005.0734,8943523.725,SO X5
72.79641688,6,Oil,-72.7942,Existing Oil 1,Oil,Existing,CT,41.2925,1852.674017,35397.29144,1499819.959,SO X5
133.6953449,6,Oil,-72.768611,Existing Oil 172,Oil,Existing,CT,41.691389,93,2090,152809.2816,SO X5
133.6953449,6,Oil,-72.756389,Existing Oil 179,Oil,Existing,CT,41.483611,266.8,6046.5,441552.0399,SO X5
28.3176,6,Gas,-72.7137063,New NG-CT 6,NG-CT,New,CT,41.6184324,68294.4666,12003169.79,134510352.2,SO X5
