Scenario,Cost Components,Epoch,Cost ($),Cost ($) Percentage Difference (%)
MO,Air Quality,1,123359775.00728951,0.0
MO,Air Quality,2,114715743.24720097,-7.007172118770287
MO,Air Quality,3,177227892.46420416,43.667490033709534
MO,Air Quality,4,326061782.3947757,164.31775055970084
MO,BESS Investment,1,221214627.39135888,0.0
MO,BESS Investment,2,173327448.96669996,-21.647383353154115
MO,BESS Investment,3,135806591.63263586,-38.60867464592409
MO,BESS Investment,4,106408018.12306665,-51.898290190903005
MO,Emission,1,2490077141.5704527,0.0
MO,Emission,2,2062792221.6205378,-17.15950533486015
MO,Emission,3,2309571972.3429737,-7.24897900607357
MO,Emission,4,2956601476.9845157,18.735336653860987
MO,Generation Investment,1,13554788988.215075,0.0
MO,Generation Investment,2,13368833548.653511,-1.3718800028774962
MO,Generation Investment,3,11551590684.897558,-14.778528128022906
MO,Generation Investment,4,9050973565.950542,-33.2267468433502
MO,Line Investment,1,673115981.6777267,0.0
MO,Line Investment,2,527403984.7126028,-21.64738335315409
MO,Line Investment,3,413234822.32205534,-38.608674645924076
MO,Line Investment,4,323780296.1852747,-51.89829019090298
MO,Operation,1,9936541837.848656,0.0
MO,Operation,2,4693466241.62092,-52.76559674168196
MO,Operation,3,4114327524.160055,-58.59396969991684
MO,Operation,4,4560918157.416064,-54.099542558726434
MO EM190,Air Quality,1,18252265.45409232,0.0
MO EM190,Air Quality,2,16761042.897805339,-8.170068313096094
MO EM190,Air Quality,3,22629636.393395443,23.982617118477627
MO EM190,Air Quality,4,68944585.39035028,277.731660564318
MO EM190,BESS Investment,1,842497915.0032856,0.0
MO EM190,BESS Investment,2,969064790.9744749,15.022811774044055
MO EM190,BESS Investment,3,925874249.3099152,9.896325299072625
MO EM190,BESS Investment,4,725446701.19366,-13.89335352944691
MO EM190,Emission,1,2395969650.5827327,0.0
MO EM190,Emission,2,2037293728.62006,-14.96996933477174
MO EM190,Emission,3,2298471941.108299,-4.069238082824677
MO EM190,Emission,4,4195463702.3988957,75.10504364604542
MO EM190,Generation Investment,1,19381629868.254005,0.0
MO EM190,Generation Investment,2,18123377987.628315,-6.491981784703435
MO EM190,Generation Investment,3,16316335369.90353,-15.815462988338517
MO EM190,Generation Investment,4,12784275703.194239,-34.03921243933078
MO EM190,Line Investment,1,652624445.8784581,0.0
MO EM190,Line Investment,2,511348330.2227506,-21.6473833531541
MO EM190,Line Investment,3,400654796.9094794,-38.608674645924076
MO EM190,Line Investment,4,329059041.67031455,-49.579111884571205
MO EM190,Operation,1,9628518406.38721,0.0
MO EM190,Operation,2,2587001619.5720553,-73.13188270112323
MO EM190,Operation,3,2118384197.4898303,-77.9988560224949
MO EM190,Operation,4,2083033746.3592794,-78.36599922811104
MO EM190 X5,Air Quality,1,68015418.98767702,0.0
MO EM190 X5,Air Quality,2,59126652.1091605,-13.06875266052097
MO EM190 X5,Air Quality,3,87144620.2746855,28.124801069701995
MO EM190 X5,Air Quality,4,128973584.31861855,89.62403854629768
MO EM190 X5,BESS Investment,1,2626722135.5323343,0.0
MO EM190 X5,BESS Investment,2,3575262903.2052307,36.1111955787689
MO EM190 X5,BESS Investment,3,2801312036.665287,6.646683285271441
MO EM190 X5,BESS Investment,4,2194901281.1703033,-16.439533078915396
MO EM190 X5,Emission,1,5391300398.322434,0.0
MO EM190 X5,Emission,2,4219444587.778372,-21.736051118737496
MO EM190 X5,Emission,3,5035971846.799121,-6.5907763483904205
MO EM190 X5,Emission,4,5796628953.86578,7.518196457193669
MO EM190 X5,Generation Investment,1,15028952397.844597,0.0
MO EM190 X5,Generation Investment,2,14613347126.188078,-2.7653642160455822
MO EM190 X5,Generation Investment,3,13123439339.78823,-12.678947990610764
MO EM190 X5,Generation Investment,4,11809611807.327427,-21.420924794324833
MO EM190 X5,Line Investment,1,724546156.8937498,0.0
MO EM190 X5,Line Investment,2,567700872.7404143,-21.647383353154126
MO EM190 X5,Line Investment,3,444808488.5190952,-38.608674645924104
MO EM190 X5,Line Investment,4,348519089.8219961,-51.89829019090302
MO EM190 X5,Operation,1,9871189748.226282,0.0
MO EM190 X5,Operation,2,3850494288.0948143,-60.992601841265426
MO EM190 X5,Operation,3,3031645984.7636294,-69.28793729946914
MO EM190 X5,Operation,4,3099492686.1137,-68.60061689452746
MO OPOI,Air Quality,1,123485090.13200125,0.0
MO OPOI,Air Quality,2,111710222.96137583,-9.535456594831405
MO OPOI,Air Quality,3,176801874.40952986,43.176697867357774
MO OPOI,Air Quality,4,325312671.35032,163.44287476534382
MO OPOI,BESS Investment,1,224298583.08114284,0.0
MO OPOI,BESS Investment,2,175743808.94587493,-21.647383353154133
MO OPOI,BESS Investment,3,137699872.90392664,-38.608674645924104
MO OPOI,BESS Investment,4,107891453.53960766,-51.898290190903005
MO OPOI,Emission,1,2493134041.808584,0.0
MO OPOI,Emission,2,2027956988.6316986,-18.658325038931086
MO OPOI,Emission,3,2314724030.441168,-7.156053720962116
MO OPOI,Emission,4,2960454778.452895,18.744308521225932
MO OPOI,Generation Investment,1,13561988393.638386,0.0
MO OPOI,Generation Investment,2,13475662435.257267,-0.6365287734769945
MO OPOI,Generation Investment,3,11547903657.832,-14.850954575002772
MO OPOI,Generation Investment,4,9048084683.7682,-33.28349485970327
MO OPOI,Line Investment,1,556384105.1901815,0.0
MO OPOI,Line Investment,2,435941505.0236465,-21.647383353154147
MO OPOI,Line Investment,3,341571576.2356682,-38.608674645924104
MO OPOI,Line Investment,4,267630267.70252204,-51.898290190903005
MO OPOI,Operation,1,9950437110.847775,0.0
MO OPOI,Operation,2,4684868033.513068,-52.91796750912866
MO OPOI,Operation,3,4091227848.31326,-58.88393843670362
MO OPOI,Operation,4,4564721104.051327,-54.125421293553465
MO OPOI X5,Air Quality,1,199218987.9392693,0.0
MO OPOI X5,Air Quality,2,213844764.67101437,7.341557590988086
MO OPOI X5,Air Quality,3,261659177.20590824,31.34248894270733
MO OPOI X5,Air Quality,4,405412525.065778,103.5009459988651
MO OPOI X5,BESS Investment,1,211573963.40867576,0.0
MO OPOI X5,BESS Investment,2,313154870.3497026,48.01200738713459
MO OPOI X5,BESS Investment,3,245365035.07602966,15.971280739342744
MO OPOI X5,BESS Investment,4,192249925.3185205,-9.133466981865348
MO OPOI X5,Emission,1,3259480740.7362185,0.0
MO OPOI X5,Emission,2,2935983744.7301717,-9.924801578455671
MO OPOI X5,Emission,3,2872995116.579213,-11.857275894494466
MO OPOI X5,Emission,4,3223231592.5130987,-1.1121142018140027
MO OPOI X5,Generation Investment,1,12060452507.610186,0.0
MO OPOI X5,Generation Investment,2,11526801683.167994,-4.424799352308353
MO OPOI X5,Generation Investment,3,10582875901.79753,-12.251419296915275
MO OPOI X5,Generation Investment,4,8907002484.284168,-26.147029071555817
MO OPOI X5,Line Investment,1,630167917.449191,0.0
MO OPOI X5,Line Investment,2,493753052.59037685,-21.64738335315411
MO OPOI X5,Line Investment,3,386868436.4782374,-38.60867464592408
MO OPOI X5,Line Investment,4,303121542.9614398,-51.898290190903
MO OPOI X5,Operation,1,10339253568.810553,0.0
MO OPOI X5,Operation,2,5621705626.643926,-45.627548553385004
MO OPOI X5,Operation,3,5086959632.186885,-50.79954661783096
MO OPOI X5,Operation,4,5173445971.346132,-49.96306128952697
MO X5,Air Quality,1,199675518.38644642,0.0
MO X5,Air Quality,2,217407973.091594,8.880635367040188
MO X5,Air Quality,3,261256410.89533538,30.840482101419674
MO X5,Air Quality,4,404849739.5461979,102.75381920514815
MO X5,BESS Investment,1,211573963.4085753,0.0
MO X5,BESS Investment,2,304108513.95365113,43.73626558499557
MO X5,BESS Investment,3,238276978.12852412,12.621125156303863
MO X5,BESS Investment,4,186696247.2307313,-11.758401542916728
MO X5,Emission,1,3259809522.41575,0.0
MO X5,Emission,2,2947835774.007747,-9.570306064288326
MO X5,Emission,3,2854123999.4683685,-12.445068343954642
MO X5,Emission,4,3194572130.654924,-2.0012639177911407
MO X5,Generation Investment,1,12060452507.61002,0.0
MO X5,Generation Investment,2,11506799674.691917,-4.590647262768567
MO X5,Generation Investment,3,10643570911.782043,-11.748162806776435
MO X5,Generation Investment,4,8966590939.309227,-25.65294765141356
MO X5,Line Investment,1,673115981.6777267,0.0
MO X5,Line Investment,2,527403984.7126028,-21.64738335315409
MO X5,Line Investment,3,413234822.32205534,-38.608674645924076
MO X5,Line Investment,4,323780296.1852747,-51.89829019090298
MO X5,Operation,1,10341251051.566822,0.0
MO X5,Operation,2,5628927353.993005,-45.56821678610969
MO X5,Operation,3,5083074104.822736,-50.84662310705057
MO X5,Operation,4,5163888029.355002,-50.06515165713328
SO,Air Quality,1,5321466508.321555,0.0
SO,Air Quality,2,3783293651.8928056,-28.905055665076524
SO,Air Quality,3,3418182366.6139135,-35.76615842139269
SO,Air Quality,4,3807254114.291985,-28.454795152082397
SO,BESS Investment,1,0.0,0.0
SO,BESS Investment,2,0.0,0.0
SO,BESS Investment,3,0.0,0.0
SO,BESS Investment,4,0.0,0.0
SO,Emission,1,11656646716.719868,0.0
