Scenario,Emission Components,Epoch,Emission (mt),Emission (mt) Percentage Difference (%)
MO,CO2,1,11869428.739454968,0.0
MO,CO2,2,12549285.400395809,5.727795969497174
MO,CO2,3,17932527.565574147,51.081639725127914
MO,CO2,4,29298763.450642698,146.84223726160613
MO,NOx,1,284087.99527316587,0.0
MO,NOx,2,300359.97601624887,5.727795969497625
MO,NOx,3,429610.2133663826,51.22434615841098
MO,NOx,4,714036.0691397742,151.34327427429312
MO,PM25,1,517.8565829930579,0.0
MO,PM25,2,547.5183514815102,5.727795969497191
MO,PM25,3,798.6815740454505,54.22833276141961
MO,PM25,4,1467.265741535495,183.33438054511788
MO,SO2,1,25215.54575281981,0.0
MO,SO2,2,26659.840766136564,5.727795969497274
MO,SO2,3,38675.14863468054,53.37819380869663
MO,SO2,4,68547.47472566357,171.8460881141073
MO EM190,CO2,1,3065595.879045919,0.0
MO EM190,CO2,2,3326853.942573028,8.522260396840641
MO EM190,CO2,3,4790333.922763284,56.26110262955278
MO EM190,CO2,4,11159713.49733506,264.03080959282244
MO EM190,NOx,1,73373.2858348015,0.0
MO EM190,NOx,2,79626.34831536139,8.522260396840533
MO EM190,NOx,3,114653.90548099412,56.26110262955255
MO EM190,NOx,4,267101.36644928344,264.0308095928222
MO EM190,PM25,1,133.75024540845894,0.0
MO EM190,PM25,2,145.14878960358115,8.522260396840602
MO EM190,PM25,3,208.9996082449906,56.261102629552695
MO EM190,PM25,4,486.89210119280114,264.03080959282335
MO EM190,SO2,1,6512.585807165646,0.0
MO EM190,SO2,2,7067.605328219985,8.52226039684059
MO EM190,SO2,3,10176.638391972774,56.26110262955242
MO EM190,SO2,4,23707.818839252333,264.0308095928222
MO EM190 X5,CO2,1,6898062.452409034,0.0
MO EM190 X5,CO2,2,6890256.257661585,-0.11316503440357684
MO EM190 X5,CO2,3,10495662.940383688,52.153782497551205
MO EM190 X5,CO2,4,15418729.12367544,123.52260841434837
MO EM190 X5,NOx,1,166024.26176564975,0.0
MO EM190 X5,NOx,2,167270.12521853927,0.7504104759388173
MO EM190 X5,NOx,3,255356.3598376518,53.806652787951
MO EM190 X5,NOx,4,376949.4131262773,127.04477593663827
MO EM190 X5,PM25,1,310.022056973832,0.0
MO EM190 X5,PM25,2,324.07451172325744,4.532727408686147
MO EM190 X5,PM25,3,501.8259476267217,61.867820801240384
MO EM190 X5,PM25,4,758.8261969524087,144.76522875804895
MO EM190 X5,SO2,1,14940.962307268894,0.0
MO EM190 X5,SO2,2,15381.2623693192,2.946932419715006
MO EM190 X5,SO2,3,23702.097109257873,58.63835689972004
MO EM190 X5,SO2,4,35522.91127453528,137.7551762998098
MO OPOI,CO2,1,11884000.038847413,0.0
MO OPOI,CO2,2,12337360.381392784,3.814880015679816
MO OPOI,CO2,3,17972530.399420276,51.23300522273785
MO OPOI,CO2,4,29336948.160048023,146.86088912949305
MO OPOI,NOx,1,284436.75099880295,0.0
MO OPOI,NOx,2,295287.6717699063,3.814880015680188
MO OPOI,NOx,3,430498.7423868008,51.35130776002028
MO OPOI,NOx,4,714067.5875077373,151.0461763468612
MO OPOI,PM25,1,518.4923206918787,0.0
MO OPOI,PM25,2,538.2721806167882,3.8148800156799134
MO OPOI,PM25,3,799.7502107066036,54.245333786123005
MO OPOI,PM25,4,1459.4744318322878,181.48429081548554
MO OPOI,SO2,1,25246.50118248484,0.0
MO OPOI,SO2,2,26209.624910753824,3.8148800156798197
MO OPOI,SO2,3,38738.73072870611,53.44197775643351
MO OPOI,SO2,4,68325.39166310318,170.63311137348805
MO OPOI X5,CO2,1,15536938.086742572,0.0
MO OPOI X5,CO2,2,17861468.332761485,14.961314983950396
MO OPOI X5,CO2,3,22307191.43666781,43.575209684990575
MO OPOI X5,CO2,4,31940963.53898531,105.58081238825324
MO OPOI X5,NOx,1,372563.4148102865,0.0
MO OPOI X5,NOx,2,428877.1235407889,15.115200927385203
MO OPOI X5,NOx,3,542837.9609344663,45.70350693475514
MO OPOI X5,NOx,4,782637.3197117875,110.06821620161371
MO OPOI X5,PM25,1,692.8605735609256,0.0
MO OPOI X5,PM25,2,806.1816955598164,16.35554487051876
MO OPOI X5,PM25,3,1093.2541330475733,57.788475021582364
MO OPOI X5,PM25,4,1684.6766181957134,143.14799867127584
MO OPOI X5,SO2,1,33523.23998969564,0.0
MO OPOI X5,SO2,2,38865.12822215878,15.934880501124379
MO OPOI X5,SO2,3,51352.27832389641,53.18411448201621
MO OPOI X5,SO2,4,77646.77943277021,131.62074864075564
MO X5,CO2,1,15538505.287473405,0.0
MO X5,CO2,2,17933571.81289831,15.413751072670582
MO X5,CO2,3,22160667.82457175,42.61775772240397
MO X5,CO2,4,31656959.48901705,103.7323339879916
MO X5,NOx,1,372955.8323629323,0.0
MO X5,NOx,2,430663.50698582886,15.473058634658862
