Scenario,Emission Components,Emission (mt),Percentage Difference (%) (Emission (mt))
MO,CO2,71650005.15606762,-70.43096109374396
MO,NOx,1728094.2537955716,-48.13661324949816
MO,PM25,3331.3222500555135,-72.67928879553823
MO,SO2,159098.0098793005,-77.51645161945054
MO EM190,CO2,22342497.24171729,-90.77953771581396
MO EM190,NOx,534754.9060804404,-83.95099083868661
MO EM190,PM25,974.7907444498319,-92.00558384483747
MO EM190,SO2,47464.64836661074,-93.2923503020178
MO EM190 X5,CO2,39702710.77412975,-83.61520006862614
MO EM190 X5,NOx,965600.159948118,-71.0205074568462
MO EM190 X5,PM25,1894.7487132762199,-84.4608601285623
MO EM190 X5,SO2,89547.23306038126,-87.34528767276952
MO OPOI,CO2,71530838.9797085,-70.48013944756819
MO OPOI,NOx,1724290.7526632473,-48.250763533719315
MO OPOI,PM25,3315.9891438475584,-72.80503807319154
MO OPOI,SO2,158520.24848504795,-77.59810019739281
MO OPOI X5,CO2,87646561.39515717,-63.829387335731525
MO OPOI X5,NOx,2126915.818997329,-36.16722151344641
MO OPOI X5,PM25,4276.973020364028,-64.92385426936916
MO OPOI X5,SO2,201387.42596852104,-71.5401598144901
MO X5,CO2,87289704.41396052,-63.97665763861551
MO X5,NOx,2119224.2856631447,-36.39805901964089
MO X5,PM25,4267.648699555655,-65.00032452858203
MO X5,SO2,200815.97319270144,-71.62091686570704
SO,CO2,242314284.8275273,0.0
SO,NOx,3332011.9684988568,0.0
SO,PM25,12193.39505887926,0.0
SO,SO2,707619.6656615655,0.0
SO X5,CO2,238560814.88006783,-1.549008945193267
SO X5,NOx,3304314.5967382253,-0.8312506684395167
SO X5,PM25,12070.008672236236,-1.0119116623976974
SO X5,SO2,699233.7826576076,-1.1850833733002342
