Scenario,Emission Components,Epoch,Emission (mt),Emission (mt) Percentage Difference (%)
MO,CO2,1,24278589.406560477,0.0
MO,CO2,2,27758427.63274929,14.33295060069883
MO,CO2,3,37027493.69684502,52.510893762384626
MO,CO2,4,47420321.531244226,95.3174492025079
MO,NOx,1,580847.1677723449,0.0
MO,NOx,2,675668.2203015969,16.32461304630409
MO,NOx,3,919183.911952772,58.248841167291964
MO,NOx,4,1197533.7436045804,106.17019588773088
MO,PM25,1,1059.3345168769126,0.0
MO,PM25,2,1370.1161530314662,29.337440742588793
MO,PM25,3,2029.256858436418,91.5595901112513
MO,PM25,4,2581.954589647967,143.7336411221624
MO,SO2,1,51592.9460407405,0.0
MO,SO2,2,64249.39231606124,24.53135020691888
MO,SO2,3,92581.17457060063,79.44541197064746
MO,SO2,4,122267.2484851717,136.98442881827887
MO EM190,CO2,1,12399719.009475725,0.0
MO EM190,CO2,2,14423040.79983448,16.31748097527497
MO EM190,CO2,3,19480076.062121917,57.100947587888584
MO EM190,CO2,4,26229221.36035804,111.53077211115804
MO EM190,NOx,1,296780.1899044286,0.0
MO EM190,NOx,2,345207.2409304677,16.317480975274652
MO EM190,NOx,3,486297.07983240805,63.857661789693275
MO EM190,NOx,4,679238.2762488838,128.86914267007418
MO EM190,PM25,1,540.9928529227597,0.0
MO EM190,PM25,2,629.2692587760282,16.31748097527496
MO EM190,PM25,3,1035.3343643055443,91.37671758731429
MO EM190,PM25,4,1278.0333656867997,136.2384934998894
MO EM190,SO2,1,26342.100270269744,0.0
MO EM190,SO2,2,30640.46747035885,16.317480975274908
MO EM190,SO2,3,47520.39886210757,80.39715274996544
MO EM190,SO2,4,65000.06407887106,146.75353677941737
MO EM190 X5,CO2,1,11230647.356573803,0.0
MO EM190 X5,CO2,2,12311918.396245766,9.627860312424879
MO EM190 X5,CO2,3,18384342.402001515,63.69797588952281
MO EM190 X5,CO2,4,25527858.304905612,127.3053145949152
MO EM190 X5,NOx,1,270835.1885506433,0.0
MO EM190 X5,NOx,2,297212.33962975646,9.739189069289253
MO EM190 X5,NOx,3,454667.7177004567,67.87616119366952
MO EM190 X5,NOx,4,663952.3277937316,145.14994943856036
MO EM190 X5,PM25,1,509.97836653210567,0.0
MO EM190 X5,PM25,2,562.0388793517568,10.20837671481378
MO EM190 X5,PM25,3,931.1954166824668,82.5950820256693
MO EM190 X5,PM25,4,1302.548265108314,155.41245483916268
MO EM190 X5,SO2,1,24490.76644050364,0.0
MO EM190 X5,SO2,2,26942.332990977928,10.010166714994288
MO EM190 X5,SO2,3,43403.418249951486,77.22360121065658
MO EM190 X5,SO2,4,64867.82376592175,164.86645047841864
MO OPOI,CO2,1,24271052.693572808,0.0
MO OPOI,CO2,2,27833958.540415607,14.679651071691211
MO OPOI,CO2,3,37321489.01649044,53.76955209846955
MO OPOI,CO2,4,47457825.52731053,95.53262121126615
MO OPOI,NOx,1,580913.7789392129,0.0
MO OPOI,NOx,2,672726.5434555907,15.804886688009711
MO OPOI,NOx,3,923544.5021480127,58.98133864796016
MO OPOI,NOx,4,1196921.6479835743,106.04118741497794
MO OPOI,PM25,1,1058.932547592445,0.0
MO OPOI,PM25,2,1312.3362663248286,23.930109553107435
MO OPOI,PM25,3,2074.715289231958,95.925160100987
MO OPOI,PM25,4,2640.1571997250544,149.3225093257952
MO OPOI,SO2,1,51561.692908565936,0.0
MO OPOI,SO2,2,62403.53522362334,21.026932405580983
MO OPOI,SO2,3,94343.82405021714,82.97270459586446
MO OPOI,SO2,4,123996.12015639404,140.48108811375855
MO OPOI X5,CO2,1,21031869.20863886,0.0
MO OPOI X5,CO2,2,22707409.290438056,7.966672220988158
MO OPOI X5,CO2,3,31531433.7011677,49.922165207342246
MO OPOI X5,CO2,4,42139071.31934809,100.35818453092806
MO OPOI X5,NOx,1,513047.2107482527,0.0
MO OPOI X5,NOx,2,561911.4100226272,9.524308533538
MO OPOI X5,NOx,3,786280.9255280647,53.25703152762781
MO OPOI X5,NOx,4,1075532.2878997067,109.63612419432098
MO OPOI X5,PM25,1,1047.5703258543065,0.0
MO OPOI X5,PM25,2,1234.3752502962109,17.832208476272243
