Scenario,Technology,Capacity (MW),Percentage Difference (%) (Capacity (MW))
MO,Battery,0.0,0.0
MO,NG-CC-CCS,0.0,0.0
MO,NG-CT,2659.0692017218435,13.273282694244259
MO,Offshore Storage,0.0,0.0
MO,Solar PV,0.0,0.0
MO,Wind,25684.50762722279,1.7904657716818946
MO EM190,Battery,1926.0711645884958,inf
MO EM190,NG-CC-CCS,0.0,0.0
MO EM190,NG-CT,3617.2773090902256,54.09184347317109
MO EM190,Offshore Storage,0.0,0.0
MO EM190,Solar PV,19734.93369879804,inf
MO EM190,Wind,34538.80421285857,36.88099530853068
MO EM190 X5,Battery,3965.2896376401795,inf
MO EM190 X5,NG-CC-CCS,0.0,0.0
MO EM190 X5,NG-CT,3493.0312004568027,48.799102472756275
MO EM190 X5,Offshore Storage,0.0,0.0
MO EM190 X5,Solar PV,21238.34446434571,inf
MO EM190 X5,Wind,34582.71256979962,37.055008848878316
MO OPOI,Battery,0.0,0.0
MO OPOI,NG-CC-CCS,0.0,0.0
MO OPOI,NG-CT,2510.9310954913763,6.962770138208492
MO OPOI,Offshore Storage,0.0,0.0
MO OPOI,Solar PV,0.0,0.0
MO OPOI,Wind,25608.07949044424,1.4875728467459066
MO OPOI X5,Battery,770.2983242251405,inf
MO OPOI X5,NG-CC-CCS,0.0,0.0
MO OPOI X5,NG-CT,2750.448714350901,17.16594459254722
MO OPOI X5,Offshore Storage,0.0,0.0
MO OPOI X5,Solar PV,10641.335952391706,inf
MO OPOI X5,Wind,25043.83025884173,-0.7486075359863796
MO X5,Battery,811.1455077481933,inf
MO X5,NG-CC-CCS,0.0,0.0
MO X5,NG-CT,2879.0650455216014,22.64485203518221
MO X5,Offshore Storage,0.0,0.0
MO X5,Solar PV,10656.538007344374,inf
MO X5,Wind,25034.85019560992,-0.784196492266624
SO,Battery,0.0,0.0
SO,NG-CC-CCS,0.0,0.0
SO,NG-CT,2347.481364073647,0.0
SO,Offshore Storage,0.0,0.0
SO,Solar PV,0.0,0.0
SO,Wind,25232.724334746308,0.0
SO X5,Battery,99.0262187283075,inf
SO X5,NG-CC-CCS,0.0,0.0
SO X5,NG-CT,4340.777866594613,84.91213319205848
SO X5,Offshore Storage,0.0,0.0
SO X5,Solar PV,1219.4606373312454,inf
SO X5,Wind,24811.98882559667,-1.6674200675599358
