Scenario,Zone Number,Zone,Technology,Epoch,Capacity (MW)
MO EM190,1,ME,NG-CT,1,0.0
MO EM190,1,ME,NG-CT,2,0.0
MO EM190,1,ME,NG-CT,3,0.0
MO EM190,1,ME,NG-CT,4,797.0713162895871
MO EM190,1,ME,Solar PV,1,416.7317950031622
MO EM190,1,ME,Solar PV,2,256.41232755946544
MO EM190,1,ME,Solar PV,3,789.1087863078842
MO EM190,1,ME,Solar PV,4,0.0
MO EM190,1,ME,Wind,1,2654.7051248439193
MO EM190,1,ME,Wind,2,1819.4433259776995
MO EM190,1,ME,Wind,3,0.0
MO EM190,1,ME,Wind,4,0.0
MO EM190,2,NH,Battery,1,0.0
MO EM190,2,NH,Battery,2,0.0
MO EM190,2,NH,Battery,3,0.0
MO EM190,2,NH,Battery,4,0.0
MO EM190,2,NH,NG-CC-CCS,1,0.0
MO EM190,2,NH,NG-CC-CCS,2,0.0
MO EM190,2,NH,NG-CC-CCS,3,0.0
MO EM190,2,NH,NG-CC-CCS,4,0.0
MO EM190,2,NH,NG-CT,1,0.0
MO EM190,2,NH,NG-CT,2,0.0
MO EM190,2,NH,NG-CT,3,0.0
MO EM190,2,NH,NG-CT,4,800.0
MO EM190,2,NH,Solar PV,1,0.0
MO EM190,2,NH,Solar PV,2,0.0
MO EM190,2,NH,Solar PV,3,0.0
MO EM190,2,NH,Solar PV,4,0.0
MO EM190,2,NH,Wind,1,1076.8917094886328
MO EM190,2,NH,Wind,2,1191.3242913339218
MO EM190,2,NH,Wind,3,0.0
MO EM190,2,NH,Wind,4,0.0
MO EM190,3,VT,Battery,1,0.0
MO EM190,3,VT,Battery,2,0.0
MO EM190,3,VT,Battery,3,0.0
MO EM190,3,VT,Battery,4,0.0
MO EM190,3,VT,NG-CC-CCS,1,0.0
MO EM190,3,VT,NG-CC-CCS,2,0.0
MO EM190,3,VT,NG-CC-CCS,3,0.0
MO EM190,3,VT,NG-CC-CCS,4,0.0
MO EM190,3,VT,NG-CT,1,0.0
MO EM190,3,VT,NG-CT,2,0.0
MO EM190,3,VT,NG-CT,3,0.0
MO EM190,3,VT,NG-CT,4,400.0
MO EM190,3,VT,Solar PV,1,213.4807919641792
MO EM190,3,VT,Solar PV,2,708.6743321136048
MO EM190,3,VT,Solar PV,3,1120.6581301819424
MO EM190,3,VT,Solar PV,4,0.0
MO EM190,3,VT,Wind,1,0.0
MO EM190,3,VT,Wind,2,1451.869135907443
MO EM190,3,VT,Wind,3,0.0
MO EM190,3,VT,Wind,4,0.0
MO EM190,4,WCMA,Battery,1,0.0
MO EM190,4,WCMA,Battery,2,0.0
MO EM190,4,WCMA,Battery,3,0.0
MO EM190,4,WCMA,Battery,4,0.0
MO EM190,4,WCMA,NG-CC-CCS,1,0.0
MO EM190,4,WCMA,NG-CC-CCS,2,0.0
MO EM190,4,WCMA,NG-CC-CCS,3,0.0
MO EM190,4,WCMA,NG-CC-CCS,4,0.0
MO EM190,4,WCMA,NG-CT,1,0.0
MO EM190,4,WCMA,NG-CT,2,0.0
MO EM190,4,WCMA,NG-CT,3,0.0
MO EM190,4,WCMA,NG-CT,4,400.0
MO EM190,4,WCMA,Solar PV,1,3280.009413833278
MO EM190,4,WCMA,Solar PV,2,0.0
