Date,Hr_End,RT_Demand,tot_solar_mwh,tot_wind_mwh,net_demand_mwh
1-Jan-22,1,117267.1781,0,5896.511745,111370.6664
1-Jan-22,2,118780.4624,0,5792.834164,112987.6283
1-Jan-22,3,122307.0229,0,5876.165118,116430.8578
1-Jan-22,4,127341.1629,0,5796.031289,121545.1316
1-Jan-22,5,131696.0562,0,6006.146647,125689.9095
1-Jan-22,6,133418.6274,0,6116.04853,127302.5789
1-Jan-22,7,132834.7931,0,5942.986348,126891.8067
1-Jan-22,8,131143.5913,0,5842.526479,125301.0649
1-Jan-22,9,129064.2911,446.8433203,5892.299872,122725.1479
1-Jan-22,10,127156.4842,2254.702407,4525.690009,120376.0917
1-Jan-22,11,125500.4499,2789.629965,4301.050395,118409.7696
1-Jan-22,12,124375.5077,2563.298769,4796.811634,117015.3973
1-Jan-22,13,125016.097,2275.544381,5595.706197,117144.8464
1-Jan-22,14,128229.7395,2329.339652,6391.651091,119508.7488
1-Jan-22,15,134316.7123,2511.082677,6474.576889,125331.0527
1-Jan-22,16,136525.3942,2487.616148,6385.70472,127652.0733
1-Jan-22,17,136652.2032,1291.173877,6550.029078,128811.0002
1-Jan-22,18,135253.9426,22.72407731,7264.214764,127967.0037
1-Jan-22,19,132758.7507,0,7739.306808,125019.4439
1-Jan-22,20,129354.1358,0,8238.942657,121115.1931
1-Jan-22,21,125521.6539,0,8242.206899,117279.447
1-Jan-22,22,122389.4318,0,8219.340902,114170.0909
1-Jan-22,23,120646.5222,0,8024.220428,112622.3018
1-Jan-22,24,119764.7964,0,7812.689359,111952.107
2-Jan-22,1,119712.6451,0,7677.480099,112035.165
2-Jan-22,2,120377.3837,0,7542.407099,112834.9766
2-Jan-22,3,122150.3546,0,7259.695401,114890.6592
2-Jan-22,4,124866.6535,0,7034.617678,117832.0359
2-Jan-22,5,127701.3672,0,6946.866334,120754.5009
2-Jan-22,6,129039.9579,0,6884.452687,122155.5052
2-Jan-22,7,128472.1697,0,6789.677825,121682.4919
2-Jan-22,8,126874.662,0,6960.360549,119914.3014
2-Jan-22,9,124846.225,460.3593728,6951.946545,117433.9191
2-Jan-22,10,122726.5066,2400.515514,6149.788352,114176.2027
2-Jan-22,11,120845.4801,2945.151753,5869.858519,112030.4698
2-Jan-22,12,119723.5285,2767.398708,5531.286055,111424.8437
2-Jan-22,13,120003.4204,2486.865415,5461.732495,112054.8225
2-Jan-22,14,123143.0466,2615.329716,5461.344702,115066.3722
2-Jan-22,15,129163.3405,2899.486366,5367.46807,120896.386
2-Jan-22,16,131755.783,3048.352882,5259.975635,123447.4545
2-Jan-22,17,132253.941,1479.675069,5307.697542,125466.5683
2-Jan-22,18,131844.0954,30.4416869,5870.522652,125943.131
2-Jan-22,19,130010.2585,0,6284.330131,123725.9284
2-Jan-22,20,127389.2837,0,6276.613573,121112.6701
2-Jan-22,21,124361.2492,0,6357.861905,118003.3873
2-Jan-22,22,121900.6687,0,6256.441239,115644.2275
2-Jan-22,23,120169.2546,0,6188.290179,113980.9644
2-Jan-22,24,119593.8162,0,6038.357042,113555.4592
3-Jan-22,1,119407.8999,0,5811.348879,113596.5511
3-Jan-22,2,119791.0596,0,5406.762159,114384.2974
3-Jan-22,3,121103.89,0,5296.245256,115807.6447
3-Jan-22,4,122951.6887,0,5176.08388,117775.6048
3-Jan-22,5,125184.9413,0,4869.600909,120315.3404
3-Jan-22,6,125875.402,0,4677.793668,121197.6084
3-Jan-22,7,124277.9169,0,4574.150859,119703.766
3-Jan-22,8,121623.9833,0,4455.524538,117168.4587
3-Jan-22,9,119000.6495,326.9059792,4368.419771,114305.3237
3-Jan-22,10,116777.1966,1596.83915,3689.625754,111490.7317
3-Jan-22,11,114773.539,2199.48333,2521.198237,110052.8575
3-Jan-22,12,113582.6942,2072.003804,2328.599298,109182.0911
3-Jan-22,13,113949.6538,2047.297335,2402.591417,109499.7651
3-Jan-22,14,117007.5055,1949.055721,2518.925783,112539.524
3-Jan-22,15,122751.9591,1957.207412,2662.205549,118132.5462
3-Jan-22,16,124743.9639,1576.057872,2789.071205,120378.8348
3-Jan-22,17,124523.886,620.3187509,3089.861436,120813.7058
3-Jan-22,18,122936.7537,1.286268489,4015.257917,118920.2096
3-Jan-22,19,119688.3973,0,4760.023881,114928.3734
3-Jan-22,20,115484.7004,0,5135.137984,110349.5624
3-Jan-22,21,111579.9844,0,5215.333027,106364.6513
3-Jan-22,22,108656.6879,0,5329.799181,103326.8887
3-Jan-22,23,106675.3117,0,5361.530721,101313.781
3-Jan-22,24,105692.1278,0,5345.551419,100346.5764
4-Jan-22,1,105454.9069,0,5498.747334,99956.1596
4-Jan-22,2,106607.8311,0,5917.486835,100690.3443
4-Jan-22,3,110093.6594,0,6399.571918,103694.0874
4-Jan-22,4,115836.3959,0,6734.154585,109102.2413
4-Jan-22,5,120005.7227,0,7370.560826,112635.1619
4-Jan-22,6,120971.0541,0,7742.673086,113228.381
4-Jan-22,7,120345.7872,0,7892.461032,112453.3261
4-Jan-22,8,118707.6849,0,8117.777923,110589.907
4-Jan-22,9,116946.9167,144.71557,8138.402628,108663.7985
4-Jan-22,10,115438.716,889.653704,8008.649438,106540.4128
