longitude,latitude,unit,zone,status,ave_marg_damages_isrm_LePeule,node,tech,fuel,Generation (MWh) Unadjusted,Generation (MWh),aq_costs,Specification
-73.235486,42.336215,Existing Oil 35,WCMA,Existing,46.07783098,4,Oil,Oil,81.6,9384.00005508,182931.98545559705,MO EM190 X5
-73.2058,42.4433,Existing Oil 31,WCMA,Existing,92.97915266,4,Oil,Oil,42.2,4853.000028485001,178566.17488276795,MO EM190 X5
-73.108976,41.209797,Existing Oil 3,CT,Existing,21.94525142,6,Oil,Oil,1352.1254000007789,155494.42191277427,1545031.5721245836,MO EM190 X5
-72.904323,41.283997,Existing Oil 61,CT,Existing,49.37634365,6,Oil,Oil,1733.2357669636465,199322.11437075352,4075851.3791944785,MO EM190 X5
-72.7942,41.2925,Existing Oil 1,CT,Existing,72.79641688,6,Oil,Oil,65.39999999998909,7521.000044143746,216665.07538214396,MO EM190 X5
-72.7137063,41.6184324,New NG-CT 6,CT,New,28.317600000000002,6,NG-CT,Gas,48120.59648252609,7695790.3495705435,86240842.10357906,MO EM190 X5
-72.671667,43.926667,New NG-CT 3,VT,New,28.317600000000002,3,NG-CT,Gas,48267.00187393348,7824718.622693782,87685642.7465343,MO EM190 X5
-72.579075,41.554944,Existing Oil 7,CT,Existing,19.18844466,6,Oil,Oil,3998.3019606647968,494606.3071136384,4456458.687394552,MO EM190 X5
-72.506761,42.395356,New NG-CT 4,WCMA,New,28.317600000000002,4,NG-CT,Gas,47832.31573292299,7817903.622389129,87609272.24545352,MO EM190 X5
-72.2322,41.5683,Existing Oil 154,CT,Existing,133.6953449,6,Oil,Oil,-6.483702463810914e-14,-1.4290790764603933e-11,-1.124795738068104e-09,MO EM190 X5
-72.1175,41.5694,Existing Oil 153,CT,Existing,133.6953449,6,Oil,Oil,-6.838973831690964e-14,-1.4188650257085378e-11,-1.112730893439174e-09,MO EM190 X5
-72.0825,41.362778,Existing Oil 149,CT,Existing,133.6953449,6,Oil,Oil,-6.039613253960852e-14,-1.18838272631816e-11,-9.874026507309238e-10,MO EM190 X5
-72.0411,41.3469,Existing Oil 155,CT,Existing,133.6953449,6,Oil,Oil,-6.661338147750939e-14,-1.3455903058434693e-11,-1.049166457199332e-09,MO EM190 X5
-72.02,41.3367,Existing Oil 151,CT,Existing,133.6953449,6,Oil,Oil,-5.950795411990839e-14,-1.2083667402373877e-11,-9.159771591434895e-10,MO EM190 X5
-71.577222,43.685,New NG-CT 2,NH,New,28.317600000000002,2,NG-CT,Gas,93799.86707349567,15101869.29426324,169235109.86082464,MO EM190 X5
-71.4692,43.1411,Existing Coal 44,NH,Existing,105.4654119,2,Coal,Coal,395.112103101216,45437.89212334052,1896406.987927796,MO EM190 X5
-71.4692,43.1411,Existing Oil 45,NH,Existing,105.4654119,2,Oil,Oil,74.4,8556.000050220002,357095.3124300631,MO EM190 X5
-71.361273,42.498045,New NG-CT 5,NEMA,New,28.317600000000002,5,NG-CT,Gas,128092.11879236017,20377496.762242556,239933783.7021735,MO EM190 X5
-71.1931,41.7103,Existing Coal 29,SEMA,Existing,60.37583423,8,Coal,Coal,480.0,55200.00032400001,1318880.7896399186,MO EM190 X5
-70.9672,42.235,Existing Oil 37,SEMA,Existing,34.13986798,8,Oil,Oil,16.200000000000003,1863.0000109350003,28646.660259640343,MO EM190 X5
-70.790833,43.1,Existing Oil 67,NH,Existing,13.74748878,2,Oil,Oil,4912.0,631120.0026532001,4173723.948836418,MO EM190 X5
-70.7842,43.0978,Existing Coal 46,NH,Existing,20.39510344,2,Coal,Coal,599.9999999999986,69000.00040499987,633832.2143311658,MO EM190 X5
-70.7842,43.0978,Existing Oil 47,NH,Existing,20.39510344,2,Oil,Oil,233.19999999999862,30210.000123489808,279837.5514853449,MO EM190 X5
-70.5097,41.7694,Existing Oil 27,SEMA,Existing,7.809595005,8,Oil,Oil,6492.4770500952945,770533.946908202,2781252.1810214357,MO EM190 X5
-70.1567,43.7508,Existing Oil 17,ME,Existing,44.16033273,1,Oil,Oil,2647.8458502467,304502.2745656665,5840537.429091548,MO EM190 X5
-69.233333,45.253333,New NG-CT 1,ME,New,28.317600000000002,1,NG-CT,Gas,68340.53490038672,11161789.949026618,125081651.2485995,MO EM190 X5
