longitude,zone,node,fuel,ave_marg_damages_isrm_LePeule,latitude,status,unit,tech,Generation (MWh) Unadjusted,Generation (MWh),aq_costs,Specification
-73.108976,CT,6,Oil,21.94525142,41.209797,Existing,Existing Oil 3,Oil,731.4980365593414,219449.41144327613,2052204.3435643548,MO EM190
-72.7137063,CT,6,Gas,28.317600000000002,41.6184324,New,New NG-CT 6,NG-CT,4944.704939037393,1712209.3491657707,19187421.879016917,MO EM190
-72.671667,VT,3,Gas,28.317600000000002,43.926667,New,New NG-CT 3,NG-CT,23590.512401294895,8142897.380108227,91251228.96087594,MO EM190
-72.579075,CT,6,Oil,19.18844466,41.554944,Existing,Existing Oil 7,Oil,1927.7868740320725,578336.0634626832,4828642.508315831,MO EM190
-72.506761,WCMA,4,Gas,28.317600000000002,42.395356,New,New NG-CT 4,NG-CT,24131.83978753962,8339551.935107581,93454986.29524711,MO EM190
-72.2322,CT,6,Oil,133.6953449,41.5683,Existing,Existing Oil 154,Oil,-3.907985046680551e-14,-1.508126957130429e-11,-1.1480853738145688e-09,MO EM190
-72.1175,CT,6,Oil,133.6953449,41.5694,Existing,Existing Oil 153,Oil,-3.375077994860476e-14,-1.3198331325781076e-11,-1.0470978817838939e-09,MO EM190
-72.0825,CT,6,Oil,133.6953449,41.362778,Existing,Existing Oil 149,Oil,-2.930988785010413e-14,-1.155076035264102e-11,-9.197525134209162e-10,MO EM190
-72.0411,CT,6,Oil,133.6953449,41.3469,Existing,Existing Oil 155,Oil,-3.730349362740526e-14,-1.398436921449253e-11,-1.180253436907611e-09,MO EM190
-72.02,CT,6,Oil,133.6953449,41.3367,Existing,Existing Oil 151,Oil,-3.108624468950438e-14,-1.1777245844157846e-11,-9.68048835600721e-10,MO EM190
-71.577222,NH,2,Gas,28.317600000000002,43.685,New,New NG-CT 2,NG-CT,45497.061512070584,15702451.785164598,175965378.9320044,MO EM190
-71.361273,NEMA,5,Gas,28.317600000000002,42.498045,New,New NG-CT 5,NG-CT,76802.38060928673,26571042.793672875,309022412.0517881,MO EM190
-70.9672,SEMA,8,Oil,34.13986798,42.235,Existing,Existing Oil 37,Oil,2.7,810.0000017550001,10943.347112389254,MO EM190
-70.790833,NH,2,Oil,13.74748878,43.1,Existing,Existing Oil 67,Oil,3167.5441624706154,950263.2508000884,5903861.2588967215,MO EM190
-70.7842,NH,2,Coal,20.39510344,43.0978,Existing,Existing Coal 46,Coal,400.0,120000.00026,1102316.8904072188,MO EM190
-70.7842,NH,2,Oil,20.39510344,43.0978,Existing,Existing Oil 47,Oil,148.3999999999991,44520.00009645973,416050.5788972814,MO EM190
-70.5097,SEMA,8,Oil,7.809595005,41.7694,Existing,Existing Oil 27,Oil,800.0,240000.00052,741725.2657733398,MO EM190
-70.1567,ME,1,Oil,44.16033273,43.7508,Existing,Existing Oil 17,Oil,1277.3762124042048,383212.86455155595,8162933.149073392,MO EM190
-69.233333,ME,1,Gas,28.317600000000002,45.253333,New,New NG-CT 1,NG-CT,46091.021374183685,16030427.849642593,179640756.08049682,MO EM190
