,PJM_AP,PJM_ATSI,PJM_COMD,PJM_Dom,PJM_EMAC,PJM_PENE,PJM_SMAC,PJM_WMAC,PJM_West,ATLSHR,OCN1,OCN2,SKPJK1,SKPJK2,MRWN,MMTM,CVOW
100,5546.710999,7477.990405,10677.72528,12768.85591,15557.09777,1940.273762,7476.593084,6020.82599,21446.65354,0,0,0,0,0,0,0,0
100,5522.500768,7505.837337,10808.88442,12766.95401,15540.70109,1938.55891,7484.52469,5977.437685,21351.82247,0,0,0,0,0,0,0,0
100,5516.834149,7502.212102,10873.94396,12658.16087,15614.37104,1949.968825,7420.586584,6004.720166,21335.23859,0,0,0,0,0,0,0,0
100,5579.704705,7654.927818,10969.45906,12787.26902,15739.56217,1965.682149,7521.582315,6058.747725,21736.07873,0,0,0,0,0,0,0,0
100,5447.71544,7508.161099,11116.26055,12419.00418,15095.16008,1919.302411,7317.989064,5827.361856,21254.52036,0,0,0,0,0,0,0,0
100,5209.433224,7316.302024,11016.65858,11831.86915,14225.46481,1843.058377,6962.166376,5543.771712,20397.97661,0,0,0,0,0,0,0,0
100,4977.621331,7030.161702,10798.42918,11143.23667,13393.80897,1777.767763,6538.78234,5212.975895,19333.92058,0,0,0,0,0,0,0,0
100,4767.960904,6778.12073,10399.00435,10554.59123,12629.57522,1719.554629,6188.102219,4949.188123,18502.03267,0,0,0,0,0,0,0,0
100,4611.655792,6664.724161,9991.829702,10140.89312,12109.45212,1684.147272,5854.488702,4741.072517,17916.11665,0,0,0,0,0,0,0,0
100,4489.529956,6562.385952,9585.565151,9795.036092,11765.31883,1657.945522,5637.329046,4670.836047,17467.5969,0,0,0,0,0,0,0,0
100,4427.082518,6485.362294,9389.876792,9615.357372,11581.37283,1645.241844,5458.728923,4620.065304,17183.41075,0,0,0,0,0,0,0,0
335,6052.411552,7555.130837,10175.98919,12233.97422,15048.64135,2068.092733,7080.671575,6834.248629,23780.19852,0,0,0,0,0,0,0,0
335,6183.602464,7675.062351,10076.57426,12591.14789,15403.36,2098.628499,7290.516504,7049.590588,24191.459,0,0,0,0,0,0,0,0
335,6370.382693,8003.565553,10058.43983,13222.18103,16303.49979,2175.715043,7765.903457,7495.173962,25375.48315,0,0,0,0,0,0,0,0
335,6714.230535,8606.412964,10337.17177,14220.40636,17778.63963,2336.304081,8437.005156,8144.490363,27220.94124,0,0,0,0,0,0,0,0
335,6914.941166,9081.289687,10990.11833,14721.5539,18569.30289,2433.859208,8729.268925,8412.396486,28358.8221,0,0,0,0,0,0,0,0
335,7013.117411,9177.525293,11963.18465,14738.75511,18574.00805,2434.797006,8743.479816,8376.010608,28394.34421,0,0,0,0,0,0,0,0
335,6915.72343,9192.613458,12560.90451,14587.02884,18360.95534,2446.965497,8635.767925,8245.482583,28301.8426,0,0,0,0,0,0,0,0
335,6872.610667,9177.677997,12724.82799,14283.8139,18183.01689,2439.963469,8513.915279,8060.810338,28208.79327,0,0,0,0,0,0,0,0
335,6782.752759,9108.124769,12754.33688,14166.53223,18034.01936,2467.874402,8325.39686,7860.717719,27887.7581,0,0,0,0,0,0,0,0
335,6703.089247,9092.680489,12743.02221,14044.48356,17958.10782,2416.897765,8206.362861,7743.250679,27829.95306,0,0,0,0,0,0,0,0
335,6626.839663,9112.377013,12680.29232,13931.78894,18001.48362,2406.229222,8067.374276,7686.485833,27911.35152,0,0,0,0,0,0,0,0
335,6608.218269,9097.372533,12587.86639,13899.0478,18016.46875,2366.69708,7974.053309,7615.926779,27893.90326,0,0,0,0,0,0,0,0
335,6628.513428,9111.539317,12561.89834,14063.46219,18262.60647,2364.700849,8044.166239,7659.345255,27950.56941,0,0,0,0,0,0,0,0
335,6833.087187,9262.728955,12476.37644,14650.87387,19160.0709,2414.049565,8499.620779,7926.627257,28438.56596,0,0,0,0,0,0,0,0
335,7141.749544,9668.196484,12504.1,15585.779,20279.23951,2510.905656,9054.583248,8318.209896,29733.1297,0,0,0,0,0,0,0,0
335,7213.105283,9683.409656,13068.2296,15845.89795,20406.42922,2517.35465,9090.712789,8394.019455,29953.00028,0,0,0,0,0,0,0,0
335,7226.067791,9662.235552,13456.213,15859.33425,20243.57096,2499.707551,9063.759318,8359.219762,29788.50245,0,0,0,0,0,0,0,0
335,7116.94609,9549.947962,13271.52833,15654.72055,19834.90286,2489.906384,8872.251652,8263.374443,29422.64452,0,0,0,0,0,0,0,0
335,6945.867649,9239.5978,13035.08003,15283.38589,19113.96468,2429.334526,8627.056341,8012.10682,28716.02468,0,0,0,0,0,0,0,0
335,6661.191005,8787.561306,12736.84043,14654.35079,17978.16254,2298.499132,8160.601478,7615.126691,27497.10004,0,0,0,0,0,0,0,0
335,6430.899869,8310.336036,12280.51977,14103.59697,16879.91777,2191.034529,7782.873056,7274.632317,26244.00644,0,0,0,0,0,0,0,0
335,6216.4208,8027.608129,11586.73303,13830.77947,16082.15736,2113.900876,7500.974839,7040.372182,25395.92671,0,0,0,0,0,0,0,0
335,6084.909593,7885.627153,10899.31418,13678.69881,15746.04472,2077.144144,7368.416332,6905.334588,24891.92966,0,0,0,0,0,0,0,0
335,6030.515613,7789.354915,10460.91481,13744.80849,15523.94754,2061.529379,7343.416684,6897.57382,24783.26334,0,0,0,0,0,0,0,0
223,4961.844128,7450.296243,11099.50067,11005.78556,14908.07416,1841.732817,6455.087409,5777.575007,20360.37937,0,0,0,0,0,0,0,0
223,5081.962455,7652.272486,10844.47928,11294.66185,15414.77957,1899.90414,6743.695948,5991.096272,21066.77953,0,0,0,0,0,0,0,0
223,5311.549111,8067.210408,10879.87416,11847.81085,16162.92735,2029.077115,7162.847563,6357.784479,22587.51416,0,0,0,0,0,0,0,0
223,5425.317436,8426.490327,11459.2041,12332.47056,17303.82147,2094.120636,7579.677244,6735.353434,23318.33071,0,0,0,0,0,0,0,0
223,5719.224726,8870.097176,12236.59379,12839.68918,18578.88105,2172.224741,8050.969102,7077.071153,24438.13122,0,0,0,0,0,0,0,0
223,5944.124149,9432.489891,13022.13981,13643.11137,19871.87227,2263.075519,8509.445129,7430.277974,25597.4397,0,0,0,0,0,0,0,0
223,6309.584212,9968.319198,13866.5626,14505.55271,21030.34125,2351.828074,8991.826469,7764.459075,27078.60397,0,0,0,0,0,0,0,0
223,6554.068201,10397.38309,14651.79384,15316.65338,22165.54622,2417.219361,9383.388903,8066.942405,28409.86556,0,0,0,0,0,0,0,0
223,6710.086237,10838.41725,15343.15218,16005.5179,23152.2336,2456.587368,9722.045294,8291.699277,29615.67328,0,0,0,0,0,0,0,0
223,6938.878121,11212.23874,15788.02121,16546.35135,24193.00468,2505.674319,10047.81499,8516.286442,30577.69114,0,0,0,0,0,0,0,0
223,7068.861146,11244.15925,16330.63782,16892.12159,24999.94549,2503.606906,10310.34002,8686.19088,31046.80446,0,0,0,0,0,0,0,0
223,7204.76811,11320.57681,16882.06808,17238.17128,25665.1007,2527.482238,10539.45919,8815.294941,31103.38382,0,0,0,0,0,0,0,0
223,7281.171318,11494.49175,17145.19078,17447.46488,26261.95799,2526.112316,10736.13146,8900.900028,30923.46917,0,0,0,0,0,0,0,0
223,7302.740432,11450.46987,17253.47892,17459.42232,26566.46662,2524.511736,10788.66964,8909.059663,30530.7859,0,0,0,0,0,0,0,0
223,7208.628461,11237.23487,17087.1166,17320.28437,26195.1427,2500.653733,10454.66685,8773.028178,30076.52104,0,0,0,0,0,0,0,0
223,7082.747404,10952.68451,16639.31445,16833.92641,25373.21332,2496.750906,10159.56783,8550.722962,29264.83004,0,0,0,0,0,0,0,0
223,6994.768718,10815.80126,16040.52156,16405.95839,24835.75136,2495.198689,9884.961627,8460.365733,28808.58996,0,0,0,0,0,0,0,0
223,6757.415958,10483.97679,15597.02142,15595.25015,23609.0127,2427.332102,9467.126444,8109.873922,28222.61696,0,0,0,0,0,0,0,0
223,6322.441043,9855.674499,15300.40821,14468.35022,21881.75253,2281.132949,8799.468459,7571.033184,26233.02511,0,0,0,0,0,0,0,0
223,5943.954437,9190.323101,14664.85601,13473.01794,20145.51602,2135.672091,8143.858142,7110.444535,24296.76898,0,0,0,0,0,0,0,0
223,5636.965194,8648.586976,13644.96446,12643.8218,18681.66984,2054.866032,7591.874907,6702.578075,22866.91674,0,0,0,0,0,0,0,0
223,5380.63772,8224.5673,12611.53565,11981.52759,17596.17781,2003.507428,7167.380769,6406.689825,21749.96011,0,0,0,0,0,0,0,0
223,5269.438118,7937.899247,11814.86362,11543.2386,16823.78719,1939.727987,6879.581012,6212.962781,21014.67742,0,0,0,0,0,0,0,0
223,5167.900885,7737.937517,11238.54325,11285.28725,16350.67205,1901.572453,6745.988301,6084.007639,20547.11831,0,0,0,0,0,0,0,0
350,5986.879787,7424.839692,9454.868042,12508.67195,15068.10924,2020.943097,7105.557071,6681.354207,22056.6329,0,0,0,0,0,0,0,0
350,6120.645866,7546.613628,9271.313892,12671.22375,15380.60487,2046.092883,7333.783379,6883.686984,22431.27015,0,0,0,0,0,0,0,0
350,6325.667273,7790.534098,9186.429098,13141.3129,16223.39473,2163.041484,7809.8398,7247.303169,23393.22169,0,0,0,0,0,0,0,0
350,6606.284999,8377.876992,9439.410667,13867.6102,17622.31364,2317.149917,8449.239524,7907.077383,25192.98553,0,0,0,0,0,0,0,0
