fuel,longitude,node,status,unit,latitude,zone,ave_marg_damages_isrm_LePeule,tech,Generation (MWh) Unadjusted,Generation (MWh),aq_costs,Specification
Oil,-73.1703,3,Existing,Existing Oil 53,44.4906,VT,133.6953449,Oil,270.0,30959.999999999956,2186774.1907368815,SO
Oil,-73.120886,6,Existing,Existing Oil 10,41.776109,CT,339.9972675,Oil,340.2821516801464,34658.3936512131,6408082.62972033,SO
Oil,-73.1164,3,Existing,Existing Oil 54,44.4821,VT,133.6953449,Oil,120.0,13759.99999999998,971899.6403275027,SO
Oil,-73.116267,6,Existing,Existing Oil 6,41.798943,CT,206.9482785,Oil,356.6963908455621,36135.6751761005,4132648.223144913,SO
Oil,-73.108976,6,Existing,Existing Oil 3,41.209797,CT,21.94525142,Oil,3109.4025179286723,279846.22661358,3469056.378956757,SO
Oil,-73.1075,6,Existing,Existing Oil 146,41.2108,CT,133.6953449,Oil,2651.896550997804,238670.68958980194,17898267.79238697,SO
Oil,-73.0631,3,Existing,Existing Oil 65,43.7089,VT,133.6953449,Oil,138.0,15823.999999999975,1117684.586376628,SO
Oil,-72.9923,3,Existing,Existing Oil 51,43.603,VT,133.6953449,Oil,198.0,22703.999999999964,1603634.4065403794,SO
Oil,-72.904323,6,Existing,Existing Oil 61,41.283997,CT,49.37634365,Oil,3581.301007610333,322317.09068492934,6965525.813393754,SO
Oil,-72.7942,6,Existing,Existing Oil 1,41.2925,CT,72.79641688,Oil,370.59999999999627,37386.999999999236,1474460.288052173,SO
Oil,-72.768611,6,Existing,Existing Oil 172,41.691389,CT,133.6953449,Oil,21.0,2074.999999999997,145895.46818545926,SO
Oil,-72.756389,6,Existing,Existing Oil 179,41.483611,CT,133.6953449,Oil,60.9,6017.49999999999,423096.8577378319,SO
Oil,-72.6027,3,Existing,Existing Oil 52,44.251,VT,133.6953449,Oil,390.895167646043,48505.36089889861,3454196.6111882506,SO
Oil,-72.5911,4,Existing,Existing Oil 66,42.1483,WCMA,133.6953449,Oil,153.9,16847.999999999975,1162583.8210031714,SO
Oil,-72.579075,6,Existing,Existing Oil 7,41.554944,CT,19.18844466,Oil,3040.602812883612,273654.25315952464,2345963.664679502,SO
Oil,-72.576666,6,Existing,Existing Oil 145,41.554444,CT,133.6953449,Oil,2962.85231233953,266656.7081105572,19636331.25929027,SO
Oil,-72.5106,4,Existing,Existing Oil 58,42.1978,WCMA,220.9678966,Oil,3784.136433160191,340572.27898441657,35906421.21404342,SO
Oil,-72.4203,3,Existing,Existing Oil 50,43.4011,VT,133.6953449,Oil,197.99999999999977,22703.9999999999,1603634.4065403761,SO
Oil,-72.286735,2,Existing,Existing Oil 112,43.701916,NH,133.6953449,Oil,84.0,11444.999999999985,786728.1396740722,SO
Oil,-72.2322,6,Existing,Existing Oil 154,41.5683,CT,133.6953449,Oil,109.2,10789.99999999998,758656.434564388,SO
Oil,-72.1175,6,Existing,Existing Oil 153,41.5694,CT,133.6953449,Oil,109.2,10789.99999999998,758656.434564388,SO
Oil,-72.1022,6,Existing,Existing Oil 150,41.4711,CT,133.6953449,Oil,218.4,21579.999999999967,1517312.8691287765,SO
Oil,-72.1019,6,Existing,Existing Oil 4,41.4281,CT,131.7203012,Oil,3104.390542469309,279395.1488222373,16230507.085085101,SO
Oil,-72.093611,6,Existing,Existing Oil 181,41.542778,CT,133.6953449,Oil,218.4,21579.999999999967,1517312.8691287765,SO
Oil,-72.0833,6,Existing,Existing Oil 156,41.5256,CT,133.6953449,Oil,42.0,4149.999999999994,291790.9363709185,SO
Oil,-72.0825,6,Existing,Existing Oil 149,41.362778,CT,133.6953449,Oil,109.2,10789.999999999982,758656.4345643881,SO
Oil,-72.064935,6,Existing,Existing Oil 14,41.52679,CT,145.0566647,Oil,399.0,39424.999999999935,3007577.343006846,SO
Oil,-72.055357,3,Existing,Existing Oil 55,44.887379,VT,133.6953449,Oil,42.0,4815.999999999993,340164.87411462597,SO
Oil,-72.041829,6,Existing,Existing Oil 5,41.555425,CT,242.6216617,Oil,388.5,38387.49999999994,4898090.637444691,SO
Oil,-72.0411,6,Existing,Existing Oil 155,41.3469,CT,133.6953449,Oil,109.2,10789.999999999982,758656.434564388,SO
Oil,-72.02,6,Existing,Existing Oil 151,41.3367,CT,133.6953449,Oil,109.2,10789.999999999982,758656.4345643881,SO
Oil,-71.9825,6,Existing,Existing Oil 152,41.6041,CT,133.6953449,Oil,54.6,5394.999999999992,379328.2172821941,SO
Oil,-71.87268,2,Existing,Existing Oil 113,42.971653,NH,133.6953449,Oil,25.200000000000003,3433.4999999999955,236018.44190222162,SO
Oil,-71.7172,4,Existing,Existing Oil 60,42.2747,WCMA,133.6953449,Oil,265.6927972856393,29035.519253550763,2004934.4456548095,SO
Oil,-71.6881,2,Existing,Existing Oil 116,43.7644,NH,133.6953449,Oil,33.599999999999994,4577.999999999994,314691.2558696288,SO
Oil,-71.56,8,Existing,Existing Oil 68,42.388611,SEMA,133.6953449,Oil,69.2,6227.999999999989,685027.0066790676,SO
Oil,-71.494398,2,Existing,Existing Oil 43,44.595117,NH,133.6953449,Oil,214.47670629138565,29292.903566224253,2015761.747268539,SO
Oil,-71.4692,2,Existing,Existing Oil 45,43.1411,NH,105.4654119,Oil,223.20000000000002,33851.99999999996,1865140.8022994446,SO
Oil,-71.458415,7,Existing,Existing Oil 93,41.744973,RI,133.6953449,Oil,210.0,20749.999999999967,1458954.6818545926,SO
Oil,-71.446441,8,Existing,Existing Oil 23,42.140028,SEMA,440.3672816,Oil,2429.177977574738,230190.6106230526,54473073.50544972,SO
Oil,-71.436065,8,Existing,Existing Oil 182,42.297949,SEMA,133.6953449,Oil,50.0,4869.999999999992,341136.04053868126,SO
Oil,-71.3983,8,Existing,Existing Oil 18,42.2672,SEMA,133.6953449,Oil,843.8673870826316,75948.06483743672,5553051.1165452115,SO
Oil,-71.308111,8,Existing,Existing Oil 120,42.293927,SEMA,133.6953449,Oil,72.5,7061.499999999988,494647.2587810878,SO
Oil,-71.2069,2,Existing,Existing Oil 48,43.8478,NH,133.6953449,Oil,204.60000000000002,28736.999999999967,2001881.4199505497,SO
Oil,-71.1931,8,Existing,Existing Oil 30,41.7103,SEMA,133.6953449,Oil,5024.704090685561,452223.3681616997,28375293.595458303,SO
Oil,-71.0559,8,Existing,Existing Oil 105,42.3436,SEMA,133.6953449,Oil,50.0,4869.999999999992,341136.04053868126,SO
Oil,-71.031407,8,Existing,Existing Oil 73,42.339387,SEMA,535.74911,Oil,1212.3693088515079,109544.90443863552,32153190.26303719,SO
Oil,-70.9672,8,Existing,Existing Oil 37,42.235,SEMA,34.13986798,Oil,67.5,6574.499999999989,117599.892385888,SO
Oil,-70.962778,8,Existing,Existing Oil 82,42.353333,SEMA,133.6953449,Oil,939.783371884296,84580.50346958649,6159016.578616986,SO
Oil,-70.8697,8,Existing,Existing Oil 40,42.6986,SEMA,133.6953449,Oil,60.0,5843.999999999991,409363.24864641746,SO
Oil,-70.8583,8,Existing,Existing Oil 63,42.5131,SEMA,133.6953449,Oil,135.0,13148.999999999978,921067.3094544393,SO
Oil,-70.790833,2,Existing,Existing Oil 67,43.1,NH,13.74748878,Oil,3074.82710978286,350734.4398804569,2334937.6010399754,SO
Oil,-70.7842,2,Existing,Existing Oil 47,43.0978,NH,20.39510344,Oil,222.94592077022338,31831.132869320063,340268.15854596836,SO
Oil,-70.620089,8,Existing,Existing Oil 57,41.392486,SEMA,133.6953449,Oil,135.0,13148.999999999978,921067.3094544393,SO
Oil,-70.608273,8,Existing,Existing Oil 26,41.425786,SEMA,133.6953449,Oil,202.5,19723.499999999964,1381600.9641816588,SO
Oil,-70.5097,8,Existing,Existing Oil 27,41.7694,SEMA,7.809595005,Oil,9615.072572764284,865356.5315487841,3057874.852681813,SO
Oil,-70.2544,1,Existing,Existing Oil 16,43.6436,ME,133.6953449,Oil,225.83827373031795,36205.5252758374,2518661.9035919677,SO
Oil,-70.1567,1,Existing,Existing Oil 17,43.7508,ME,44.16033273,Oil,2506.1097719093673,225549.87947184267,3941651.7756921304,SO
Oil,-69.2019,1,Existing,Existing Oil 90,44.3331,ME,133.6953449,Oil,24.0,3269.999999999996,224779.4684783063,SO
Oil,-67.0033,1,Existing,Existing Oil 15,44.9136,ME,133.6953449,Oil,23.99999999999909,3269.999999999746,224779.46847829124,SO
