fuel,longitude,node,status,unit,latitude,zone,ave_marg_damages_isrm_LePeule,tech,Generation (MWh) Unadjusted,Generation (MWh),aq_costs,Specification
Coal,-71.4692,2,Existing,Existing Coal 44,43.1411,NH,105.4654119,Coal,185915.1237394376,64951625.682772815,4020526602.629018,SO
Coal,-71.1931,8,Existing,Existing Coal 29,41.7103,SEMA,60.37583423,Coal,460947.04370662494,162911418.91450188,5766400209.753865,SO
Coal,-70.7842,2,Existing,Existing Coal 46,43.0978,NH,20.39510344,Coal,40381.62003605185,14070531.55733171,168244552.7456961,SO
Gas,-72.7137063,6,New,New NG-CT 6,41.6184324,CT,28.317600000000002,NG-CT,38415.31245552804,13250306.851863042,148486064.34545878,SO
Gas,-72.506761,4,New,New NG-CT 4,42.395356,WCMA,28.317600000000002,NG-CT,37635.10910317088,12778061.84686345,143193975.416263,SO
Gas,-71.576667,7,New,New NG-CT 7,41.671667,RI,28.317600000000002,NG-CT,37181.9407729715,12581047.19759402,140986182.7805547,SO
Gas,-71.361273,5,New,New NG-CT 5,42.498045,NEMA,28.317600000000002,NG-CT,98378.12077817373,33572544.095794916,376221848.94141066,SO
Gas,-70.780095,8,New,New NG-CT 8,41.850783,SEMA,28.317600000000002,NG-CT,38682.791230251176,13310567.70282307,149161361.65692478,SO
Oil,-73.5989,6,Existing,Existing Oil 2,41.0289,CT,151.8447747,Oil,1464.2065202762203,140720.2534668596,12103052.141380297,SO
Oil,-73.5564,6,Existing,Existing Oil 140,41.0372,CT,133.6953449,Oil,713.3962854178035,64748.3323296022,5288350.149955745,SO
Oil,-73.3928,6,Existing,Existing Oil 158,41.1117,CT,133.6953449,Oil,126.0,12449.999999999978,875372.8091127555,SO
Oil,-73.235486,4,Existing,Existing Oil 35,42.336215,WCMA,46.07783098,Oil,329.3486644651454,33415.37980186303,844711.3396288793,SO
Oil,-73.2239,3,Existing,Existing Oil 56,44.4814,VT,133.6953449,Oil,280.5,34679.99999999995,2481229.5119309174,SO
Oil,-73.2058,4,Existing,Existing Oil 31,42.4433,WCMA,92.97915266,Oil,323.9053651686018,33054.982865174105,1707557.3452498133,SO
