ave_marg_damages_isrm_LePeule,zone,node,longitude,latitude,fuel,unit,tech,status,Generation (MWh) Unadjusted,Generation (MWh),aq_costs,Specification
9.985430136,PJM_WMAC,8,-75.1072,40.8022,Gas,Existing NG-CC 1014,NG-CC,Existing,15175.999999999995,4231935.992103059,27131203.277481288,MO EM190
10.01388295,PJM_WMAC,8,-75.1072,40.8022,Gas,Existing NG-CC 1013,NG-CC,Existing,3583.4,1010895.99815172,8328212.380738263,MO EM190
10.12751862,PJM_EMAC,5,-75.506389,39.74564767,Gas,Existing NG-CC 457,NG-CC,Existing,12484.557287716256,4078088.744365056,29932674.012085848,MO EM190
10.20320074,PJM_WMAC,8,-77.16722,39.86916,Gas,Existing NG-CC 1050,NG-CC,Existing,2814.617848741126,797908.28225159,6697800.505691806,MO EM190
10.29009166,PJM_West,9,-82.78472,38.57306,Gas,Existing NG-CC 1029,NG-CC,Existing,2715.0,651599.998438875,5516239.599419485,MO EM190
10.33820225,PJM_WMAC,8,-77.1668,39.8729,Gas,Existing NG-CC 1052,NG-CC,Existing,2754.0,783359.998588575,6662684.04623045,MO EM190
10.58381714,PJM_AP,1,-79.76917,40.545,Gas,Existing NG-CC 1028,NG-CC,Existing,10675.0,2561999.993861875,17239878.24981527,MO EM190
10.61978306,PJM_WMAC,8,-76.070093,41.201997,Gas,Existing NG-CC 347,NG-CC,Existing,2085.499999999998,585879.9989208744,4480355.462309891,MO EM190
10.95323383,PJM_COMD,3,-88.25748,41.4806,Gas,Existing NG-CC 791,NG-CC,Existing,6240.0,2380799.9986759997,21453990.127950322,MO EM190
10.95323383,PJM_COMD,3,-88.25748,41.4806,Gas,Existing NG-CC 795,NG-CC,Existing,8851.235649094748,3333334.841300589,27163487.332514267,MO EM190
11.40922873,PJM_AP,1,-79.76917,40.545,Gas,Existing NG-CC 1026,NG-CC,Existing,1837.0,440879.99894372496,4138276.3358321814,MO EM190
11.42180143,PJM_WMAC,8,-76.070093,41.201997,Gas,Existing NG-CC 346,NG-CC,Existing,1672.7999999999665,464447.99912669195,3755811.817370431,MO EM190
11.75631665,PJM_WMAC,8,-75.9375,40.42083,Gas,Existing NG-CC 808,NG-CC,Existing,2208.0,618239.9988546,5979586.852992582,MO EM190
11.76790149,PJM_WMAC,8,-75.9375,40.42083,Gas,Existing NG-CC 810,NG-CC,Existing,6292.009583209747,1738467.8299871604,14505014.73417431,MO EM190
11.77948633,PJM_WMAC,8,-75.9375,40.42083,Gas,Existing NG-CC 809,NG-CC,Existing,2208.0,618239.9988546,5991371.591192538,MO EM190
12.27134763,PJM_COMD,3,-88.25614,41.48064,Gas,Existing NG-CC 793,NG-CC,Existing,5919.861591849581,2258327.334452999,22799323.149020433,MO EM190
12.27134763,PJM_COMD,3,-88.25614,41.48064,Gas,Existing NG-CC 797,NG-CC,Existing,8250.0,3061874.998125,28076054.89879079,MO EM190
12.56593167,PJM_EMAC,5,-75.220256,39.841001,Gas,Existing NG-CC 1119,NG-CC,Existing,21286.718722907925,6993829.821607622,56248391.36061822,MO EM190
12.59769993,PJM_EMAC,5,-75.220256,39.841001,Gas,Existing NG-CC 1118,NG-CC,Existing,21217.0,6957227.492065275,56142983.94633746,MO EM190
13.44148982,PJM_COMD,3,-88.33022667,41.41324667,Gas,Existing NG-CC 830,NG-CC,Existing,4030.0,1486139.9990560499,14893670.268593445,MO EM190
13.69802891,PJM_COMD,3,-88.25705,41.48061,Gas,Existing NG-CC 792,NG-CC,Existing,5649.742501740819,2130296.9994309177,24007173.87104423,MO EM190
13.69802891,PJM_COMD,3,-88.25705,41.48061,Gas,Existing NG-CC 796,NG-CC,Existing,7947.528053913662,2918702.2264334913,29793942.07284933,MO EM190
13.75738347,PJM_COMD,3,-88.25838,41.48058,Gas,Existing NG-CC 790,NG-CC,Existing,5600.0,2110399.998752,23885999.81112296,MO EM190
13.75738347,PJM_COMD,3,-88.25838,41.48058,Gas,Existing NG-CC 794,NG-CC,Existing,7875.0,2880624.9981125,29585367.511703636,MO EM190
14.81925424,PJM_WMAC,8,-76.3658,40.3509,Gas,Existing NG-CC 936,NG-CC,Existing,6371.299999999999,1669719.9965342323,17063490.02188681,MO EM190
17.93124232,PJM_EMAC,5,-75.33577,39.86248,Gas,Existing NG-CC 843,NG-CC,Existing,2198.2999999999997,635815.9988881676,9379606.848583939,MO EM190
18.04513825,PJM_EMAC,5,-75.33577,39.86248,Gas,Existing NG-CC 845,NG-CC,Existing,9048.565245258987,2784867.654878942,35098048.56686821,MO EM190
18.15903418,PJM_EMAC,5,-75.33577,39.86248,Gas,Existing NG-CC 844,NG-CC,Existing,2198.2999999999997,635815.9988881676,9498761.899415221,MO EM190
18.39028323,PJM_EMAC,5,-75.50444433,39.74564767,Gas,Existing NG-CC 453,NG-CC,Existing,2295.6237526875957,648969.499892895,9818734.301581578,MO EM190
19.3843234,PJM_EMAC,5,-74.211871,40.624411,Gas,Existing NG-CC 150,NG-CC,Existing,2259.6000000000004,632687.9988278325,10089811.369194953,MO EM190
19.43511979,PJM_EMAC,5,-74.211871,40.624411,Gas,Existing NG-CC 149,NG-CC,Existing,13878.833267397793,4339829.528059668,52027277.41127037,MO EM190
19.48591618,PJM_EMAC,5,-74.211871,40.624411,Gas,Existing NG-CC 151,NG-CC,Existing,1720.7185793443718,417135.4307541897,6687144.5863683,MO EM190
19.85026591,PJM_EMAC,5,-74.211871,40.624411,Gas,Existing NG-CC 147,NG-CC,Existing,1661.7554794553885,398821.3141137838,6513096.198176064,MO EM190
19.86409061,PJM_EMAC,5,-74.211871,40.624411,Gas,Existing NG-CC 146,NG-CC,Existing,11465.658241331987,3499362.812807293,41751651.314752854,MO EM190
19.8779153,PJM_EMAC,5,-74.211871,40.624411,Gas,Existing NG-CC 148,NG-CC,Existing,1506.4,361535.99913382,5912418.770930175,MO EM190
24.75900568,PJM_WMAC,8,-76.06848,41.20334,Gas,Existing NG-CT 1089,NG-CT,Existing,1.9184653865522705e-13,5.801581427444802e-11,1.1817412499120292e-09,MO EM190
26.96637334,PJM_EMAC,5,-76.30826,39.73872,Gas,Existing NG-CC 992,NG-CC,Existing,3042.7110974749767,847370.6618091355,15846189.923089165,MO EM190
29.85848294,PJM_EMAC,5,-76.30826,39.73872,Gas,Existing NG-CC 994,NG-CC,Existing,10953.56906485179,3289763.9611885347,51561863.543532126,MO EM190
31.14855732,PJM_EMAC,5,-76.30826,39.73872,Gas,Existing NG-CC 993,NG-CC,Existing,2562.0,692959.99863665,14888252.554522801,MO EM190
31.46051817,PJM_EMAC,5,-76.30826,39.73872,Gas,Existing NG-CC 991,NG-CC,Existing,2334.491814501296,632598.0342396784,13688842.145265538,MO EM190
39.31088066,PJM_EMAC,5,-74.168576,40.062369,Gas,Existing NG-CC 722,NG-CC,Existing,398.5,95639.9997708625,3093108.4207216566,MO EM190
40.42742977,PJM_EMAC,5,-75.118141,39.918222,Gas,Existing NG-CC 633,NG-CC,Existing,326.0,78239.99981255,2602242.5615883735,MO EM190
55.72897316,PJM_SMAC,7,-76.527476,39.178421,Gas,Existing NG-CC 69,NG-CC,Existing,2267.999999999929,544319.998695883,21654739.11289177,MO EM190
94.77943172,PJM_EMAC,5,-74.025002,40.8396,Gas,Existing NG-CC 127,NG-CC,Existing,2600.3999999999965,737567.9986643386,45062208.659802936,MO EM190
