EIA_Utility_ID,EIA_Plant_Code,EIA_State,EIA_Type,EIA_Utility_Name,EIA_Plant_Name,EIA_Nameplate_Capacity_(MW)_sum,EIA_Zip,EIA_County,geometry,ave_marg_damages_isrm_Krewski,ave_marg_damages_isrm_LePeule,annual_grossLoad_MWh_2016,VOC_shortton_2016,NOx_shortton_2016,NH3_shortton_2016,SOx_shortton_2016,PM2_5_shortton_2016,unique_match
7601,3708,VT,Oil,Green Mountain Power Corp,Ascutney,13.2,5030,WINDSOR,POINT (-72.4203 43.4011),,,,,,,,,True
7601,3723,VT,Oil,Green Mountain Power Corp,Rutland,13.2,5701,RUTLAND,POINT (-72.9923 43.603),,,,,,,,,True
7601,3734,VT,Oil,Green Mountain Power Corp,Berlin 5,41.8,5641,WASHINGTON,POINT (-72.6027 44.251),,,,,,,,,True
7601,3735,VT,Oil,Green Mountain Power Corp,Colchester 16,18.0,5446,CHITTENDEN,POINT (-73.1703 44.4906),,,,,,,,,True
7601,3737,VT,Oil,Green Mountain Power Corp,Essex Junction 19,8.0,5452,CHITTENDEN,POINT (-73.1164 44.4821),,,,,,,,,True
1299,3753,VT,Oil,"Barton Village, Inc",West Charleston,2.8,5872,ORLEANS,POINT (-72.055357 44.887379),,,,,,,,,True
2548,3754,VT,Oil,City of Burlington Electric - (VT),Burlington GT,25.5,5401,CHITTENDEN,POINT (-73.2239 44.4814),,,,,,,,,True
21461,6049,MA,Oil,NRG Canal LLC,West Tisbury Generating Facility,5.4,2575,DUKES,POINT (-70.620089 41.392486),,,,,,,,,True
11806,6081,MA,Oil,Massachusetts Mun Wholes Electric Co,Stony Brook,534.6,1056,HAMPDEN,POINT (-72.5106 42.1978),98.26317726727575,220.96789659559727,83498.25,0.227539235,84.461,26.518734000000002,130.9383,5.9561688,True
6854,6115,NH,Nuclear,NextEra Energy Seabrook LLC,Seabrook,1242.0,3874,ROCKINGHAM,POINT (-70.848889 42.899167),,,,,,,,,True
17127,6125,MA,Oil,Town of Shrewsbury - (MA),Shrewsbury,14.0,1545,WORCESTER,POINT (-71.7172 42.2747),,,,,,,,,True
15452,6156,CT,Oil,PSEG Power Connecticut LLC,New Haven Harbor,641.5,6512,NEW HAVEN,POINT (-72.904323 41.283997),21.957634088234045,49.37634364888072,54450.64999999999,1.7857469,24.024250000000002,1.2018219,29.32846503,0.424928625,True
7601,6519,VT,Oil,Green Mountain Power Corp,Vergennes 9,4.0,5491,ADDISON,POINT (-73.2575 44.1664),,,,,,,,,True
