Utility ID,Plant Code,State,Type,Utility Name,Plant Name,Nameplate Capacity (MW)_sum,Minimum Load (MW)_sum,Zip,County,Latitude,Longitude,index,type,Pmax,Pmin,RUrate,RDrate,c0,c1,c2,SUcost,SDcost,UPtime,DNtime,Zone
22379,540,CT,Oil,Connecticut Jet Power LLC,Branford,21.8,17.4,6450,NEW HAVEN,41.2925,-72.7942,1,Oil,21.8,7.63,400.0,400.0,0.0,207.0218,0.0,94146.0,0.0,16.0,11.0,CT
22379,542,CT,Oil,Connecticut Jet Power LLC,Cos Cob,115.0,95.6,6430,FAIRFIELD,41.0289,-73.5989,2,Oil,115.0,40.25,400.0,400.0,0.0,207.115,0.0,94146.0,0.0,16.0,11.0,CT
22350,544,CT,Oil,Devon Power LLC,Devon Station,222.6,78.4,6460,NEW HAVEN,41.209797,-73.108976,3,Oil,222.6,77.91,400.0,400.0,0.0,207.2226,0.0,94146.0,0.0,16.0,11.0,CT
22380,546,CT,Oil,NRG Montville Operations Inc,Montville Station,420.29999999999995,127.0,6382,NEW LONDON,41.4281,-72.1019,4,Oil,420.29999999999995,147.10499999999996,400.0,400.0,0.0,207.4203,0.0,94146.0,0.0,16.0,11.0,CT
22380,546,CT,Gas_Steam,NRG Montville Operations Inc,Montville Station,75.0,40.0,6382,NEW LONDON,41.4281,-72.1019,5,Gas,75.0,15.0,400.0,400.0,0.0,56.075,0.0,14238.0,0.0,8.0,6.0,CT
54895,557,CT,Oil,FirstLight Power Resources Services LLC,Tunnel,18.5,5.0,6365,NEW LONDON,41.555425,-72.041829,6,Oil,18.5,6.475,400.0,400.0,0.0,207.0185,0.0,94146.0,0.0,16.0,11.0,CT
22379,561,CT,Oil,Connecticut Jet Power LLC,Franklin Drive,21.8,16.1,6790,LITCHFIELD,41.798943,-73.116267,7,Oil,21.8,7.63,400.0,400.0,0.0,207.0218,0.0,94146.0,0.0,16.0,11.0,CT
12490,562,CT,Oil,Middletown Power LLC,Middletown,433.4,130.0,6457,MIDDLESEX,41.554944,-72.579075,8,Oil,433.4,151.68999999999997,400.0,400.0,0.0,207.4334,0.0,94146.0,0.0,16.0,11.0,CT
12490,562,CT,Gas_Steam,Middletown Power LLC,Middletown,353.0,145.0,6457,MIDDLESEX,41.554944,-72.579075,9,Gas,353.0,70.60000000000001,400.0,400.0,0.0,56.353,0.0,14238.0,0.0,8.0,6.0,CT
4426,563,CT,Oil,NAES Corp,South Meadow,167.2,40.0,6162,HARTFORD,41.7495,-72.6524,10,Oil,167.2,58.51999999999999,400.0,400.0,0.0,207.1672,0.0,94146.0,0.0,16.0,11.0,CT
22379,565,CT,Oil,Connecticut Jet Power LLC,Torrington Terminal,21.8,17.4,6790,LITCHFIELD,41.776109,-73.120886,11,Oil,21.8,7.63,400.0,400.0,0.0,207.0218,0.0,94146.0,0.0,16.0,11.0,CT
5221,566,CT,Nuclear,Dominion Energy Nuclear Conn Inc,Millstone,2162.9,115.0,6385,NEW LONDON,41.3107,-72.1677,12,Nuclear,2162.9,1730.3200000000002,120.0,120.0,0.0,13.1629,0.0,900000.0,0.0,24.0,48.0,CT
15452,568,CT,Gas_CCGT,PSEG Power Connecticut LLC,Bridgeport Station,576.3,237.0,6604,FAIRFIELD,41.1706,-73.1844,13,Gas,576.3,115.25999999999999,400.0,400.0,0.0,56.5763,0.0,14238.0,0.0,8.0,6.0,CT
13831,581,CT,Oil,City of Norwich - (CT),North Main Street,19.0,2.0,6360,NEW LONDON,41.52679,-72.064935,14,Oil,19.0,6.6499999999999995,400.0,400.0,0.0,207.019,0.0,94146.0,0.0,16.0,11.0,CT
14876,1484,ME,Oil,FPL Energy Cape LLC,Cape Gas Turbine,35.0,4.0,4106,CUMBERLAND,43.6436,-70.2544,15,Oil,35.0,12.25,400.0,400.0,0.0,207.035,0.0,94146.0,0.0,16.0,11.0,ME
31719,1507,ME,Oil,FPL Energy Wyman LLC,William F Wyman Hybrid,846.0,110.0,4096,CUMBERLAND,43.7508,-70.1567,16,Oil,846.0,296.09999999999997,400.0,400.0,0.0,207.846,0.0,94146.0,0.0,16.0,11.0,ME
6035,1586,MA,Oil,Exelon Power,Exelon Framingham LLC,42.599999999999994,15.0,1701,NORFOLK,42.2672,-71.3983,17,Oil,42.599999999999994,14.909999999999997,400.0,400.0,0.0,207.0426,0.0,94146.0,0.0,16.0,11.0,SEMASS
49965,1588,MA,Gas_CCGT,Constellation Mystic Power LLC,Mystic Generating Station,1744.4,710.0,2129,MIDDLESEX,42.3908,-71.0675,18,Gas,1744.4,348.88000000000005,400.0,400.0,0.0,57.7444,0.0,14238.0,0.0,8.0,6.0,SEMASS
6035,1592,MA,Oil,Exelon Power,Exelon Medway LLC,135.0,60.0,2053,NORFOLK,42.140028,-71.446441,19,Oil,135.0,47.25,400.0,400.0,0.0,207.135,0.0,94146.0,0.0,16.0,11.0,SEMASS
59528,1595,MA,Gas_CCGT,"Kendall Green Energy, LLC",Kendall Square Station,213.39999999999998,104.0,2142,MIDDLESEX,42.3633,-71.0792,20,Gas,213.39999999999998,42.68,400.0,400.0,0.0,56.2134,0.0,14238.0,0.0,8.0,6.0,SEMASS
59528,1595,MA,Oil,"Kendall Green Energy, LLC",Kendall Square Station,21.3,14.0,2142,MIDDLESEX,42.3633,-71.0792,21,Oil,21.3,7.455,400.0,400.0,0.0,207.0213,0.0,94146.0,0.0,16.0,11.0,SEMASS
64488,1597,MA,Oil,Vineyard Reliability LLC,Oak Bluffs Diesel Generating Facility,8.100000000000001,6.0,2557,DUKES,41.425786,-70.608273,22,Oil,8.100000000000001,2.8350000000000004,400.0,400.0,0.0,207.0081,0.0,94146.0,0.0,16.0,11.0,SEMASS
61708,1599,MA,Oil,NRG Canal 3 Development LLC,Canal,1165.0,370.0,2563,BARNSTABLE,41.7694,-70.5097,23,Oil,1165.0,407.75,400.0,400.0,0.0,208.165,0.0,94146.0,0.0,16.0,11.0,SEMASS
61708,1599,MA,Gas_GT,NRG Canal 3 Development LLC,Canal,330.0,103.0,2563,BARNSTABLE,41.7694,-70.5097,24,Gas,330.0,66.0,400.0,400.0,0.0,343.33,0.0,0.0,0.0,1.0,1.0,SEMASS
