latitude,zone,longitude,fuel,node,ave_marg_damages_isrm_LePeule,unit,tech,status,Generation (MWh) Unadjusted,Generation (MWh),aq_costs,Specification
39.178421,PJM_SMAC,-76.527476,Gas,7,55.72897316,Existing NG-CC 69,NG-CC,Existing,34961.33333319932,6250269.998653879,256795398.65062568,SO X5
39.18717,PJM_EMAC,-75.49942,Gas,5,1.480886124,Existing NG-CC 1121,NG-CC,Existing,74819.51022486562,13083175.887449833,12606230.434028411,SO X5
39.18717,PJM_EMAC,-75.49942,Gas,5,1.480886124,Existing NG-CC 1122,NG-CC,Existing,54142.51921408429,9199747.499331353,8452866.74391747,SO X5
39.375774,PJM_EMAC,-74.96519,Gas,5,9.075311829,Existing NG-CT 407,NG-CT,Existing,475.4999996,60929.166868495835,349323.57488487294,SO X5
39.489029,PJM_EMAC,-75.035192,Gas,5,6.21194926,Existing NG-CT 157,NG-CT,Existing,495.00000000000045,61875.00028462508,203873.33229696177,SO X5
39.5325,PJM_West,-81.71694,Gas,9,1.447889442,Existing NG-CC 986,NG-CC,Existing,18608.36990246461,3072204.843635445,3659555.8079286064,SO X5
39.53296,PJM_West,-81.71694,Gas,9,1.418956326,Existing NG-CC 987,NG-CC,Existing,79327.93581541094,13478385.766500883,13954953.804027213,SO X5
39.53305,PJM_West,-81.71694,Gas,9,1.390103444,Existing NG-CC 985,NG-CC,Existing,18608.36990246461,3072204.843635445,3513501.0896168677,SO X5
39.53333,PJM_West,-81.71694,Gas,9,1.418876091,Existing NG-CC 984,NG-CC,Existing,18608.36990246461,3072204.843635445,3586224.25782568,SO X5
39.5798,PJM_West,-81.6571,Gas,9,7.338844988,Existing NG-CC 962,NG-CC,Existing,18728.3333332,3005255.0011665835,18144785.847850073,SO X5
39.5798,PJM_West,-81.6571,Gas,9,7.352794065,Existing NG-CC 964,NG-CC,Existing,67352.05089269174,11300929.375916645,60555108.694556,SO X5
39.5798,PJM_West,-81.6571,Gas,9,7.366743142,Existing NG-CC 963,NG-CC,Existing,18728.3333332,3005255.0011665835,18213762.101021796,SO X5
39.71305,PJM_West,-83.17555,Gas,9,67.54049304,Existing NG-CT 870,NG-CT,Existing,11.666666399999997,1458.333306708333,63491.75470234495,SO X5
39.71333,PJM_West,-83.17583,Gas,9,67.05899182,Existing NG-CT 869,NG-CT,Existing,11.666666399999997,1458.333306708333,63039.11724038544,SO X5
39.7197,PJM_EMAC,-76.1604,Gas,5,11.92481178,Existing NG-CT 550,NG-CT,Existing,748.3333332,97616.66703954167,793634.74369817,SO X5
39.7197,PJM_EMAC,-76.1604,Gas,5,12.00933098,Existing NG-CT 549,NG-CT,Existing,522.6666663999999,67766.66690620001,524603.5776991496,SO X5
39.7197,PJM_EMAC,-76.1604,Gas,5,12.06153055,Existing NG-CT 551,NG-CT,Existing,607.7333332,75966.66699944666,635909.3723572256,SO X5
