longitude,latitude,fuel,zone,status,node,tech,ave_marg_damages_isrm_LePeule,unit,Generation (MWh) Unadjusted,Generation (MWh),aq_costs,Specification
-84.1025,37.8824,Gas,PJM_West,Existing,9,NG-CT,11.67561276,Existing NG-CT 9,1152.1051106160078,161613.13931346076,1053389.4379950543,MO EM190 X5
-84.1025,37.8824,Gas,PJM_West,Existing,9,NG-CT,12.19275549,Existing NG-CT 6,147.99999999995998,22200.000048094,174482.20800500602,MO EM190 X5
-84.1025,37.8824,Gas,PJM_West,Existing,9,NG-CT,13.85084452,Existing NG-CT 8,879.9999999998399,125400.00035197717,928275.3296745297,MO EM190 X5
-84.1025,37.8824,Gas,PJM_West,Existing,9,NG-CT,14.05763666,Existing NG-CT 7,148.0,22200.000048100002,201169.2505259598,MO EM190 X5
-83.817613,38.700049,Coal,PJM_West,Existing,9,Coal,39.49324355,Existing Coal 424,4622.06953957313,632810.4330431421,10901516.718495673,MO EM190 X5
-83.817613,38.700049,Coal,PJM_West,Existing,9,Coal,45.84847857,Existing Coal 423,4472.0,610300.0020584001,11990503.006487953,MO EM190 X5
-83.46102,41.47684,Gas,PJM_ATSI,Existing,2,NG-CT,7.076490561,Existing NG-CT 943,1387.2,190740.00062424003,870073.6569605855,MO EM190 X5
-83.46102,41.47684,Gas,PJM_ATSI,Existing,2,NG-CT,7.389630692,Existing NG-CT 942,1384.8,190410.00062316,907003.1539271174,MO EM190 X5
-83.46102,41.47684,Gas,PJM_ATSI,Existing,2,NG-CT,7.850650805,Existing NG-CT 944,1232.7,171697.5005327025,868892.2865515752,MO EM190 X5
-83.1655,41.37778,Gas,PJM_ATSI,Existing,2,NG-CC,6.619972007,Existing NG-CC 1024,39186.6,5255232.00323574,22985258.356704712,MO EM190 X5
-83.1655,41.37778,Gas,PJM_ATSI,Existing,2,NG-CC,8.079041113,Existing NG-CC 1023,90082.67400240691,11692467.971901072,57338056.49384944,MO EM190 X5
-83.1655,41.37778,Gas,PJM_ATSI,Existing,2,NG-CC,9.538110219,Existing NG-CC 1025,30014.3333332,3731580.3343037134,23685593.454696763,MO EM190 X5
-82.785,38.57278,Gas,PJM_West,Existing,9,NG-CC,8.122713767,Existing NG-CC 1030,12444.0,1530795.0007228502,10229655.032071015,MO EM190 X5
-82.78486,38.57292,Gas,PJM_West,Existing,9,NG-CC,9.206402713,Existing NG-CC 1031,61082.55252455202,7629831.732845334,46702694.56241108,MO EM190 X5
-82.78472,38.57306,Gas,PJM_West,Existing,9,NG-CC,10.29009166,Existing NG-CC 1029,11946.0,1454335.0006516,12311940.363162363,MO EM190 X5
-82.78389,38.57417,Gas,PJM_West,Existing,9,NG-CC,6.699543491,Existing NG-CC 1033,16926.0,2165040.0014322,11933118.113830945,MO EM190 X5
-82.78375,38.574305,Gas,PJM_West,Existing,9,NG-CC,6.741203522,Existing NG-CC 1034,74418.0,9766970.00605235,43800335.678627245,MO EM190 X5
-82.78361,38.57444,Gas,PJM_West,Existing,9,NG-CC,6.782863554,Existing NG-CC 1032,16544.574728345848,2117743.1060693827,11817596.602973264,MO EM190 X5
-82.604615,38.191734,Gas,PJM_West,Existing,9,NG-CT,2.048647681,Existing NG-CT 815,330.0,49500.00010725001,83428.66227896191,MO EM190 X5
-82.604615,38.191734,Gas,PJM_West,Existing,9,NG-CT,2.073030169,Existing NG-CT 816,1650.0,231000.00070125004,326958.92205966986,MO EM190 X5
-82.604615,38.191734,Gas,PJM_West,Existing,9,NG-CT,2.106171706,Existing NG-CT 813,330.0,49500.00010725001,85771.25759154832,MO EM190 X5
-82.604615,38.191734,Gas,PJM_West,Existing,9,NG-CT,2.357446841,Existing NG-CT 817,1380.4957449763583,190574.3623601149,293412.59247537813,MO EM190 X5
-82.02727,40.09285,Gas,PJM_West,Existing,9,NG-CC,8.825121559,Existing NG-CC 947,30838.55204398645,3852826.9223068235,22628454.247203805,MO EM190 X5
-82.02727,40.09285,Gas,PJM_West,Existing,9,NG-CC,8.856849885,Existing NG-CC 949,52618.5917187643,6643457.427684547,36226089.50012861,MO EM190 X5
-82.02727,40.09285,Gas,PJM_West,Existing,9,NG-CC,8.88857821,Existing NG-CC 948,30643.5333332,3823023.334969186,22620398.83297007,MO EM190 X5
-81.71694,39.5325,Gas,PJM_West,Existing,9,NG-CC,1.447889442,Existing NG-CC 986,15960.0,2083200.0012432,2481470.8170973333,MO EM190 X5
-81.71694,39.53296,Gas,PJM_West,Existing,9,NG-CC,1.418956326,Existing NG-CC 987,63788.363673455606,8253630.910824954,8683715.362169797,MO EM190 X5
-81.71694,39.53305,Gas,PJM_West,Existing,9,NG-CC,1.390103444,Existing NG-CC 985,15960.0,2083200.0012432,2382434.065039959,MO EM190 X5
-81.71694,39.53333,Gas,PJM_West,Existing,9,NG-CC,1.418876091,Existing NG-CC 984,15960.0,2083200.0012432,2431746.1753365286,MO EM190 X5
-81.6571,39.5798,Gas,PJM_West,Existing,9,NG-CC,7.338844988,Existing NG-CC 962,15600.85788741957,2018524.3432584493,12187216.034206538,MO EM190 X5
-81.6571,39.5798,Gas,PJM_West,Existing,9,NG-CC,7.352794065,Existing NG-CC 964,49496.23601755902,6282474.505922838,34214513.22979257,MO EM190 X5
-81.6571,39.5798,Gas,PJM_West,Existing,9,NG-CC,7.366743142,Existing NG-CC 963,15394.0,1994060.00161995,12085275.449361345,MO EM190 X5
-81.3636,39.3331,Gas,PJM_AP,Existing,1,NG-CT,0.466590209,Existing NG-CT 946,343.4,51510.000111605,19772.882054422833,MO EM190 X5
-79.9182,39.8592,Gas,PJM_AP,Existing,1,NG-CC,3.505501953,Existing NG-CC 989,14268.0,1780020.0006177002,5133551.216659238,MO EM190 X5
-79.91815,39.85905,Gas,PJM_AP,Existing,1,NG-CC,3.348843429,Existing NG-CC 990,71591.99999999689,8908180.003178744,19967991.17822302,MO EM190 X5
-79.9181,39.8589,Gas,PJM_AP,Existing,1,NG-CC,3.192184906,Existing NG-CC 988,14789.999999999975,1858320.0007873478,4880354.220335172,MO EM190 X5
-79.76917,40.545,Gas,PJM_AP,Existing,1,NG-CC,9.758405555,Existing NG-CC 1027,10688.0,1294250.0004676,10390581.20361107,MO EM190 X5
-79.76917,40.545,Gas,PJM_AP,Existing,1,NG-CC,10.58381714,Existing NG-CC 1028,28763.79615933165,3544724.5209943894,25129555.804541398,MO EM190 X5
-79.76917,40.545,Gas,PJM_AP,Existing,1,NG-CC,11.40922873,Existing NG-CC 1026,10081.777907387574,1203693.3435129097,11298348.056143064,MO EM190 X5
-78.70482,36.86875,Coal,PJM_Dom,Existing,4,Coal,30.66096976,Existing Coal 469,7155.0,985850.0031993751,13081379.74892365,MO EM190 X5
-78.70482,36.86875,Coal,PJM_Dom,Existing,4,Coal,32.19076745,Existing Coal 468,7199.999999999985,992000.0032199982,13812406.522368418,MO EM190 X5
-78.3801,37.8669,Gas,PJM_Dom,Existing,4,NG-CC,1.375231631,Existing NG-CC 974,15471.0,1984585.5008595001,2245372.8684702045,MO EM190 X5
-78.3801,37.8669,Gas,PJM_Dom,Existing,4,NG-CC,1.436337517,Existing NG-CC 976,16000.55000195552,2031607.5631607834,2400706.8353525777,MO EM190 X5
-78.3801,37.8669,Gas,PJM_Dom,Existing,4,NG-CC,1.525950515,Existing NG-CC 977,94654.4464163219,11892101.904258773,12139484.755702695,MO EM190 X5
-78.3801,37.8669,Gas,PJM_Dom,Existing,4,NG-CC,1.766282398,Existing NG-CC 975,15290.800000000001,1925574.0008623304,2798099.5274763666,MO EM190 X5
-78.2848,37.6961,Gas,PJM_Dom,Existing,4,NG-CC,0.910301291,Existing NG-CC 1111,32870.0,4192350.00142025,2820720.160359035,MO EM190 X5
-78.2848,37.6961,Gas,PJM_Dom,Existing,4,NG-CC,1.02926131,Existing NG-CC 1112,72355.19290784116,9200655.981874764,5906063.904817671,MO EM190 X5
-78.2848,37.6961,Gas,PJM_Dom,Existing,4,NG-CC,1.148221329,Existing NG-CC 1110,32730.596676094017,4169348.452951368,3536226.736638606,MO EM190 X5
-78.2144,38.1169,Gas,PJM_Dom,Existing,4,NG-CT,10.21531045,Existing NG-CT 560,790.0,110600.00033575001,728287.7521099874,MO EM190 X5
-78.2144,38.1169,Gas,PJM_Dom,Existing,4,NG-CT,11.59778176,Existing NG-CT 556,382.5,53550.0001625625,400341.5967920262,MO EM190 X5
-78.2144,38.1169,Gas,PJM_Dom,Existing,4,NG-CT,11.85436063,Existing NG-CT 558,386.5,54110.0001642625,413477.5923171954,MO EM190 X5
-78.2144,38.1169,Gas,PJM_Dom,Existing,4,NG-CT,11.8819614,Existing NG-CT 557,385.0,53900.00016362501,412831.8654993478,MO EM190 X5
-78.2144,38.1169,Gas,PJM_Dom,Existing,4,NG-CT,12.2640199,Existing NG-CT 559,154.4,23160.000050180002,183091.30110177925,MO EM190 X5
-78.205,38.12583,Gas,PJM_Dom,Existing,4,NG-CC,5.475829282,Existing NG-CC 769,3126.2000000000003,387933.0001218,1747629.7481161135,MO EM190 X5
-78.2036,38.12417,Gas,PJM_Dom,Existing,4,NG-CC,6.747324639,Existing NG-CC 768,3045.0,375144.0001015,2082439.6049447455,MO EM190 X5
-78.17795,38.97014,Gas,PJM_AP,Existing,1,NG-CC,0.975389303,Existing NG-CC 1043,74426.71942537713,9448920.417140502,6143383.689924592,MO EM190 X5
-78.17795,38.97014,Gas,PJM_AP,Existing,1,NG-CC,1.187291644,Existing NG-CC 1045,164668.2892641876,20765676.818161096,15482551.260037987,MO EM190 X5
-78.17795,38.97014,Gas,PJM_AP,Existing,1,NG-CC,1.269545686,Existing NG-CC 1044,71929.14095104218,9130172.741352687,7749467.548646647,MO EM190 X5
-78.17795,38.97014,Gas,PJM_AP,Existing,1,NG-CC,1.316939942,Existing NG-CC 1042,71251.84077340827,8946753.678653061,7892217.8994016135,MO EM190 X5
-77.77069,38.54573,Gas,PJM_Dom,Existing,4,NG-CT,7.76911235,Existing NG-CT 562,1078.171041525392,149871.38065962237,750561.7331015839,MO EM190 X5
-77.77069,38.54573,Gas,PJM_Dom,Existing,4,NG-CT,7.894826684,Existing NG-CT 561,959.5539308216134,132934.53366200856,676513.9012945378,MO EM190 X5
-77.77069,38.54573,Gas,PJM_Dom,Existing,4,NG-CT,8.187206639,Existing NG-CT 563,760.0,106400.000323,561530.9384962103,MO EM190 X5
-77.7686,38.5292,Gas,PJM_Dom,Existing,4,NG-CT,11.73940391,Existing NG-CT 555,805.0,112700.00034212501,852837.4660154225,MO EM190 X5
-77.7686,38.5292,Gas,PJM_Dom,Existing,4,NG-CT,11.76288831,Existing NG-CT 553,805.0,112700.00034212501,854543.5472049308,MO EM190 X5
-77.7686,38.5292,Gas,PJM_Dom,Existing,4,NG-CT,12.05382666,Existing NG-CT 554,637.2,87615.00028674002,680768.9149172545,MO EM190 X5
-77.71313,36.76479,Gas,PJM_Dom,Existing,4,NG-CC,3.332454903,Existing NG-CC 1165,60629.826058304,7582326.911303393,16891833.679960493,MO EM190 X5
-77.71313,36.76479,Gas,PJM_Dom,Existing,4,NG-CC,3.384191279,Existing NG-CC 1164,60225.29358576996,7521647.040291813,17003922.451587383,MO EM190 X5
-77.71313,36.76479,Gas,PJM_Dom,Existing,4,NG-CC,3.407856829,Existing NG-CC 1167,151956.73333319998,18759208.00557563,40010349.413398676,MO EM190 X5
-77.71313,36.76479,Gas,PJM_Dom,Existing,4,NG-CC,3.506924306,Existing NG-CC 1166,56145.77561363685,6941338.917699216,16267327.498414658,MO EM190 X5
-77.51309,38.07194,Gas,PJM_Dom,Existing,4,NG-CT,5.057132318,Existing NG-CT 569,2720.0,376000.00120400003,1084576.6716086415,MO EM190 X5
-77.51309,38.07194,Gas,PJM_Dom,Existing,4,NG-CT,5.234635107,Existing NG-CT 567,2737.0,378350.00121152506,1129661.2945267174,MO EM190 X5
-77.51309,38.07194,Gas,PJM_Dom,Existing,4,NG-CT,5.437898621,Existing NG-CT 568,2720.0,376000.00120400003,1166237.6256039664,MO EM190 X5
-77.2786,38.5391,Gas,PJM_Dom,Existing,4,NG-CC,1.86815888,Existing NG-CC 379,12770.999999999152,1608255.0007201168,2471789.726214647,MO EM190 X5
-77.2786,38.5391,Gas,PJM_Dom,Existing,4,NG-CC,2.100079035,Existing NG-CC 381,60680.07296517382,7600750.94747365,10685701.733112955,MO EM190 X5
-77.2786,38.5391,Gas,PJM_Dom,Existing,4,NG-CC,2.331999191,Existing NG-CC 380,12648.958702072912,1589948.8059914985,3050382.776150752,MO EM190 X5
-77.16722,39.86916,Gas,PJM_WMAC,Existing,8,NG-CC,10.20320074,Existing NG-CC 1050,11016.0,1424429.999437725,11956948.164060196,MO EM190 X5
-77.16694,39.87165333,Gas,PJM_WMAC,Existing,8,NG-CC,9.864313262,Existing NG-CC 1053,67507.3333332,9329053.330879858,59322793.286779,MO EM190 X5
-77.1668,39.8729,Gas,PJM_WMAC,Existing,8,NG-CC,9.051536797,Existing NG-CC 1051,11322.0,1474919.999491275,10983318.800727265,MO EM190 X5
-77.1668,39.8729,Gas,PJM_WMAC,Existing,8,NG-CC,10.33820225,Existing NG-CC 1052,11016.0,1424429.999437725,12115154.01517235,MO EM190 X5
-76.6861,38.5444,Gas,PJM_SMAC,Existing,7,NG-CC,7.452279932,Existing NG-CC 88,42902.35646714911,5302273.454424951,32508287.027226202,MO EM190 X5
-76.527476,39.178421,Gas,PJM_SMAC,Existing,7,NG-CC,55.72897316,Existing NG-CC 69,6047.999999999871,767970.0010583829,30514366.650592543,MO EM190 X5
-76.3658,40.3509,Gas,PJM_WMAC,Existing,8,NG-CC,14.81925424,Existing NG-CC 936,24717.439176893975,3164318.4382991116,34495129.88270392,MO EM190 X5
-76.30826,39.73872,Gas,PJM_EMAC,Existing,5,NG-CC,26.96637334,Existing NG-CC 992,9334.175097719435,1268078.8916927374,24491285.352124427,MO EM190 X5
-76.30826,39.73872,Gas,PJM_EMAC,Existing,5,NG-CC,29.85848294,Existing NG-CC 994,27267.576084243843,4206802.678170079,71589242.35691233,MO EM190 X5
-76.30826,39.73872,Gas,PJM_EMAC,Existing,5,NG-CC,31.14855732,Existing NG-CC 993,9025.861350701645,1230209.6019142275,27421578.960681833,MO EM190 X5
-76.30826,39.73872,Gas,PJM_EMAC,Existing,5,NG-CC,31.46051817,Existing NG-CC 991,7649.867094325145,1057133.071272401,23768391.499095626,MO EM190 X5
-76.1604,39.7197,Gas,PJM_EMAC,Existing,5,NG-CT,11.92481178,Existing NG-CT 550,815.0,114100.00034637502,877068.4463894903,MO EM190 X5
-76.1604,39.7197,Gas,PJM_EMAC,Existing,5,NG-CT,12.00933098,Existing NG-CT 549,754.7448074356378,105011.72144263773,812929.5313491961,MO EM190 X5
-76.1604,39.7197,Gas,PJM_EMAC,Existing,5,NG-CT,12.06153055,Existing NG-CT 551,228.53757279506135,28567.196730791773,222109.10144438248,MO EM190 X5
-76.070093,41.201997,Gas,PJM_WMAC,Existing,8,NG-CC,10.61978306,Existing NG-CC 347,7018.544798794884,910025.859572095,7081694.629330792,MO EM190 X5
-76.070093,41.201997,Gas,PJM_WMAC,Existing,8,NG-CC,11.42180143,Existing NG-CC 346,6346.7999999999665,795563.9999458757,6625530.663649191,MO EM190 X5
-76.06848,41.20334,Gas,PJM_WMAC,Existing,8,NG-CT,24.75900568,Existing NG-CT 1089,4.405364961712621e-13,7.467804150778079e-11,1.5211390758890958e-09,MO EM190 X5
-75.9375,40.42083,Gas,PJM_WMAC,Existing,8,NG-CC,11.75631665,Existing NG-CC 808,11408.0,1412199.9999816,13658728.92296003,MO EM190 X5
-75.9375,40.42083,Gas,PJM_WMAC,Existing,8,NG-CC,11.76790149,Existing NG-CC 810,23607.73983111022,2949841.093096705,25353413.458123136,MO EM190 X5
-75.9375,40.42083,Gas,PJM_WMAC,Existing,8,NG-CC,11.77948633,Existing NG-CC 809,11172.343087491838,1377965.7315500306,13353883.20545619,MO EM190 X5
-75.506389,39.74564767,Gas,PJM_EMAC,Existing,5,NG-CC,10.12751862,Existing NG-CC 457,29900.587713233333,4430566.971343061,32874052.169828847,MO EM190 X5
-75.50444433,39.74564767,Gas,PJM_EMAC,Existing,5,NG-CC,18.39028323,Existing NG-CC 453,7574.140729963809,957761.0892724377,14490668.146209402,MO EM190 X5
-75.49942,39.18717,Gas,PJM_EMAC,Existing,5,NG-CC,1.480886124,Existing NG-CC 1121,54618.99999999991,8243994.998219562,8028259.227865279,MO EM190 X5
-75.49942,39.18717,Gas,PJM_EMAC,Existing,5,NG-CC,1.480886124,Existing NG-CC 1122,43105.89032295195,6518546.062519482,5853700.9205661,MO EM190 X5
-75.422206,39.806687,Gas,PJM_EMAC,Existing,5,NG-CC,7.859726755,Existing NG-CC 1035,15312.0,2287119.9996128003,14789013.427822614,MO EM190 X5
-75.422206,39.806687,Gas,PJM_EMAC,Existing,5,NG-CC,8.107978147,Existing NG-CC 1038,49356.08175051484,7342133.486997562,43653057.46907556,MO EM190 X5
-75.422206,39.806687,Gas,PJM_EMAC,Existing,5,NG-CC,8.166343395,Existing NG-CC 1036,14798.699999999999,2196053.99937882,14754124.935919134,MO EM190 X5
-75.422206,39.806687,Gas,PJM_EMAC,Existing,5,NG-CC,8.29786429,Existing NG-CC 1037,14256.0,2115519.9994016,14441964.290858526,MO EM190 X5
-75.33577,39.86248,Gas,PJM_EMAC,Existing,5,NG-CC,17.93124232,Existing NG-CC 843,7908.47371025691,1062963.2135735487,15680915.634809125,MO EM190 X5
-75.33577,39.86248,Gas,PJM_EMAC,Existing,5,NG-CC,18.04513825,Existing NG-CC 845,22156.2,3279788.9990600403,42602733.63347015,MO EM190 X5
-75.33577,39.86248,Gas,PJM_EMAC,Existing,5,NG-CC,18.15903418,Existing NG-CC 844,7642.6553441910255,1036533.1506330429,15485268.719143575,MO EM190 X5
-75.313775,40.61842,Gas,PJM_WMAC,Existing,8,NG-CC,9.493148215,Existing NG-CC 1020,9271.0,1203324.9995555,9398012.204046806,MO EM190 X5
-75.313775,40.61842,Gas,PJM_WMAC,Existing,8,NG-CC,9.493148215,Existing NG-CC 1022,44842.49586450344,6150259.4206138505,37571486.77739695,MO EM190 X5
-75.220256,39.841001,Gas,PJM_EMAC,Existing,5,NG-CC,12.56593167,Existing NG-CC 1119,46371.4975131634,7010059.809765557,58448839.3416037,MO EM190 X5
-75.220256,39.841001,Gas,PJM_EMAC,Existing,5,NG-CC,12.59769993,Existing NG-CC 1118,44628.000976890486,6859812.570652449,57594432.38512058,MO EM190 X5
-75.118141,39.918222,Gas,PJM_EMAC,Existing,5,NG-CC,40.42742977,Existing NG-CC 633,1496.7716478786444,180789.32210975137,6013007.027119672,MO EM190 X5
-75.1072,40.8022,Gas,PJM_WMAC,Existing,8,NG-CC,9.956977323,Existing NG-CC 1012,13767.8,1786984.9993399,14638319.72478015,MO EM190 X5
-75.1072,40.8022,Gas,PJM_WMAC,Existing,8,NG-CC,9.985430136,Existing NG-CC 1014,48930.133333199934,6757837.331539503,43509309.67606909,MO EM190 X5
-75.1072,40.8022,Gas,PJM_WMAC,Existing,8,NG-CC,10.01388295,Existing NG-CC 1013,13767.8,1786984.9993399,14721979.9295936,MO EM190 X5
-75.035192,39.489029,Gas,PJM_EMAC,Existing,5,NG-CT,6.21194926,Existing NG-CT 157,1760.0,239250.00081950004,728369.6671308926,MO EM190 X5
