zone,unit,latitude,fuel,node,status,ave_marg_damages_isrm_LePeule,longitude,tech,Generation (MWh) Unadjusted,Generation (MWh),aq_costs,Specification
PJM_AP,Existing NG-CC 1026,40.545,Gas,1,Existing,11.40922873,-79.76917,NG-CC,6513.0,1669999.9999999993,15675289.18843485,MO OPOI
PJM_AP,Existing NG-CC 1027,40.545,Gas,1,Existing,9.758405555,-79.76917,NG-CC,7458.329324716831,1940238.7974150483,15576750.065021487,MO OPOI
PJM_AP,Existing NG-CC 1028,40.545,Gas,1,Existing,10.58381714,-79.76917,NG-CC,23679.086847711285,6213392.720977383,42676337.17002621,MO OPOI
PJM_AP,Existing NG-CC 1042,38.97014,Gas,1,Existing,1.316939942,-78.17795,NG-CC,50140.32225567317,15501455.693928096,13120457.438280793,MO OPOI
PJM_AP,Existing NG-CC 1043,38.97014,Gas,1,Existing,0.975389303,-78.17795,NG-CC,54449.305703788086,16862906.00909949,10593949.75618503,MO OPOI
PJM_AP,Existing NG-CC 1044,38.97014,Gas,1,Existing,1.269545686,-78.17795,NG-CC,51642.67041733487,16007071.996207802,13016406.957484562,MO OPOI
PJM_AP,Existing NG-CC 1045,38.97014,Gas,1,Existing,1.187291644,-78.17795,NG-CC,126337.83785863337,37543974.48461045,26734297.26369638,MO OPOI
PJM_AP,Existing NG-CC 988,39.8589,Gas,1,Existing,3.192184906,-79.9181,NG-CC,9396.0,2914499.999999999,7654113.5913838325,MO OPOI
PJM_AP,Existing NG-CC 989,39.8592,Gas,1,Existing,3.505501953,-79.9182,NG-CC,8004.0,2091479.999999999,6031797.224128165,MO OPOI
PJM_AP,Existing NG-CC 990,39.85905,Gas,1,Existing,3.348843429,-79.91815,NG-CC,50504.59169139203,15258923.371710444,32616932.22041113,MO OPOI
PJM_AP,Existing NG-CT 1010,39.86666,Gas,1,Existing,7.530104892,-77.68334,NG-CT,44.0,9679.999999999996,59967.947803279465,MO OPOI
PJM_AP,Existing NG-CT 1011,39.86666,Gas,1,Existing,7.842758213,-77.68334,NG-CT,44.0,9679.999999999996,62457.843801165116,MO OPOI
PJM_AP,Existing NG-CT 945,39.3331,Gas,1,Existing,6.273263383,-81.3636,NG-CT,171.7,37773.99999999998,194952.72116407615,MO OPOI
PJM_AP,Existing NG-CT 946,39.3331,Gas,1,Existing,0.466590209,-81.3636,NG-CT,171.7,37773.99999999998,14500.113475159826,MO OPOI
PJM_ATSI,Existing NG-CC 1023,41.37778,Gas,2,Existing,8.079041113,-83.1655,NG-CC,54312.551445035075,14370471.135594396,69094439.7464067,MO OPOI
PJM_ATSI,Existing NG-CC 1024,41.37778,Gas,2,Existing,6.619972007,-83.1655,NG-CC,23140.628956475786,6616605.651922532,27361763.402625147,MO OPOI
PJM_ATSI,Existing NG-CC 1025,41.37778,Gas,2,Existing,9.538110219,-83.1655,NG-CC,19837.2,5066615.999999996,31373710.831175026,MO OPOI
PJM_ATSI,Existing NG-CT 941,41.47684,Gas,2,Existing,6.614370536,-83.46102,NG-CT,178.5,39269.999999999985,213693.94928962304,MO OPOI
PJM_ATSI,Existing NG-CT 942,41.47684,Gas,2,Existing,7.389630692,-83.46102,NG-CT,173.1,38081.99999999998,231518.27973960957,MO OPOI
PJM_ATSI,Existing NG-CT 943,41.47684,Gas,2,Existing,7.076490561,-83.46102,NG-CT,173.4,38147.999999999985,222091.7925523031,MO OPOI
PJM_ATSI,Existing NG-CT 944,41.47684,Gas,2,Existing,7.850650805,-83.46102,NG-CT,176.1,38741.99999999998,250224.88653374655,MO OPOI
PJM_COMD,Existing NG-CC 790,41.48058,Gas,3,Existing,13.75738347,-88.25838,NG-CC,14400.0,5086399.999999998,57569062.50527956,MO OPOI
PJM_COMD,Existing NG-CC 791,41.4806,Gas,3,Existing,10.95323383,-88.25748,NG-CC,17486.303679592012,6428504.472885162,57928877.50985407,MO OPOI
PJM_COMD,Existing NG-CC 792,41.48061,Gas,3,Existing,13.69802891,-88.25705,NG-CC,14743.325374381768,5208280.507905525,58694208.2516477,MO OPOI
PJM_COMD,Existing NG-CC 793,41.48064,Gas,3,Existing,12.27134763,-88.25614,NG-CC,15981.115087991493,5763302.505434639,58184389.0486276,MO OPOI
PJM_COMD,Existing NG-CC 794,41.48058,Gas,3,Existing,13.75738347,-88.25838,NG-CC,22412.525905176164,7896439.782699558,79654605.99361175,MO OPOI
PJM_COMD,Existing NG-CC 795,41.4806,Gas,3,Existing,10.95323383,-88.25748,NG-CC,25884.218667891648,9320959.669645837,75667489.76592295,MO OPOI
PJM_COMD,Existing NG-CC 796,41.48061,Gas,3,Existing,13.69802891,-88.25705,NG-CC,23307.38727387829,8224421.730514591,82748408.03962238,MO OPOI
PJM_COMD,Existing NG-CC 797,41.48064,Gas,3,Existing,12.27134763,-88.25614,NG-CC,24604.906099978587,8776506.940294418,79444294.84657557,MO OPOI
PJM_COMD,Existing NG-CC 801,41.774885,Gas,3,Existing,8.098491983,-89.6075,NG-CC,54814.28129276155,19664764.205686796,105460061.18708782,MO OPOI
PJM_COMD,Existing NG-CC 802,41.774895,Gas,3,Existing,8.229878788,-89.606175,NG-CC,52893.15458208521,18929326.40232339,103550191.21047287,MO OPOI
PJM_COMD,Existing NG-CC 803,41.774885,Gas,3,Existing,8.098491983,-89.6075,NG-CC,46477.73198659529,16834296.26219983,85628749.04363257,MO OPOI
PJM_COMD,Existing NG-CC 804,41.774895,Gas,3,Existing,8.229878788,-89.606175,NG-CC,43950.10505086575,15918303.905520981,83056245.90121168,MO OPOI
PJM_COMD,Existing NG-CC 807,41.71217,Gas,3,Existing,7.729298667,-90.27933,NG-CC,41819.87346458227,15076624.36826827,86271560.84788023,MO OPOI
PJM_COMD,Existing NG-CC 830,41.41324667,Gas,3,Existing,13.44148982,-88.33022667,NG-CC,11837.976546985796,4181031.859190534,41291488.93168615,MO OPOI
PJM_COMD,Existing NG-CT 832,41.39327,Gas,3,Existing,10.53271152,-87.94502,NG-CT,38.441671102780674,8457.167642611745,73283.79188170192,MO OPOI
PJM_COMD,Existing NG-CT 851,41.82875,Gas,3,Existing,14.5452821,-89.405,NG-CT,18.233333200000004,4011.3333039999993,29468.68190816553,MO OPOI
PJM_COMD,Existing NG-CT 852,41.82875,Gas,3,Existing,15.30734507,-89.405,NG-CT,18.233333200000004,4011.3333039999993,31012.618361410525,MO OPOI
PJM_Dom,Existing Coal 468,36.86875,Coal,4,Existing,32.19076745,-78.70482,Coal,20439.99999999997,4720799.999999992,89539718.05628367,MO OPOI
PJM_Dom,Existing Coal 469,36.86875,Coal,4,Existing,30.66096976,-78.70482,Coal,21747.03648945762,5151148.027680674,93905316.26251438,MO OPOI
PJM_Dom,Existing NG-CC 1110,37.6961,Gas,4,Existing,1.148221329,-78.2848,NG-CC,26790.0,7890699.999999997,6732790.1482925005,MO OPOI
PJM_Dom,Existing NG-CC 1111,37.6961,Gas,4,Existing,0.910301291,-78.2848,NG-CC,27955.389737348847,8624895.53452977,5768523.097899273,MO OPOI
PJM_Dom,Existing NG-CC 1112,37.6961,Gas,4,Existing,1.02926131,-78.2848,NG-CC,66065.99999999991,20030339.999999966,12491672.382782301,MO OPOI
PJM_Dom,Existing NG-CC 1164,36.76479,Gas,4,Existing,3.384191279,-77.71313,NG-CC,53835.6,16018729.99999999,34334833.9104953,MO OPOI
PJM_Dom,Existing NG-CC 1165,36.76479,Gas,4,Existing,3.332454903,-77.71313,NG-CC,55883.97485303018,17242851.455909044,37166009.05280232,MO OPOI
PJM_Dom,Existing NG-CC 1166,36.76479,Gas,4,Existing,3.506924306,-77.71313,NG-CC,49613.2,14562001.99999999,32339377.70954412,MO OPOI
PJM_Dom,Existing NG-CC 1167,36.76479,Gas,4,Existing,3.407856829,-77.71313,NG-CC,144188.19999999998,41748663.99999998,84080543.9260611,MO OPOI
PJM_Dom,Existing NG-CC 379,38.5391,Gas,4,Existing,1.86815888,-77.2786,NG-CC,10246.499999999281,3188294.9999997783,4900214.7181959655,MO OPOI
PJM_Dom,Existing NG-CC 380,38.5391,Gas,4,Existing,2.331999191,-77.2786,NG-CC,10098.0,3143744.9999999986,6031405.265674521,MO OPOI
PJM_Dom,Existing NG-CC 381,38.5391,Gas,4,Existing,2.100079035,-77.2786,NG-CC,55645.72829949308,17167938.489847917,23338067.743084572,MO OPOI
PJM_Dom,Existing NG-CC 768,38.12417,Gas,4,Existing,6.747324639,-78.2036,NG-CC,2314.2,630923.9999999997,3502284.789186755,MO OPOI
PJM_Dom,Existing NG-CC 769,38.12583,Gas,4,Existing,5.475829282,-78.205,NG-CC,2314.2000000000003,630923.9999999998,2842298.930109628,MO OPOI
PJM_Dom,Existing NG-CC 974,37.8669,Gas,4,Existing,1.375231631,-78.3801,NG-CC,12720.6,3948542.999999998,4467407.082410008,MO OPOI
PJM_Dom,Existing NG-CC 975,37.8669,Gas,4,Existing,1.766282398,-78.3801,NG-CC,12268.2,3817365.9999999986,5547109.587074245,MO OPOI
PJM_Dom,Existing NG-CC 976,37.8669,Gas,4,Existing,1.436337517,-78.3801,NG-CC,13408.8,4162163.9999999977,4918339.42039112,MO OPOI
PJM_Dom,Existing NG-CC 977,37.8669,Gas,4,Existing,1.525950515,-78.3801,NG-CC,86954.8430369754,26825041.520176705,26612800.94890927,MO OPOI
PJM_Dom,Existing NG-CT 561,38.54573,Gas,4,Existing,7.894826684,-77.77069,NG-CT,153.0,33659.999999999985,218624.8455599795,MO OPOI
PJM_Dom,Existing NG-CT 562,38.54573,Gas,4,Existing,7.76911235,-77.77069,NG-CT,151.0,33219.999999999985,212331.2095408805,MO OPOI
PJM_Dom,Existing NG-CT 564,38.54573,Gas,4,Existing,7.659567836,-77.77069,NG-CT,152.0,33439.999999999985,210723.6786613313,MO OPOI
PJM_Dom,Existing NG-CT 565,38.07194,Gas,4,Existing,5.275309188,-77.51309,NG-CT,151.0,33219.999999999985,144175.12968391555,MO OPOI
PJM_Dom,Existing NG-CT 566,38.07194,Gas,4,Existing,5.064132646,-77.51309,NG-CT,151.0,33219.999999999985,138403.63757909092,MO OPOI
PJM_Dom,Existing NG-CT 567,38.07194,Gas,4,Existing,5.234635107,-77.51309,NG-CT,255.3333332,56173.33330399997,207406.53018461083,MO OPOI
PJM_Dom,Existing NG-CT 568,38.07194,Gas,4,Existing,5.437898621,-77.51309,NG-CT,253.3333332,55733.33330399997,213871.76825297944,MO OPOI
PJM_Dom,Existing NG-CT 569,38.07194,Gas,4,Existing,5.057132318,-77.51309,NG-CT,253.3333332,55733.33330399997,198896.2844881158,MO OPOI
PJM_EMAC,Existing NG-CC 1035,39.806687,Gas,5,Existing,7.859726755,-75.422206,NG-CC,10208.0,2787839.9999999986,18026777.432579376,MO OPOI
PJM_EMAC,Existing NG-CC 1036,39.806687,Gas,5,Existing,8.166343395,-75.422206,NG-CC,10331.301650350326,2814378.495105096,18908320.080239438,MO OPOI
PJM_EMAC,Existing NG-CC 1037,39.806687,Gas,5,Existing,8.29786429,-75.422206,NG-CC,9856.0,2682239.999999999,18310776.693422668,MO OPOI
PJM_EMAC,Existing NG-CC 1038,39.806687,Gas,5,Existing,8.107978147,-75.422206,NG-CC,33972.0,9285679.999999996,55218324.18782954,MO OPOI
PJM_EMAC,Existing NG-CC 1118,39.841001,Gas,5,Existing,12.59769993,-75.220256,NG-CC,34140.3333332,9270846.666623995,76017539.50105703,MO OPOI
PJM_EMAC,Existing NG-CC 1119,39.841001,Gas,5,Existing,12.56593167,-75.220256,NG-CC,34140.3333332,9270846.666623995,75825842.2092618,MO OPOI
PJM_EMAC,Existing NG-CC 1121,39.18717,Gas,5,Existing,1.480886124,-75.49942,NG-CC,41392.34234068097,12562446.227490263,12010567.865855608,MO OPOI
PJM_EMAC,Existing NG-CC 1122,39.18717,Gas,5,Existing,1.480886124,-75.49942,NG-CC,32964.0,9803099.999999994,8708273.681439912,MO OPOI
PJM_EMAC,Existing NG-CC 125,40.8396,Gas,5,Existing,95.1056135,-74.025002,NG-CC,1418.3999999999492,312047.9999999887,24415766.25496325,MO OPOI
PJM_EMAC,Existing NG-CC 126,40.8396,Gas,5,Existing,94.45324995,-74.025002,NG-CC,1772.999999999989,407789.99999999674,31688105.92056617,MO OPOI
PJM_EMAC,Existing NG-CC 127,40.8396,Gas,5,Existing,94.77943172,-74.025002,NG-CC,4325.934452870701,956927.7086005857,65837953.72196504,MO OPOI
PJM_EMAC,Existing NG-CC 146,40.624411,Gas,5,Existing,19.86409061,-74.211871,NG-CC,33561.783463717686,8975610.70838967,115901593.07286614,MO OPOI
PJM_EMAC,Existing NG-CC 147,40.624411,Gas,5,Existing,19.85026591,-74.211871,NG-CC,8285.2,2195577.999999999,35855683.28105755,MO OPOI
PJM_EMAC,Existing NG-CC 148,40.624411,Gas,5,Existing,19.8779153,-74.211871,NG-CC,8285.2,2195577.999999999,35905626.5803186,MO OPOI
PJM_EMAC,Existing NG-CC 149,40.624411,Gas,5,Existing,19.43511979,-74.211871,NG-CC,33778.77608131552,9045048.346020961,114404984.05185837,MO OPOI
PJM_EMAC,Existing NG-CC 150,40.624411,Gas,5,Existing,19.3843234,-74.211871,NG-CC,8473.5,2255833.999999999,35974982.26991065,MO OPOI
PJM_EMAC,Existing NG-CC 151,40.624411,Gas,5,Existing,19.48591618,-74.211871,NG-CC,8285.2,2195577.999999999,35197555.6478233,MO OPOI
PJM_EMAC,Existing NG-CC 453,39.74564767,Gas,5,Existing,18.39028323,-75.50444433,NG-CC,8415.0,2240259.999999999,33894532.3471926,MO OPOI
PJM_EMAC,Existing NG-CC 457,39.74564767,Gas,5,Existing,10.12751862,-75.506389,NG-CC,20945.94783222433,5715304.349667296,42351200.99209344,MO OPOI
PJM_EMAC,Existing NG-CC 633,39.918222,Gas,5,Existing,40.42742977,-75.118141,NG-CC,2540.794515852553,661790.2450728166,22010975.801360447,MO OPOI
PJM_EMAC,Existing NG-CC 722,40.062369,Gas,5,Existing,39.31088066,-74.168576,NG-CC,3108.3,809751.9999999997,26188318.024852857,MO OPOI
PJM_EMAC,Existing NG-CC 843,39.86248,Gas,5,Existing,17.93124232,-75.33577,NG-CC,7609.5,2025817.9999999988,29885024.00067275,MO OPOI
PJM_EMAC,Existing NG-CC 844,39.86248,Gas,5,Existing,18.15903418,-75.33577,NG-CC,7609.5,2025817.9999999988,30264672.27499588,MO OPOI
PJM_EMAC,Existing NG-CC 845,39.86248,Gas,5,Existing,18.04513825,-75.33577,NG-CC,20589.600000000002,5496527.999999997,72552316.61363661,MO OPOI
