,ME,NH,VT,WCMA,NEMA,CT,RI,SEMA,VINE,MFLR1,MFLR2,COMW,PKCTY,CTREV,RIREV
t19,1573.13,1558.72,778.13,2166.07,3001.62,3761.04,1001.25,1878.17,0,0,0,0,0,0,0
t20,1534.53,1519.81,758.61,2118.86,2931.74,3686.45,979.55,1831.52,0,0,0,0,0,0,0
t21,1479.52,1472.34,737.71,2062.82,2841.44,3582.69,954.74,1768.61,0,0,0,0,0,0,0
t22,1408.61,1396.59,715.14,1979.59,2732.51,3416.67,912.25,1681.44,0,0,0,0,0,0,0
t23,1332.08,1301.65,677.7,1862.61,2586.89,3213.86,856.54,1554.22,0,0,0,0,0,0,0
t24,1271.05,1212.95,641.71,1746.89,2440.31,2960.38,795.75,1433.45,0,0,0,0,0,0,0
t1,1059.25,1010.08,514.45,1473.33,2097.09,2379.14,682.17,1222.74,0,0,0,0,0,0,0
t2,1038.51,982.44,497.72,1426.45,2035.93,2304.91,661.15,1181.96,0,0,0,0,0,0,0
t3,1026.96,971.76,489.86,1406.58,2004.34,2268.14,652.59,1170.54,0,0,0,0,0,0,0
t4,1049.58,974.53,489.96,1409.66,1996.45,2261.57,652.65,1175.91,0,0,0,0,0,0,0
t5,1091.68,1012.72,500.27,1447.57,2044.19,2340.57,676.71,1213.84,0,0,0,0,0,0,0
t6,1168.61,1110.21,539.42,1575,2192.72,2527.73,713.31,1316.86,0,0,0,0,0,0,0
t7,1316.37,1266.64,612.49,1776.83,2466.75,2889.4,794.53,1488.19,0,0,0,0,0,0,0
t8,1416.09,1355.47,655.4,1897.92,2645.12,3155.4,852.97,1590.78,0,0,0,0,0,0,0
t9,1436.3,1371.83,586.25,1927.1,2716.95,3238.28,881.58,1598.53,0,0,0,0,0,0,0
t10,1429.43,1359.96,478.21,1916.18,2724.56,3259.76,900.2,1577.09,0,0,0,0,0,0,0
t11,1397.91,1336.28,403.75,1890.58,2654.86,3285.87,900.52,1551.26,0,0,0,0,0,0,0
