index,type,location_node,Pg,Qg,Qmax,Qmin,Vg,mBase,status,Pmax,Pmin,c2,c1,c0,SUcost,SDcost,RUrate,RDrate,UPtime,DNtime,Zone,PlannedRetirementYear,CO2mtonperMWh,SO2mtonperMWh,NOxmtonperMWh,PM25mtonperMWh,*Plant Name,UniqueID_Final,ORIS Plant Code,Boiler/Generator/Committed Unit,Unit ID,CAMD Database UnitID,PlantType,Combustion Turbine/IC Engine,Region Name,State Name,State Code,County,County Code,FIPS5,Capacity (MW),Heat Rate (Btu/kWh),On Line Year,Retirement Year,Firing,Bottom,Cogen?,Modeled Fuels,Wet/DryScrubber,Scrubber_Online_Year,Scrubber Efficiency,NOx Comb Control,NOx Post-Comb Control,SCR_Online_Year,SNCR_Online_Year,PM Control,FlueGasConditioning_Flag,Mercury_Controls,ACI_Online_Year,Mercury_Controls Efficiency,SO2 Permit Rate (lbs/mmBtu),Mode 1 NOx Rate (lbs/mmBtu),Mode 2 NOx Rate (lbs/mmBtu),Mode 3 NOx Rate  (lbs/mmBtu),Mode 4 NOx Rate  (lbs/mmBtu),Hg EMF for BIT,Hg EMF for SUB,Hg EMF for LIG,HCL Removal,DSI Unit,DSI Online Year,CCS,CCS Removal,C2G,C2G Online Year,BART Affected Unit,Owner Name,Owner Percent,Holding Company,Holding Company Percent,Latitude,Longitude,ave_marg_damages_isrm_Krewski,ave_marg_damages_isrm_LePeule,ave_marg_damages_imputed
975,Combined Cycle,4,0,0,0,0,0,1,0,177.8,0,0,56.392,0,0,0,400,400,8,6,PJM_Dom,2029,0.877847527,0.001864909,0.021010779,3.83E-05,Tenaska Virginia Generating Station,55439_G_CTG2,55439,G,CTG2,4756,Combined Cycle,,PJM_Dom,Virginia,51,Fluvanna,65,51065,177.8,7230,2004,9999,,,N,"Natural Gas, Distillate Fuel Oil",,,,DLNB + H2O,SCR,,,,,,,,,0.007013711,0.007013711,0.007013711,0.007013711,,,,,,,,,,,,Tenaska Virginia Partners LP,99,Tenaska Inc,99.9,37.8669,-78.3801,0.785647447,1.766282398,FALSE
976,Combined Cycle,4,0,0,0,0,0,1,0,181.2,0,0,56.392,0,0,0,400,400,8,6,PJM_Dom,2029,0.877847527,0.001864909,0.021010779,3.83E-05,Tenaska Virginia Generating Station,55439_G_CTG3,55439,G,CTG3,4757,Combined Cycle,,PJM_Dom,Virginia,51,Fluvanna,65,51065,181.2,7230,2004,9999,,,N,"Natural Gas, Distillate Fuel Oil",,,,DLNB + H2O,SCR,,,,,,,,,0.007013711,0.007013711,0.007013711,0.007013711,,,,,,,,,,,,Tenaska Virginia Partners LP,99,Tenaska Inc,99.9,37.8669,-78.3801,0.639089719,1.436337517,FALSE
977,Combined Cycle,4,0,0,0,0,0,1,0,402.1,0,0,56.392,0,0,0,400,400,8,6,PJM_Dom,2038,0.877847527,0.001864909,0.021010779,3.83E-05,Tenaska Virginia Generating Station,55439_G_STG1,55439,G,STG1,4755,Combined Cycle,,PJM_Dom,Virginia,51,Fluvanna,65,51065,402.1,7230,2004,9999,,,N,"Natural Gas, Distillate Fuel Oil",,,,DLNB + H2O + NH3,SCR,,,,,,,,,0.007013711,0.007013711,0.007013711,0.007013711,,,,,,,,,,,,Tenaska Virginia Partners LP,99,Tenaska Inc,99.9,37.8669,-78.3801,0.678686254,1.525950515,FALSE
978,Combined Cycle,9,0,0,0,0,0,1,0,258,0,0,56.392,0,0,0,400,400,8,6,PJM_West,2029,0.877847527,0.001864909,0.021010779,3.83E-05,"Lawrenceburg Power, LLC",55502_G_0100,55502,G,100,8612,Combined Cycle,,PJM_West,Indiana,18,Dearborn,29,18029,258,7098,2004,9999,,,N,Natural Gas,,,,DLNB,SCR,,,,,,,,,0.009770874,0.009770874,0.009770874,0.009770874,,,,,,,,,,,,Lawrenceburg Power LLC,100,ArcLight Capital Partners LLC,100,,,13.89620035,31.25108977,TRUE
979,Combined Cycle,9,0,0,0,0,0,1,0,246,0,0,56.392,0,0,0,400,400,8,6,PJM_West,2029,0.877847527,0.001864909,0.021010779,3.83E-05,"Lawrenceburg Power, LLC",55502_G_0200,55502,G,200,8616,Combined Cycle,,PJM_West,Indiana,18,Dearborn,29,18029,246,7098,2004,9999,,,N,Natural Gas,,,,DLNB,SCR,,,,,,,,,0.009766608,0.009766608,0.009766608,0.009766608,,,,,,,,,,,,Lawrenceburg Power LLC,100,ArcLight Capital Partners LLC,100,,,13.89620035,31.25108977,TRUE
980,Combined Cycle,9,0,0,0,0,0,1,0,166,0,0,56.392,0,0,0,400,400,8,6,PJM_West,2029,0.877847527,0.001864909,0.021010779,3.83E-05,"Lawrenceburg Power, LLC",55502_G_1100,55502,G,1100,8612,Combined Cycle,,PJM_West,Indiana,18,Dearborn,29,18029,166,7098,2004,9999,,,N,Natural Gas,,,,DLNB,SCR,,,,,,,,,0.009770874,0.009770874,0.009770874,0.009770874,,,,,,,,,,,,Lawrenceburg Power LLC,100,ArcLight Capital Partners LLC,100,39.0908,-84.8666,2.997286748,6.740131596,FALSE
981,Combined Cycle,9,0,0,0,0,0,1,0,171,0,0,56.392,0,0,0,400,400,8,6,PJM_West,2029,0.877847527,0.001864909,0.021010779,3.83E-05,"Lawrenceburg Power, LLC",55502_G_1200,55502,G,1200,8614,Combined Cycle,,PJM_West,Indiana,18,Dearborn,29,18029,171,7098,2004,9999,,,N,Natural Gas,,,,DLNB,SCR,,,,,,,,,0.009770874,0.009770874,0.009770874,0.009770874,,,,,,,,,,,,Lawrenceburg Power LLC,100,ArcLight Capital Partners LLC,100,39.0908,-84.8666,2.992780226,6.729722522,FALSE
982,Combined Cycle,9,0,0,0,0,0,1,0,166,0,0,56.392,0,0,0,400,400,8,6,PJM_West,2029,0.877847527,0.001864909,0.021010779,3.83E-05,"Lawrenceburg Power, LLC",55502_G_2100,55502,G,2100,8616,Combined Cycle,,PJM_West,Indiana,18,Dearborn,29,18029,166,7098,2004,9999,,,N,Natural Gas,,,,DLNB,SCR,,,,,,,,,0.009766608,0.009766608,0.009766608,0.009766608,,,,,,,,,,,,Lawrenceburg Power LLC,100,ArcLight Capital Partners LLC,100,39.0908,-84.8666,2.845796205,6.39997462,FALSE
983,Combined Cycle,9,0,0,0,0,0,1,0,166,0,0,56.392,0,0,0,400,400,8,6,PJM_West,2029,0.877847527,0.001864909,0.021010779,3.83E-05,"Lawrenceburg Power, LLC",55502_G_2200,55502,G,2200,8618,Combined Cycle,,PJM_West,Indiana,18,Dearborn,29,18029,166,7098,2004,9999,,,N,Natural Gas,,,,DLNB,SCR,,,,,,,,,0.009766608,0.009766608,0.009766608,0.009766608,,,,,,,,,,,,Lawrenceburg Power LLC,100,ArcLight Capital Partners LLC,100,39.0908,-84.8666,3.858658059,8.676986998,FALSE
984,Combined Cycle,9,0,0,0,0,0,1,0,168,0,0,56.392,0,0,0,400,400,8,6,PJM_West,2028,0.877847527,0.001864909,0.021010779,3.83E-05,"Waterford Power, LLC",55503_G_CTG1,55503,G,CTG1,8620,Combined Cycle,,PJM_West,Ohio,39,Washington,167,39167,168,7050,2003,9999,,,N,Natural Gas,,,,DLNB,SCR,,,,,,,,,0.009282072,0.009282072,0.009282072,0.009282072,,,,,,,,,,,,Waterford Power LLC,100,ArcLight Capital Partners LLC,100,39.53333,-81.71694,0.630823035,1.418876091,FALSE
