datetime_beginning_utc,datetime_beginning_ept,area,wind_generation_mw
1/1/2022 8:00:00 PM,1/1/2022 3:00:00 PM,SOUTH,157.255
1/1/2022 8:00:00 PM,1/1/2022 3:00:00 PM,WEST,5363.892
1/1/2022 8:00:00 PM,1/1/2022 3:00:00 PM,RTO,5612.276
1/1/2022 8:00:00 PM,1/1/2022 3:00:00 PM,RFC,5455.021
1/1/2022 9:00:00 PM,1/1/2022 4:00:00 PM,MIDATL,109.541
1/1/2022 9:00:00 PM,1/1/2022 4:00:00 PM,SOUTH,135.672
1/1/2022 9:00:00 PM,1/1/2022 4:00:00 PM,WEST,5583.618
1/1/2022 9:00:00 PM,1/1/2022 4:00:00 PM,RTO,5828.831
1/1/2022 9:00:00 PM,1/1/2022 4:00:00 PM,RFC,5693.159
1/1/2022 10:00:00 PM,1/1/2022 5:00:00 PM,MIDATL,74.881
1/1/2022 10:00:00 PM,1/1/2022 5:00:00 PM,SOUTH,145.008
1/1/2022 10:00:00 PM,1/1/2022 5:00:00 PM,WEST,5853.793
1/1/2022 10:00:00 PM,1/1/2022 5:00:00 PM,RTO,6073.682
1/1/2022 10:00:00 PM,1/1/2022 5:00:00 PM,RFC,5928.674
1/1/2022 11:00:00 PM,1/1/2022 6:00:00 PM,MIDATL,50.890
1/1/2022 11:00:00 PM,1/1/2022 6:00:00 PM,SOUTH,227.264
1/1/2022 11:00:00 PM,1/1/2022 6:00:00 PM,WEST,6240.655
1/1/2022 11:00:00 PM,1/1/2022 6:00:00 PM,RTO,6518.809
1/1/2022 11:00:00 PM,1/1/2022 6:00:00 PM,RFC,6291.545
1/2/2022 12:00:00 AM,1/1/2022 7:00:00 PM,MIDATL,51.293
1/2/2022 12:00:00 AM,1/1/2022 7:00:00 PM,SOUTH,217.890
1/2/2022 12:00:00 AM,1/1/2022 7:00:00 PM,WEST,6143.240
1/2/2022 12:00:00 AM,1/1/2022 7:00:00 PM,RTO,6412.423
1/2/2022 12:00:00 AM,1/1/2022 7:00:00 PM,RFC,6194.533
1/2/2022 1:00:00 AM,1/1/2022 8:00:00 PM,MIDATL,71.404
1/2/2022 1:00:00 AM,1/1/2022 8:00:00 PM,SOUTH,227.900
1/2/2022 1:00:00 AM,1/1/2022 8:00:00 PM,WEST,5777.278
1/2/2022 1:00:00 AM,1/1/2022 8:00:00 PM,RTO,6076.582
1/2/2022 1:00:00 AM,1/1/2022 8:00:00 PM,RFC,5848.682
1/2/2022 2:00:00 AM,1/1/2022 9:00:00 PM,MIDATL,140.386
1/2/2022 2:00:00 AM,1/1/2022 9:00:00 PM,SOUTH,207.551
1/2/2022 2:00:00 AM,1/1/2022 9:00:00 PM,WEST,5461.129
1/2/2022 2:00:00 AM,1/1/2022 9:00:00 PM,RTO,5809.066
1/2/2022 2:00:00 AM,1/1/2022 9:00:00 PM,RFC,5601.515
1/2/2022 3:00:00 AM,1/1/2022 10:00:00 PM,MIDATL,270.137
1/2/2022 3:00:00 AM,1/1/2022 10:00:00 PM,SOUTH,282.862
1/2/2022 3:00:00 AM,1/1/2022 10:00:00 PM,WEST,5728.597
1/2/2022 3:00:00 AM,1/1/2022 10:00:00 PM,RTO,6281.596
1/2/2022 3:00:00 AM,1/1/2022 10:00:00 PM,RFC,5998.734
1/2/2022 4:00:00 AM,1/1/2022 11:00:00 PM,MIDATL,318.903
1/2/2022 4:00:00 AM,1/1/2022 11:00:00 PM,SOUTH,276.102
1/2/2022 4:00:00 AM,1/1/2022 11:00:00 PM,WEST,5645.493
1/2/2022 4:00:00 AM,1/1/2022 11:00:00 PM,RTO,6240.498
1/2/2022 4:00:00 AM,1/1/2022 11:00:00 PM,RFC,5964.396
1/2/2022 5:00:00 AM,1/2/2022 12:00:00 AM,MIDATL,299.666
1/2/2022 5:00:00 AM,1/2/2022 12:00:00 AM,SOUTH,274.515
1/2/2022 5:00:00 AM,1/2/2022 12:00:00 AM,WEST,5394.711
1/2/2022 5:00:00 AM,1/2/2022 12:00:00 AM,RTO,5968.892
