zone,tech,ave_marg_damages_isrm_LePeule,fuel,unit,latitude,status,longitude,node,Generation (MWh) Unadjusted,Generation (MWh),aq_costs,Specification
PJM_AP,NG-CC,0.975389303,Gas,Existing NG-CC 1043,38.97014,Existing,-78.17795,1,37009.80656118795,12665195.461833565,8044932.202021688,SO
PJM_AP,NG-CC,1.187291644,Gas,Existing NG-CC 1045,38.97014,Existing,-78.17795,1,84978.978682876,29073012.762963157,20615948.025415126,SO
PJM_AP,NG-CC,1.269545686,Gas,Existing NG-CC 1044,38.97014,Existing,-78.17795,1,37009.80656118795,12665195.461833565,10471110.293936774,SO
PJM_AP,NG-CC,1.316939942,Gas,Existing NG-CC 1042,38.97014,Existing,-78.17795,1,37009.80656118795,12665195.461833565,10862014.290025871,SO
PJM_AP,NG-CC,3.192184906,Gas,Existing NG-CC 988,39.8589,Existing,-79.9181,1,6612.0,2228069.99772495,5851398.473886118,SO
PJM_AP,NG-CC,3.348843429,Gas,Existing NG-CC 990,39.85905,Existing,-79.91815,1,38704.52241930426,13282687.07010609,28816056.93935247,SO
PJM_AP,NG-CC,3.505501953,Gas,Existing NG-CC 989,39.8592,Existing,-79.9182,1,6612.0,2228069.99772495,6425720.746763348,SO
PJM_AP,NG-CC,9.758405555,Gas,Existing NG-CC 1027,40.545,Existing,-79.76917,1,6210.017379036693,2114639.1219137423,16976881.981563963,SO
PJM_AP,NG-CC,10.58381714,Gas,Existing NG-CC 1028,40.545,Existing,-79.76917,1,21718.70486142097,7394403.378306052,51197354.37464714,SO
PJM_AP,NG-CC,11.40922873,Gas,Existing NG-CC 1026,40.545,Existing,-79.76917,1,6210.017379036693,2114639.1219137423,19848850.158787943,SO
PJM_AP,NG-CT,7.530104892,Gas,Existing NG-CT 1010,39.86666,Existing,-77.68334,1,2.131628207280301e-14,4.369837820128453e-12,2.707130230436567e-11,SO
PJM_AP,NG-CT,11.09927979,Gas,Existing NG-CT 950,39.74751,Existing,-79.83877,1,5.684341886080802e-14,2.0463630766798245e-11,1.868616993124848e-10,SO
PJM_AP,NG-CT,12.85790455,Gas,Existing NG-CT 951,39.74751,Existing,-79.83877,1,6.394884621840902e-14,2.1671553418478597e-11,2.292466742190951e-10,SO
PJM_AP,NG-CT,13.17971833,Gas,Existing NG-CT 812,40.54409,Existing,-79.76719,1,3.5527136788005016e-14,1.6378010064066477e-11,1.7758654836229875e-10,SO
PJM_AP,NG-CT,14.05035147,Gas,Existing NG-CT 811,40.54409,Existing,-79.76719,1,8.526512829121202e-14,3.4177105533572674e-11,3.9506201220600714e-10,SO
PJM_ATSI,NG-CC,6.619972007,Gas,Existing NG-CC 1024,41.37778,Existing,-83.1655,2,23521.85291350458,8385874.772188533,36139678.87873689,SO
PJM_ATSI,NG-CC,8.079041113,Gas,Existing NG-CC 1023,41.37778,Existing,-83.1655,2,66244.837340194,23698487.869250648,113193067.66848275,SO
PJM_ATSI,NG-CC,9.538110219,Gas,Existing NG-CC 1025,41.37778,Existing,-83.1655,2,23521.85291350458,8385874.772188533,52070347.13442388,SO
PJM_ATSI,NG-CT,40.93329349,Gas,Existing NG-CT 885,41.39778,Existing,-83.635,2,3.552713678800501e-15,1.865174675685921e-12,6.281147662545327e-11,SO
PJM_ATSI,NG-CT,54.09153317,Gas,Existing NG-CT 889,41.40722,Existing,-84.10889,2,3.552713678800501e-15,1.6164847206567855e-12,7.193557160747194e-11,SO
PJM_ATSI,NG-CT,64.55235528,Gas,Existing NG-CT 887,40.71028,Existing,-82.79916,2,1.4210854715202004e-14,2.9132252134189683e-12,1.5471376555017718e-10,SO
PJM_ATSI,NG-CT,67.57087617,Gas,Existing NG-CT 533,41.3883,Existing,-83.6401,2,1.0658141036401503e-14,3.694822221422811e-12,2.0539785360538054e-10,SO
PJM_COMD,NG-CC,7.729298667,Gas,Existing NG-CC 807,41.71217,Existing,-90.27933,3,30583.956587718854,11422210.38176321,64956787.08811477,SO
PJM_COMD,NG-CC,8.098491983,Gas,Existing NG-CC 801,41.774885,Existing,-89.6075,3,42617.85244573529,15840685.91494588,83919427.25224422,SO
PJM_COMD,NG-CC,8.098491983,Gas,Existing NG-CC 803,41.774885,Existing,-89.6075,3,37273.288980117904,14032878.10272539,70084947.97199567,SO
PJM_COMD,NG-CC,8.229878788,Gas,Existing NG-CC 802,41.774895,Existing,-89.606175,3,42617.85244573529,15840685.91494588,85280903.61688684,SO
PJM_COMD,NG-CC,8.229878788,Gas,Existing NG-CC 804,41.774895,Existing,-89.606175,3,37273.288980117904,14032878.10272539,71221979.08988295,SO
PJM_COMD,NG-CC,10.95323383,Gas,Existing NG-CC 791,41.4806,Existing,-88.25748,3,14146.757279254532,5234509.514561725,47169487.3624503,SO
PJM_COMD,NG-CC,10.95323383,Gas,Existing NG-CC 795,41.4806,Existing,-88.25748,3,20784.05356025808,7797639.736415382,62754042.938485704,SO
PJM_COMD,NG-CC,12.27134763,Gas,Existing NG-CC 793,41.48064,Existing,-88.25614,3,14146.757279254532,5234509.514561725,52845870.538081944,SO
PJM_COMD,NG-CC,12.27134763,Gas,Existing NG-CC 797,41.48064,Existing,-88.25614,3,20784.05356025808,7797639.736415382,70305873.86685094,SO
PJM_COMD,NG-CC,13.44148982,Gas,Existing NG-CC 830,41.41324667,Existing,-88.33022667,3,10353.908226376223,3846771.1827894463,37998861.08685482,SO
PJM_COMD,NG-CC,13.69802891,Gas,Existing NG-CC 792,41.48061,Existing,-88.25705,3,14146.757279254532,5234509.514561725,58989793.47916686,SO
PJM_COMD,NG-CC,13.69802891,Gas,Existing NG-CC 796,41.48061,Existing,-88.25705,3,20784.05356025808,7797639.736415382,78479717.29009993,SO
PJM_COMD,NG-CC,13.75738347,Gas,Existing NG-CC 790,41.48058,Existing,-88.25838,3,14146.75727925453,5234509.514561725,59245400.56391252,SO
PJM_COMD,NG-CC,13.75738347,Gas,Existing NG-CC 794,41.48058,Existing,-88.25838,3,20784.05356025808,7797639.736415382,78819775.63858815,SO
PJM_COMD,NG-CT,10.53271152,Gas,Existing NG-CT 832,41.39327,Existing,-87.94502,3,77.8,40845.00001750499,353933.6817221425,SO
PJM_COMD,NG-CT,14.5452821,Gas,Existing NG-CT 851,41.82875,Existing,-89.405,3,103.13333320000001,54144.999953205006,603697.1193651209,SO
PJM_COMD,NG-CT,15.30734507,Gas,Existing NG-CT 852,41.82875,Existing,-89.405,3,103.13333320000001,54144.999953205006,635326.2907074785,SO
PJM_COMD,NG-CT,16.05050923,Gas,Existing NG-CT 853,41.82875,Existing,-89.405,3,84.9,44572.5000191025,588570.6658939678,SO
PJM_COMD,NG-CT,19.71777436,Gas,Existing NG-CT 823,41.44074,Existing,-88.11546,3,12.09425684706284,6349.484847429198,103000.46546354487,SO
PJM_COMD,NG-CT,19.80823621,Gas,Existing NG-CT 824,41.44183,Existing,-88.11551,3,12.09425684706284,6349.484847429198,103473.01436721806,SO
PJM_COMD,NG-CT,20.20806868,Gas,Existing NG-CT 826,41.44265,Existing,-88.1154,3,12.09425684706284,6349.484847429198,105561.63399362902,SO
PJM_COMD,NG-CT,20.21946742,Gas,Existing NG-CT 825,41.4422,Existing,-88.11552,3,12.09425684706284,6349.484847429198,105621.17801235356,SO
PJM_COMD,NG-CT,21.83539515,Gas,Existing NG-CT 822,41.44038,Existing,-88.11544,3,12.09425684706284,6349.484847429198,114062.35931946378,SO
PJM_COMD,NG-CT,22.31933917,Gas,Existing NG-CT 880,41.43988,Existing,-87.75298,3,7.105427357601003e-14,1.7053025617386203e-11,3.131306504011322e-10,SO
PJM_COMD,NG-CT,22.42913649,Gas,Existing NG-CT 819,41.43779,Existing,-88.1238,3,12.09425684706284,6349.484847429198,117163.90786487218,SO
PJM_COMD,NG-CT,22.9159314,Gas,Existing NG-CT 1039,42.23855,Existing,-89.10102,3,160.9,84472.50003620249,1592559.4919944787,SO
PJM_COMD,NG-CT,23.12143975,Gas,Existing NG-CT 875,41.44116,Existing,-87.75291,3,1.5631940186722204e-13,8.206768601546343e-11,1.5610969154855889e-09,SO
PJM_COMD,NG-CT,23.24774369,Gas,Existing NG-CT 820,41.43884,Existing,-88.12386,3,12.09425684706284,6349.484847429198,121440.09650018066,SO
PJM_COMD,NG-CT,23.26271614,Gas,Existing NG-CT 821,41.4392,Existing,-88.12386,3,12.09425684706284,6349.484847429198,121518.30863969363,SO
PJM_COMD,NG-CT,23.35131128,Gas,Existing NG-CT 882,41.42908,Existing,-87.61858,3,8.333333199999998,4374.999931874999,84048.91810238893,SO
PJM_COMD,NG-CT,23.62099737,Gas,Existing NG-CT 878,41.44039,Existing,-87.75296,3,1.2789769243681806e-13,6.714628855810646e-11,1.3048573838565566e-09,SO
PJM_COMD,NG-CT,24.0886921,Gas,Existing NG-CT 818,41.43743,Existing,-88.12379,3,12.09425684706284,6349.484847429198,125832.98973850394,SO
PJM_COMD,NG-CT,24.16326173,Gas,Existing NG-CT 884,41.42907,Existing,-87.61974,3,8.333333199999998,4374.999931874999,86971.39025210915,SO
PJM_COMD,NG-CT,24.82245626,Gas,Existing NG-CT 883,41.42907,Existing,-87.61916,3,8.333333199999998,4374.999931874999,89344.04446416472,SO
PJM_COMD,NG-CT,25.95240947,Gas,Existing NG-CT 881,41.42908,Existing,-87.61798,3,8.333333199999998,4374.999931874999,93411.11134824857,SO
PJM_COMD,NG-CT,37.61291877,Gas,Existing NG-CT 926,41.68355,Existing,-87.55686,3,157.2,82530.00003537,2553828.2402237495,SO
PJM_COMD,NG-CT,234.6815277,Gas,Existing NG-CT 780,42.09291,Existing,-88.23873,3,1.5987211554602257e-13,6.378897403553907e-11,1.2315933280537178e-08,SO
PJM_Dom,Coal,30.66096976,Coal,Existing Coal 469,36.86875,Existing,-78.70482,4,100609.99999996,38158679.9742065,714532933.2150898,SO
PJM_Dom,Coal,32.19076745,Coal,Existing Coal 468,36.86875,Existing,-78.70482,4,101178.51314999649,38358273.22900174,753658532.3948071,SO
PJM_Dom,NG-CC,0.910301291,Gas,Existing NG-CC 1111,37.6961,Existing,-78.2848,4,13674.269443385518,4567224.786461941,3046236.7712445334,SO
PJM_Dom,NG-CC,1.02926131,Gas,Existing NG-CC 1112,37.6961,Existing,-78.2848,4,35165.93811954506,11753515.235472715,7139425.958538332,SO
PJM_Dom,NG-CC,1.148221329,Gas,Existing NG-CC 1110,37.6961,Existing,-78.2848,4,13674.269443385518,4567224.786461941,3842413.5706592854,SO
PJM_Dom,NG-CC,1.375231631,Gas,Existing NG-CC 974,37.8669,Existing,-78.3801,4,5879.827379577659,1999641.8723566192,2262407.7445400935,SO
PJM_Dom,NG-CC,1.436337517,Gas,Existing NG-CC 976,37.8669,Existing,-78.3801,4,6596.745359909668,2144748.808162483,2534403.404099987,SO
PJM_Dom,NG-CC,1.525950515,Gas,Existing NG-CC 977,37.8669,Existing,-78.3801,4,42648.38182420806,13914468.413310383,13577804.56260771,SO
PJM_Dom,NG-CC,1.766282398,Gas,Existing NG-CC 975,37.8669,Existing,-78.3801,4,6223.0,2041143.9977597198,2966037.167662728,SO
