latitude,unit,tech,longitude,status,node,fuel,ave_marg_damages_isrm_LePeule,zone,Generation (MWh) Unadjusted,Generation (MWh),aq_costs,Specification
36.76479,Existing NG-CC 1164,NG-CC,-77.71313,Existing,4,Gas,3.384191279,PJM_Dom,23574.21857406775,6711101.085230034,14578074.043577278,MO
36.76479,Existing NG-CC 1165,NG-CC,-77.71313,Existing,4,Gas,3.332454903,PJM_Dom,23957.37918572395,6898496.061480903,14670616.875439027,MO
36.76479,Existing NG-CC 1166,NG-CC,-77.71313,Existing,4,Gas,3.506924306,PJM_Dom,20555.787897627437,5362046.135342345,12104499.79228267,MO
36.76479,Existing NG-CC 1167,NG-CC,-77.71313,Existing,4,Gas,3.407856829,PJM_Dom,66435.97934077056,18529429.82431212,36578776.62398465,MO
36.86875,Existing Coal 468,Coal,-78.70482,Existing,4,Coal,32.19076745,PJM_Dom,16599.99999999999,3983999.9904549974,74018076.60855906,MO
36.86875,Existing Coal 469,Coal,-78.70482,Existing,4,Coal,30.66096976,PJM_Dom,17231.0,4135439.990092175,73721630.4001761,MO
37.6961,Existing NG-CC 1110,NG-CC,-78.2848,Existing,4,Gas,1.148221329,PJM_Dom,12511.688279789843,3779436.341534798,3202672.058820201,MO
37.6961,Existing NG-CC 1111,NG-CC,-78.2848,Existing,4,Gas,0.910301291,PJM_Dom,13733.708094675356,4373496.744406146,2962962.317569512,MO
37.6961,Existing NG-CC 1112,NG-CC,-78.2848,Existing,4,Gas,1.02926131,PJM_Dom,35464.6007652949,11454030.758324621,6840159.723762529,MO
37.8669,Existing NG-CC 974,NG-CC,-78.3801,Existing,4,Gas,1.375231631,PJM_Dom,5477.067625333361,1613714.5008365049,1825767.0209048593,MO
37.8669,Existing NG-CC 975,NG-CC,-78.3801,Existing,4,Gas,1.766282398,PJM_Dom,5372.137076026684,1532777.8278770105,2227317.62788043,MO
37.8669,Existing NG-CC 976,NG-CC,-78.3801,Existing,4,Gas,1.436337517,PJM_Dom,5617.2,1619021.9973680698,1913163.371778659,MO
37.8669,Existing NG-CC 977,NG-CC,-78.3801,Existing,4,Gas,1.525950515,PJM_Dom,40465.43652064792,12390327.140772296,12080277.814893832,MO
38.12417,Existing NG-CC 768,NG-CC,-78.2036,Existing,4,Gas,6.747324639,PJM_Dom,933.8000000000001,230607.99947220003,1280114.385910623,MO
38.12583,Existing NG-CC 769,NG-CC,-78.205,Existing,4,Gas,5.475829282,PJM_Dom,933.8000000000001,230607.99947220003,1038884.0338528192,MO
38.5391,Existing NG-CC 379,NG-CC,-77.2786,Existing,4,Gas,1.86815888,PJM_Dom,4319.376716938263,1196245.2742571468,1838555.936476282,MO
38.5391,Existing NG-CC 380,NG-CC,-77.2786,Existing,4,Gas,2.331999191,PJM_Dom,4158.0,1130084.997913575,2168114.9734077407,MO
38.5391,Existing NG-CC 381,NG-CC,-77.2786,Existing,4,Gas,2.100079035,PJM_Dom,24764.511873619776,7330397.206550386,9775177.328080282,MO
38.5444,Existing NG-CC 88,NG-CC,-76.6861,Existing,7,Gas,7.452279932,PJM_SMAC,27709.442646600994,9881175.734336987,60581578.769804664,MO
38.57278,Existing NG-CC 1030,NG-CC,-82.785,Existing,9,Gas,8.122713767,PJM_West,7137.0,2357954.9974608747,15757215.168446807,MO
38.57292,Existing NG-CC 1031,NG-CC,-82.78486,Existing,9,Gas,9.206402713,PJM_West,36987.47528093994,12271730.099288162,74199193.55362402,MO
38.57306,Existing NG-CC 1029,NG-CC,-82.78472,Existing,9,Gas,10.29009166,PJM_West,6878.0,2259784.997551975,19130625.41365188,MO
38.57417,Existing NG-CC 1033,NG-CC,-82.78389,Existing,9,Gas,6.699543491,PJM_West,8370.0,2866259.9971356,15798054.108996546,MO
38.574305,Existing NG-CC 1034,NG-CC,-82.78375,Existing,9,Gas,6.741203522,PJM_West,40715.66195883227,13767984.769251028,60686684.84046585,MO
38.57444,Existing NG-CC 1032,NG-CC,-82.78361,Existing,9,Gas,6.782863554,PJM_West,7770.0,2605724.997238875,14540671.523094442,MO
38.700049,Existing Coal 422,Coal,-83.817613,Existing,9,Coal,41.68817601,PJM_West,8160.0,2129399.995788,64064773.34171568,MO
38.700049,Existing Coal 423,Coal,-83.817613,Existing,9,Coal,45.84847857,PJM_West,10128.0,2941439.99561,72527254.21029337,MO
38.700049,Existing Coal 424,Coal,-83.817613,Existing,9,Coal,39.49324355,PJM_West,11144.619031020804,3288028.562758437,72645451.03195052,MO
38.905053,Existing Coal 412,Coal,-84.851009,Existing,9,Coal,92.91355026,PJM_West,3234.6503337130785,810516.0783272149,50041957.97297443,MO
38.97014,Existing NG-CC 1042,NG-CC,-78.17795,Existing,1,Gas,1.316939942,PJM_AP,34976.193699293304,11439676.679099252,9862600.356191179,MO
38.97014,Existing NG-CC 1043,NG-CC,-78.17795,Existing,1,Gas,0.975389303,PJM_AP,35732.0278628662,11836489.615145085,7571826.4890628215,MO
38.97014,Existing NG-CC 1044,NG-CC,-78.17795,Existing,1,Gas,1.269545686,PJM_AP,35316.57269849045,11618375.653754337,9645706.560622448,MO
38.97014,Existing NG-CC 1045,NG-CC,-78.17795,Existing,1,Gas,1.187291644,PJM_AP,90956.75206218201,29803713.71516482,20758256.175280087,MO
38.9794,Existing Coal 435,Coal,-81.9344,Existing,9,Coal,46.76057225,PJM_West,2502.1044787989827,634705.0735690458,24417128.624445107,MO
39.0908,Existing NG-CC 980,NG-CC,-84.8666,Existing,9,Gas,6.740131596,PJM_West,7294.185104270848,2466984.0391180245,13679729.798910614,MO
39.0908,Existing NG-CC 981,NG-CC,-84.8666,Existing,9,Gas,6.729722522,PJM_West,7616.372670845838,2593830.649542974,14360897.39603004,MO
39.0908,Existing NG-CC 982,NG-CC,-84.8666,Existing,9,Gas,6.39997462,PJM_West,7470.0,2558059.9974436,13468889.246827241,MO
39.0908,Existing NG-CC 983,NG-CC,-84.8666,Existing,9,Gas,8.676986998,PJM_West,6474.0,2138909.99769675,15268777.301562134,MO
39.178421,Existing NG-CC 69,NG-CC,-76.527476,Existing,7,Gas,55.72897316,PJM_SMAC,2891.7214849216853,713168.5923328805,28920878.004936405,MO
39.18717,Existing NG-CC 1121,NG-CC,-75.49942,Existing,5,Gas,1.480886124,PJM_EMAC,30276.673361517183,10997059.335988287,10754341.84363499,MO
39.18717,Existing NG-CC 1122,NG-CC,-75.49942,Existing,5,Gas,1.480886124,PJM_EMAC,26445.0,9693014.9924109,8428039.026125759,MO
39.489029,Existing NG-CT 157,NG-CT,-75.035192,Existing,5,Gas,6.21194926,PJM_EMAC,385.0,101199.999791,248777.8607446007,MO
39.5325,Existing NG-CC 986,NG-CC,-81.71694,Existing,9,Gas,1.447889442,PJM_West,7560.0,2588879.9974128003,3083827.8411641074,MO
39.53296,Existing NG-CC 987,NG-CC,-81.71694,Existing,9,Gas,1.418956326,PJM_West,32001.219643788623,10880077.846360272,11361407.148695396,MO
39.53305,Existing NG-CC 985,NG-CC,-81.71694,Existing,9,Gas,1.390103444,PJM_West,7560.0,2588879.9974128003,2960750.7164247357,MO
39.53333,Existing NG-CC 984,NG-CC,-81.71694,Existing,9,Gas,1.418876091,PJM_West,7560.0,2588879.9974128003,3022032.9437196753,MO
39.5798,Existing NG-CC 962,NG-CC,-81.6571,Existing,9,Gas,7.338844988,PJM_West,7518.0,2521214.997328425,15222304.325308194,MO
39.5798,Existing NG-CC 963,NG-CC,-81.6571,Existing,9,Gas,7.366743142,PJM_West,7160.0,2378014.997453725,14412287.616016267,MO
39.5798,Existing NG-CC 964,NG-CC,-81.6571,Existing,9,Gas,7.352794065,PJM_West,24943.33466933095,8332043.858865863,44969619.22519168,MO
39.73872,Existing NG-CC 991,NG-CC,-76.30826,Existing,5,Gas,31.46051817,PJM_EMAC,4079.6499774842773,1090916.2359953169,23744298.71873574,MO
39.73872,Existing NG-CC 992,NG-CC,-76.30826,Existing,5,Gas,26.96637334,PJM_EMAC,5694.832924395782,1696769.8992880587,31371190.932541974,MO
39.73872,Existing NG-CC 993,NG-CC,-76.30826,Existing,5,Gas,31.14855732,PJM_EMAC,5123.229464048687,1468568.8991627283,31381840.26479646,MO
39.73872,Existing NG-CC 994,NG-CC,-76.30826,Existing,5,Gas,29.85848294,PJM_EMAC,17750.450860152883,5396755.851305261,92276481.58662586,MO
39.74564767,Existing NG-CC 453,NG-CC,-75.50444433,Existing,5,Gas,18.39028323,PJM_EMAC,3179.0,852719.9982983,12901424.640630893,MO
39.74564767,Existing NG-CC 457,NG-CC,-75.506389,Existing,5,Gas,10.12751862,PJM_EMAC,18512.99999999994,6600164.9944039965,48951426.793611184,MO
39.806687,Existing NG-CC 1035,NG-CC,-75.422206,Existing,5,Gas,7.859726755,PJM_EMAC,8976.0,3244559.997426,20980027.88547723,MO
39.806687,Existing NG-CC 1036,NG-CC,-75.422206,Existing,5,Gas,8.166343395,PJM_EMAC,9317.699999999999,3368074.4973280123,22628310.57028506,MO
39.806687,Existing NG-CC 1037,NG-CC,-75.422206,Existing,5,Gas,8.29786429,PJM_EMAC,8917.175890024155,3213677.339675446,21938725.890117865,MO
39.806687,Existing NG-CC 1038,NG-CC,-75.422206,Existing,5,Gas,8.107978147,PJM_EMAC,30098.0,10830809.99121645,64539642.309655644,MO
39.841001,Existing NG-CC 1118,NG-CC,-75.220256,Existing,5,Gas,12.59769993,PJM_EMAC,30162.575610218457,10614480.234602157,87100003.07203029,MO
39.841001,Existing NG-CC 1119,NG-CC,-75.220256,Existing,5,Gas,12.56593167,PJM_EMAC,30465.31261320222,10735575.035689702,88000270.3235412,MO
39.8589,Existing NG-CC 988,NG-CC,-79.9181,Existing,1,Gas,3.192184906,PJM_AP,6274.087309717983,1951485.8349724617,5125028.050387975,MO
39.85905,Existing NG-CC 990,NG-CC,-79.91815,Existing,1,Gas,3.348843429,PJM_AP,34463.26768984667,10825685.523045806,23721719.51450394,MO
39.8592,Existing NG-CC 989,NG-CC,-79.9182,Existing,1,Gas,3.505501953,PJM_AP,6078.752046839267,1850340.8160687434,5336355.402898663,MO
39.86248,Existing NG-CC 843,NG-CC,-75.33577,Existing,5,Gas,17.93124232,PJM_EMAC,3460.9617735572356,1014104.3239892011,14960145.51238231,MO
39.86248,Existing NG-CC 844,NG-CC,-75.33577,Existing,5,Gas,18.15903418,PJM_EMAC,2874.7,771095.99846119,11519775.066658828,MO
