latitude,zone,ave_marg_damages_isrm_LePeule,fuel,longitude,node,status,unit,tech,Generation (MWh) Unadjusted,Generation (MWh),aq_costs,Specification
39.8729,PJM_WMAC,9.051536797,Gas,-77.1668,8,Existing,Existing NG-CC 1051,NG-CC,8874.0,2426579.9999999986,18070065.999960303,MO
39.8729,PJM_WMAC,10.33820225,Gas,-77.1668,8,Existing,Existing NG-CC 1052,NG-CC,8415.0,2301119.999999999,19571634.421065286,MO
39.918222,PJM_EMAC,40.42742977,Gas,-75.118141,5,Existing,Existing NG-CC 633,NG-CC,2477.6,636351.9999999998,21164906.21829302,MO
40.062369,PJM_EMAC,39.31088066,Gas,-74.168576,5,Existing,Existing NG-CC 722,NG-CC,3028.6,777871.9999999997,25157281.882142115,MO
40.09285,PJM_West,8.825121559,Gas,-82.02727,9,Existing,Existing NG-CC 947,NG-CC,18837.7,4786991.999999997,27478547.57990781,MO
40.09285,PJM_West,8.856849885,Gas,-82.02727,9,Existing,Existing NG-CC 949,NG-CC,32393.0,8221119.999999995,44054894.96097046,MO
40.09285,PJM_West,8.88857821,Gas,-82.02727,9,Existing,Existing NG-CC 948,NG-CC,18630.929689080484,4720825.500505753,27379087.227464993,MO
40.14695,PJM_EMAC,6.3125208,Gas,-74.74249,5,Existing,Existing NG-CC 928,NG-CC,10920.50384629961,2996801.230815874,15563367.200284492,MO
40.14695,PJM_EMAC,6.360245321,Gas,-74.74249,5,Existing,Existing NG-CC 930,NG-CC,11682.0,3199679.9999999986,16742612.182123514,MO
40.14695,PJM_EMAC,6.366125242,Gas,-74.74249,5,Existing,Existing NG-CC 932,NG-CC,46735.32670840324,13473055.826294038,55404266.94763161,MO
40.14695,PJM_EMAC,6.419729684,Gas,-74.74249,5,Existing,Existing NG-CC 929,NG-CC,11269.0,3086559.9999999986,16301751.515837148,MO
40.14695,PJM_EMAC,6.434402293,Gas,-74.74249,5,Existing,Existing NG-CC 933,NG-CC,46698.0,13449539.999999993,55922058.84765912,MO
40.14695,PJM_EMAC,6.508559264,Gas,-74.74249,5,Existing,Existing NG-CC 931,NG-CC,11682.0,3199679.9999999986,17133031.52973134,MO
40.2522,PJM_West,139.8577554,Coal,-80.6486,9,Existing,Existing Coal 165,Coal,1439.99999999992,316799.99999998225,36451426.64689507,MO
40.3509,PJM_WMAC,14.81925424,Gas,-76.3658,8,Existing,Existing NG-CC 936,NG-CC,22629.1,6129629.999999996,66207872.427369595,MO
40.42083,PJM_WMAC,11.75631665,Gas,-75.9375,8,Existing,Existing NG-CC 808,NG-CC,9533.911993551978,2587171.8379366314,25022998.733857207,MO
