status,latitude,ave_marg_damages_isrm_LePeule,longitude,unit,tech,fuel,zone,node,Generation (MWh) Unadjusted,Generation (MWh),aq_costs,Specification
Existing,36.66416,12.3706913,-82.10208,Existing NG-CT 923,NG-CT,Gas,PJM_West,9,50.0,6250.000028750001,63608.73996382773,MO X5
Existing,36.76479,3.332454903,-77.71313,Existing NG-CC 1165,NG-CC,Gas,PJM_Dom,4,76468.18812082036,10622108.28673129,22939969.776889324,MO X5
Existing,36.76479,3.384191279,-77.71313,Existing NG-CC 1164,NG-CC,Gas,PJM_Dom,4,76008.38796972863,10547609.721592592,23135197.541954473,MO X5
Existing,36.76479,3.407856829,-77.71313,Existing NG-CC 1167,NG-CC,Gas,PJM_Dom,4,201970.7949647847,27671715.5451197,55699022.97395067,MO X5
Existing,36.76479,3.506924306,-77.71313,Existing NG-CC 1166,NG-CC,Gas,PJM_Dom,4,67753.85586334625,8820310.833579082,20236055.692851756,MO X5
Existing,36.86875,30.66096976,-78.70482,Existing Coal 469,Coal,Coal,PJM_Dom,4,36843.89426723962,4817171.29521358,88601213.11624981,MO X5
Existing,36.86875,32.19076745,-78.70482,Existing Coal 468,Coal,Coal,PJM_Dom,4,36666.84793856998,4794213.6088436125,92634616.08681501,MO X5
Existing,37.6961,0.910301291,-78.2848,Existing NG-CC 1111,NG-CC,Gas,PJM_Dom,4,38953.56629635475,5596766.037505292,3760632.7669559885,MO X5
Existing,37.6961,1.02926131,-78.2848,Existing NG-CC 1112,NG-CC,Gas,PJM_Dom,4,97408.1773982833,14578556.615669504,8872749.27193422,MO X5
Existing,37.6961,1.148221329,-78.2848,Existing NG-CC 1110,NG-CC,Gas,PJM_Dom,4,37965.215875489215,5378163.876804696,4564144.1511692675,MO X5
Existing,37.8669,1.375231631,-78.3801,Existing NG-CC 974,NG-CC,Gas,PJM_Dom,4,17536.9945103667,2491105.5523193358,2818452.929969941,MO X5
Existing,37.8669,1.436337517,-78.3801,Existing NG-CC 976,NG-CC,Gas,PJM_Dom,4,18482.399999999998,2624682.00120045,3101530.1060927035,MO X5
Existing,37.8669,1.525950515,-78.3801,Existing NG-CC 977,NG-CC,Gas,PJM_Dom,4,121105.1242125524,17290746.972074293,17243987.15176375,MO X5
Existing,37.8669,1.766282398,-78.3801,Existing NG-CC 975,NG-CC,Gas,PJM_Dom,4,18135.600000000002,2575433.0011779256,3742425.822334424,MO X5
Existing,37.8824,11.67561276,-84.1025,Existing NG-CT 9,NG-CT,Gas,PJM_West,9,725.3333331999563,95600.00034772788,681182.7701573013,MO X5
Existing,37.8824,12.19275549,-84.1025,Existing NG-CT 6,NG-CT,Gas,PJM_West,9,147.99999999997453,18500.00008509682,165487.76418024214,MO X5
Existing,37.8824,12.96915216,-84.1025,Existing NG-CT 5,NG-CT,Gas,PJM_West,9,31.374353881315074,3921.794253204638,41844.57826524916,MO X5
Existing,37.8824,13.85084452,-84.1025,Existing NG-CT 8,NG-CT,Gas,PJM_West,9,461.3333331999272,62600.00019592324,459186.03084166505,MO X5
Existing,37.8824,14.05763666,-84.1025,Existing NG-CT 7,NG-CT,Gas,PJM_West,9,74.0,9250.000042550002,83820.52125644652,MO X5
Existing,37.9892,7.42920719,-75.5405,Existing NG-CT 952,NG-CT,Gas,PJM_EMAC,5,138.89999999999998,17362.500079867503,106120.07172297731,MO X5
Existing,37.9892,8.098248727,-75.5405,Existing NG-CT 953,NG-CT,Gas,PJM_EMAC,5,140.39999999999998,17550.000080730002,116925.98521202308,MO X5
Existing,37.9892,8.149516808,-75.5405,Existing NG-CT 956,NG-CT,Gas,PJM_EMAC,5,138.3,17287.500079522502,115906.25096857373,MO X5
Existing,37.9892,8.677263375,-75.5405,Existing NG-CT 955,NG-CT,Gas,PJM_EMAC,5,114.43514279401921,14304.39291505261,102116.28672694646,MO X5
