Scenario,Emission Components,Epoch,Emission (mt),Emission (mt) Percentage Difference (%)
MO,CO2,1,158969390.60057238,0.0
MO,CO2,2,186233183.1011461,17.15034095405003
MO,CO2,3,287923031.2049456,81.11853490612107
MO,CO2,4,356178296.6131752,124.05464049875572
MO,NOx,1,3779924.73443768,0.0
MO,NOx,2,4616119.627639178,22.121998503917162
MO,NOx,3,7323279.076624526,93.74139939624942
MO,NOx,4,9318331.327539124,146.5216104078158
MO,PM25,1,6606.803583923732,0.0
MO,PM25,2,7224.4923152824595,9.349282501174144
MO,PM25,3,10727.15883293728,62.36533592491787
MO,PM25,4,12630.898171991412,91.18016770963267
MO,SO2,1,352789.8689687022,0.0
MO,SO2,2,420201.3248071359,19.108104219516044
MO,SO2,3,653702.8659564912,85.2952489444884
MO,SO2,4,815329.1632192873,131.10900707061384
MO EM190,CO2,1,113920099.77952623,0.0
MO EM190,CO2,2,149221944.09365705,30.98824911710205
MO EM190,CO2,3,224998020.12004703,97.50511152596776
MO EM190,CO2,4,309730291.4987814,171.88379583428545
MO EM190,NOx,1,2815473.8246459127,0.0
MO EM190,NOx,2,3797939.7593107466,34.895225310375366
MO EM190,NOx,3,5822837.081508569,106.81552890092583
MO EM190,NOx,4,8124090.916622605,188.5514631855734
MO EM190,PM25,1,4661.054820094709,0.0
MO EM190,PM25,2,5722.661156297275,22.776096338231767
MO EM190,PM25,3,8250.85146132941,77.01682944724001
MO EM190,PM25,4,10980.66463621477,135.58325443577706
MO EM190,SO2,1,247915.4496740461,0.0
MO EM190,SO2,2,332046.4976528377,33.93537921473039
MO EM190,SO2,3,508780.0850987602,105.22322661524053
MO EM190,SO2,4,707587.6915534586,185.41492371039385
MO EM190 X5,CO2,1,113065573.89072534,0.0
MO EM190 X5,CO2,2,148614084.7977461,31.44061422389928
MO EM190 X5,CO2,3,223981077.71529025,98.09838663337223
MO EM190 X5,CO2,4,311598430.8919533,175.59089842245376
MO EM190 X5,NOx,1,2794236.9284423525,0.0
MO EM190 X5,NOx,2,3781978.278631568,35.349233994263756
MO EM190 X5,NOx,3,5799487.691570222,107.55175169784714
MO EM190 X5,NOx,4,8174078.896091505,192.53349323703003
MO EM190 X5,PM25,1,4626.50152934083,0.0
MO EM190 X5,PM25,2,5701.056500937488,23.226080544487736
MO EM190 X5,PM25,3,8215.316484211904,77.57081527178049
MO EM190 X5,PM25,4,11045.773209485453,138.75001746858217
MO EM190 X5,SO2,1,246047.99031837663,0.0
MO EM190 X5,SO2,2,330661.3195165768,34.388953589384656
MO EM190 X5,SO2,3,506191.2211561736,105.7286550079851
MO EM190 X5,SO2,4,711827.9327868073,189.30451001275375
MO OPOI,CO2,1,149781863.07399958,0.0
MO OPOI,CO2,2,184446933.32110736,23.14370347361852
MO OPOI,CO2,3,294751641.55584407,96.78727150711318
MO OPOI,CO2,4,355914950.3552329,137.6221947375521
MO OPOI,NOx,1,3566236.532853825,0.0
MO OPOI,NOx,2,4575275.48827442,28.294224068562468
MO OPOI,NOx,3,7481215.357639893,109.77900059963682
MO OPOI,NOx,4,9316298.874084398,161.2361459555005
MO OPOI,PM25,1,6205.800018287457,0.0
MO OPOI,PM25,2,7147.751851237676,15.178572145000564
MO OPOI,PM25,3,11007.208173944256,77.36968870263064
MO OPOI,PM25,4,12614.053217524792,103.26232202702768
MO OPOI,SO2,1,332820.8644823352,0.0
MO OPOI,SO2,2,416218.06054642895,25.057682664759774
MO OPOI,SO2,3,669334.369536446,101.10949792090682
MO OPOI,SO2,4,814670.8073250363,144.77756482970608
MO OPOI X5,CO2,1,149927487.19325456,0.0
MO OPOI X5,CO2,2,183314707.5805625,22.268912133685166
MO OPOI X5,CO2,3,292457492.462709,95.06596017695884
MO OPOI X5,CO2,4,358387182.49617356,139.0403449063461
MO OPOI X5,NOx,1,3565457.175914533,0.0
MO OPOI X5,NOx,2,4537813.164892357,27.27156549646165
MO OPOI X5,NOx,3,7426859.534313902,108.30034320658828
MO OPOI X5,NOx,4,9367309.331930174,162.7239332786959
MO OPOI X5,PM25,1,6215.888412840851,0.0
MO OPOI X5,PM25,2,7107.29645025256,14.340798582713113
MO OPOI X5,PM25,3,10915.372306117228,75.60437995585846
MO OPOI X5,PM25,4,12710.783778084264,104.48860941303558
MO OPOI X5,SO2,1,333293.91960109415,0.0
MO OPOI X5,SO2,2,414215.8378916973,24.27944631796922
MO OPOI X5,SO2,3,664087.6107533983,99.2498427658739
MO OPOI X5,SO2,4,820971.7356346559,146.32064593834878
MO X5,CO2,1,160292696.06205118,0.0
MO X5,CO2,2,185740192.27439973,15.87564301900414
MO X5,CO2,3,286109554.51291096,78.49194725763088
MO X5,CO2,4,357524074.3236923,123.04451987337626
MO X5,NOx,1,3808002.709036725,0.0
MO X5,NOx,2,4600802.290055688,20.8193019174482
MO X5,NOx,3,7280347.973723892,91.18547254304696
MO X5,NOx,4,9345822.108097663,145.425826140281
MO X5,PM25,1,6665.9321665400375,0.0
MO X5,PM25,2,7205.677355653012,8.097069931528116
MO X5,PM25,3,10651.087696439992,59.783919642981544
MO X5,PM25,4,12696.901601632717,90.47450955719916
MO X5,SO2,1,355809.69188391126,0.0
MO X5,SO2,2,419304.60091292,17.845188165848224
MO X5,SO2,3,649692.6914502435,82.59555775738013
MO X5,SO2,4,818242.3301711628,129.96628502129948
SO,CO2,1,322634878.079787,0.0
SO,CO2,2,353809393.6058889,9.662475337955398
SO,CO2,3,499745838.46789813,54.89516863217494
SO,CO2,4,498719158.2943773,54.57695127773662
SO,NOx,1,5177627.323922057,0.0
SO,NOx,2,6833615.395849496,31.983531612565486
SO,NOx,3,10774263.964452175,108.09268976683826
SO,NOx,4,12381012.963126903,139.1252245197956
SO,PM25,1,14345.524607550566,0.0
SO,PM25,2,14698.392196069406,2.459774725374027
SO,PM25,3,19773.88074062065,37.84006707020631
SO,PM25,4,17951.520587416988,25.136731339671307
SO,SO2,1,861920.0988951355,0.0
SO,SO2,2,901696.7215273592,4.614885148079502
SO,SO2,3,1230743.8172930689,42.79094069980678
SO,SO2,4,1179993.4015481651,36.90287569123362
SO X5,CO2,1,323501760.1298969,0.0
SO X5,CO2,2,351384526.6007972,8.61904629505089
SO X5,CO2,3,497827308.90248126,53.887048003258705
SO X5,CO2,4,512733078.5957075,58.49467971668155
SO X5,NOx,1,5193345.400471711,0.0
SO X5,NOx,2,6815172.431262985,31.228946001626696
SO X5,NOx,3,10741613.90011033,106.83419013753006
SO X5,NOx,4,12701068.101309955,144.5642860603171
SO X5,PM25,1,14384.08343286296,0.0
SO X5,PM25,2,14580.44178020966,1.3651085122190247
SO X5,PM25,3,19687.558709907553,36.87044295730288
SO X5,PM25,4,18472.33538139982,28.4220539154864
SO X5,SO2,1,864102.4084695161,0.0
SO X5,SO2,2,894119.2106507481,3.4737551807542446
SO X5,SO2,3,1225796.465136288,41.85777670813329
SO X5,SO2,4,1214542.230549208,40.55535763410092
