Scenario,Cost Components,Epoch,Cost ($),Cost ($) Percentage Difference (%)
MO X5,RPS Noncompliance,4,0.0,0.0
MO X5,Under Generation Penalty,1,0.0,0.0
MO X5,Under Generation Penalty,2,0.0,0.0
MO X5,Under Generation Penalty,3,0.0,0.0
MO X5,Under Generation Penalty,4,0.0,0.0
SO,Demand Flexibility,1,0.0,0.0
SO,Demand Flexibility,2,0.0,0.0
SO,Demand Flexibility,3,268576800.6617183,0.0
SO,Demand Flexibility,4,137575997.8885929,0.0
SO,Generator O&M,1,83297574660.90349,0.0
SO,Generator O&M,2,57116191436.93943,-31.431147101876594
SO,Generator O&M,3,59550741552.4458,-28.508432814675324
SO,Generator O&M,4,61809668306.24786,-25.79655703317996
SO,Over Generation Penalty,1,0.0,0.0
SO,Over Generation Penalty,2,0.0,0.0
SO,Over Generation Penalty,3,0.0,0.0
SO,Over Generation Penalty,4,0.0,0.0
SO,RPS Noncompliance,1,0.0,0.0
SO,RPS Noncompliance,2,0.0,0.0
SO,RPS Noncompliance,3,0.0,0.0
SO,RPS Noncompliance,4,0.0,0.0
SO,Under Generation Penalty,1,0.0,0.0
SO,Under Generation Penalty,2,0.0,0.0
SO,Under Generation Penalty,3,0.0,0.0
SO,Under Generation Penalty,4,0.0,0.0
SO X5,Demand Flexibility,1,0.0,0.0
SO X5,Demand Flexibility,2,0.0,0.0
SO X5,Demand Flexibility,3,159098718.68943608,0.0
SO X5,Demand Flexibility,4,268914947.78608406,0.0
SO X5,Generator O&M,1,83274910486.98476,0.0
SO X5,Generator O&M,2,57087265379.73652,-31.44722096259854
SO X5,Generator O&M,3,59331071885.84593,-28.752764141224823
SO X5,Generator O&M,4,61160474158.78533,-26.555941277962404
SO X5,Over Generation Penalty,1,0.0,0.0
SO X5,Over Generation Penalty,2,0.0,0.0
SO X5,Over Generation Penalty,3,0.0,0.0
SO X5,Over Generation Penalty,4,0.0,0.0
SO X5,RPS Noncompliance,1,0.0,0.0
SO X5,RPS Noncompliance,2,0.0,0.0
SO X5,RPS Noncompliance,3,0.0,0.0
SO X5,RPS Noncompliance,4,0.0,0.0
SO X5,Under Generation Penalty,1,0.0,0.0
SO X5,Under Generation Penalty,2,0.0,0.0
SO X5,Under Generation Penalty,3,0.0,0.0
SO X5,Under Generation Penalty,4,0.0,0.0
