Scenario,Cost Components,Cost ($),Percentage Difference (%) (Cost ($))
MO,Air Quality,46220829341.78273,-57.33835124644353
MO,BESS Investment,18168928977.698395,155.09804811216966
MO,Emission,95625359174.90205,-47.46772915765881
MO,Generation Investment,428875971533.54803,25.960352328816178
MO,Line Investment,7171811617.636907,3.7600454743335634
MO,Operation,210674529403.0751,-19.6451807031356
MO EM190,Air Quality,37426422100.82181,-65.45555550375549
MO EM190,BESS Investment,38414244536.828545,439.3492821220718
MO EM190,Emission,275027961165.51965,51.087990359736835
MO EM190,Generation Investment,479755828867.3989,40.90370467680483
MO EM190,Line Investment,6911920272.250604,0.0
MO EM190,Operation,188637825452.9129,-28.050351317879763
MO EM190 X5,Air Quality,37460412643.67873,-65.42418236266403
MO EM190 X5,BESS Investment,39425150708.65052,453.542754482103
MO EM190 X5,Emission,275074659743.1775,51.1136444576732
MO EM190 X5,Generation Investment,472021627250.4369,38.6321790486118
MO EM190 X5,Line Investment,6911920272.250604,0.0
MO EM190 X5,Operation,186631788124.74786,-28.815487793865707
MO OPOI,Air Quality,46010352030.25949,-57.532621000203235
MO OPOI,BESS Investment,17760571468.842785,149.3645674227531
MO OPOI,Emission,94077554308.77328,-48.31802352664363
MO OPOI,Generation Investment,431328107259.4467,26.680541615448
MO OPOI,Line Investment,8734986655.398344,26.375685935887223
MO OPOI,Operation,209264056412.55066,-20.183158894414024
MO OPOI X5,Air Quality,46099557951.37861,-57.450284276096006
MO OPOI X5,BESS Investment,18117786209.745274,154.3799859580433
MO OPOI X5,Emission,94122667540.44464,-48.29324034647906
MO OPOI X5,Generation Investment,423593661878.9106,24.408944394189106
MO OPOI X5,Line Investment,9250708170.577032,33.837020772881274
MO OPOI X5,Operation,207009005095.7288,-21.043273506188886
MO X5,Air Quality,46204122444.69638,-57.353771648574124
MO X5,BESS Investment,19544827255.98956,174.4161359105091
MO X5,Emission,95796343515.42418,-47.37379805231594
MO X5,Generation Investment,420717109033.62994,23.56410431469385
MO X5,Line Investment,6911920272.250604,0.0
MO X5,Operation,208858557519.47827,-20.337823012426927
SO,Air Quality,108342810679.41508,0.0
SO,BESS Investment,7122331633.721204,0.0
SO,Emission,182031649577.63007,0.0
SO,Generation Investment,340484893543.31006,0.0
SO,Line Investment,6911920272.250604,0.0
SO,Operation,262180328755.0869,0.0
SO X5,Air Quality,108951392246.32529,0.5617184592995161
SO X5,BESS Investment,7345300522.305176,3.130560328422638
SO X5,Emission,182976299740.3394,0.5189483064627507
SO X5,Generation Investment,332695300684.949,-2.2877939685656683
SO X5,Line Investment,6911920272.250604,0.0
SO X5,Operation,261281735577.82806,-0.34273859580756794
