Scenario,Cost Components,Epoch,Cost ($),Cost ($) Percentage Difference (%)
MO X5,RPS Noncompliance,3,0.0,0.0
MO X5,RPS Noncompliance,4,0.0,0.0
MO X5,Under Generation Penalty,1,0.0,0.0
MO X5,Under Generation Penalty,2,0.0,0.0
MO X5,Under Generation Penalty,3,0.0,0.0
MO X5,Under Generation Penalty,4,0.0,0.0
SO,Demand Flexibility,1,0.0,0.0
SO,Demand Flexibility,2,0.0,0.0
SO,Demand Flexibility,3,0.0,0.0
SO,Demand Flexibility,4,0.0,0.0
SO,Generator O&M,1,66365902585.5684,0.0
SO,Generator O&M,2,37338147408.98036,-43.73895938379096
SO,Generator O&M,3,37076044277.63422,-44.13389582123066
SO,Generator O&M,4,40682112059.14462,-38.7002806046502
SO,Over Generation Penalty,1,0.0,0.0
SO,Over Generation Penalty,2,0.0,0.0
SO,Over Generation Penalty,3,0.0,0.0
SO,Over Generation Penalty,4,0.0,0.0
SO,RPS Noncompliance,1,0.0,0.0
SO,RPS Noncompliance,2,0.0,0.0
SO,RPS Noncompliance,3,0.0,0.0
SO,RPS Noncompliance,4,0.0,0.0
SO,Under Generation Penalty,1,0.0,0.0
SO,Under Generation Penalty,2,0.0,0.0
SO,Under Generation Penalty,3,0.0,0.0
SO,Under Generation Penalty,4,0.0,0.0
SO X5,Demand Flexibility,1,0.0,0.0
SO X5,Demand Flexibility,2,0.0,0.0
SO X5,Demand Flexibility,3,101568621.13455871,0.0
SO X5,Demand Flexibility,4,129477527.58460718,0.0
SO X5,Generator O&M,1,75563494311.89566,0.0
SO X5,Generator O&M,2,46568162017.347,-38.37214326651916
SO X5,Generator O&M,3,49061611301.89334,-35.07233651823091
SO X5,Generator O&M,4,53198237364.283516,-29.59796546106957
SO X5,Over Generation Penalty,1,0.0,0.0
SO X5,Over Generation Penalty,2,0.0,0.0
SO X5,Over Generation Penalty,3,0.0,0.0
SO X5,Over Generation Penalty,4,0.0,0.0
SO X5,RPS Noncompliance,1,0.0,0.0
SO X5,RPS Noncompliance,2,0.0,0.0
SO X5,RPS Noncompliance,3,0.0,0.0
SO X5,RPS Noncompliance,4,0.0,0.0
SO X5,Under Generation Penalty,1,0.0,0.0
SO X5,Under Generation Penalty,2,0.0,0.0
SO X5,Under Generation Penalty,3,0.0,0.0
SO X5,Under Generation Penalty,4,0.0,0.0
