Scenario,Cost Components,Epoch,Cost ($),Cost ($) Percentage Difference (%)
MO,Air Quality,1,5399099617.328042,0.0
MO,Air Quality,2,5481029655.466418,1.517475948682765
MO,Air Quality,3,7128287348.337689,32.027335177516214
MO,Air Quality,4,8452624433.0553255,56.556185885646634
MO,BESS Investment,1,2567276622.9825463,0.0
MO,BESS Investment,2,3615105882.3274727,40.8148171476592
MO,BESS Investment,3,4439086522.338146,72.91033161751831
MO,BESS Investment,4,3810064209.3527536,48.408791450233075
MO,Emission,1,19206394547.76754,0.0
MO,Emission,2,14482320509.100399,-24.596360482536504
MO,Emission,3,14808150964.208199,-22.899891869973963
MO,Emission,4,13456853198.961823,-29.9355578398967
MO,Generation Investment,1,99335214080.82002,0.0
MO,Generation Investment,2,89087781766.19324,-10.31601170788174
MO,Generation Investment,3,75562404282.37047,-23.93190573798712
MO,Generation Investment,4,64714937167.959854,-34.8519678879363
MO,Line Investment,1,4170149768.2301006,0.0
MO,Line Investment,2,1102967425.0734422,-73.55089178148233
MO,Line Investment,3,864203838.3073813,-79.27643163103546
MO,Line Investment,4,677126320.4763103,-83.7625419203182
MO,Operation,1,59370398057.74575,0.0
MO,Operation,2,22832789157.68242,-61.54179539865231
MO,Operation,3,22117688465.828415,-62.74626886564586
MO,Operation,4,23824262375.054047,-59.87181633533647
MO EM190,Air Quality,1,2399135096.0568886,0.0
MO EM190,Air Quality,2,2291609721.190428,-4.481839102899404
MO EM190,Air Quality,3,3622414845.8078575,50.988364588617664
MO EM190,Air Quality,4,4499371684.584038,87.5414057332163
MO EM190,BESS Investment,1,8441559540.285963,0.0
MO EM190,BESS Investment,2,8908647903.740953,5.533199893051604
MO EM190,BESS Investment,3,8360118456.220599,-0.9647634856651738
MO EM190,BESS Investment,4,9290322186.057827,10.054571572009685
MO EM190,Emission,1,34145663149.56261,0.0
MO EM190,Emission,2,25408559797.360416,-25.587739543767253
MO EM190,Emission,3,27776577819.876095,-18.652691856617523
MO EM190,Emission,4,26921402490.819607,-21.157183643204608
MO EM190,Generation Investment,1,126532315858.30994,0.0
MO EM190,Generation Investment,2,111650822520.62502,-11.76102186760663
MO EM190,Generation Investment,3,95804090662.36148,-24.284883262832018
MO EM190,Generation Investment,4,80228858158.24908,-36.594175476809546
MO EM190,Line Investment,1,4357911127.2675905,0.0
MO EM190,Line Investment,2,1173710779.4609036,-73.06712447353601
MO EM190,Line Investment,3,919633107.5737088,-78.8973872867775
MO EM190,Line Investment,4,720556603.3347037,-83.46555075834021
MO EM190,Operation,1,56413499214.150894,0.0
MO EM190,Operation,2,14563268815.284992,-74.18478020659299
MO EM190,Operation,3,12580399271.122955,-77.69966506887546
MO EM190,Operation,4,13599726312.34665,-75.89278009378425
MO EM190 X5,Air Quality,1,4915084058.136996,0.0
MO EM190 X5,Air Quality,2,5338396160.087044,8.61250991728713
MO EM190 X5,Air Quality,3,6606404994.116159,34.41082422952982
MO EM190 X5,Air Quality,4,7513827690.603111,52.872821740736164
MO EM190 X5,BESS Investment,1,8308637856.90918,0.0
MO EM190 X5,BESS Investment,2,8622868718.679401,3.7819780712781705
MO EM190 X5,BESS Investment,3,8095907091.372612,-2.56035669384324
MO EM190 X5,BESS Investment,4,7476051798.525439,-10.020728700931288
MO EM190 X5,Emission,1,58099527055.87952,0.0
MO EM190 X5,Emission,2,44977160988.62771,-22.586011852782992
MO EM190 X5,Emission,3,44331464040.11853,-23.6973753719527
MO EM190 X5,Emission,4,41211138962.20643,-29.068030239609378
MO EM190 X5,Generation Investment,1,139635176449.75415,0.0
MO EM190 X5,Generation Investment,2,120946475133.65054,-13.383949368108174
