Scenario,Emission Components,Emission (mt),Percentage Difference (%) (Emission (mt))
MO,CO2,535101108.00677323,-54.20729616688816
MO,NOx,13215451.43718959,-42.95904200483929
MO,PM25,20975.67128905319,-56.27073866716516
MO,SO2,1202131.4785950035,-59.34874221539128
MO EM190,CO2,263842391.84072268,-77.42098394603002
MO EM190,NOx,6664778.590612751,-71.2332675549497
MO EM190,PM25,10293.86319023308,-78.5397555402638
MO EM190,SO2,583748.1398283907,-80.25998275897045
MO EM190 X5,CO2,494576759.39257133,-57.67527533260582
MO EM190 X5,NOx,12629493.909741828,-45.48817079540325
MO EM190 X5,PM25,18670.434911324257,-61.07660555011327
MO EM190 X5,SO2,1109390.1210652594,-62.48488239586676
MO OPOI,CO2,509397303.5314725,-56.40696775812465
MO OPOI,NOx,12567812.093413098,-45.75440384169717
MO OPOI,PM25,19933.83693413676,-58.442714292824505
MO OPOI,SO2,1146710.046486952,-61.22287242787829
MO OPOI X5,CO2,692712457.4913769,-40.719284761772215
MO OPOI X5,NOx,17281555.358281042,-25.408793035345205
MO OPOI X5,PM25,26498.812280783357,-44.756309761545
MO OPOI X5,SO2,1569801.8181842542,-46.91560821921161
MO X5,CO2,725183124.089644,-37.94052090471936
MO X5,NOx,18081974.661154494,-21.9539974083689
MO X5,PM25,27782.392342625546,-42.08035211554553
MO X5,SO2,1642427.5897308132,-44.45969635473252
SO,CO2,1168529183.0701025,0.0
SO,NOx,23168354.63792662,0.0
SO,PM25,47967.1292167546,0.0
SO,SO2,2957181.509523062,0.0
SO X5,CO2,1478731838.1932878,26.54641917527324
SO X5,NOx,30805922.18612287,32.96551553856804
SO X5,PM25,59231.31007932893,23.483124895120522
SO X5,SO2,3691845.657805624,24.84339043500409
