index,from_node,to_node,r,x,b,s_max,From Zone,To Zone,Distance (miles),Resistance (ohms),Reactance (ohms),Line Type
1,5,7,0.000128502,0.00036383,2748.536404,300,PJM_EMAC,PJM_SMAC,92.13790992,15.29489305,43.30481766,Overhead
2,5,8,0.000142086,0.000402293,2485.750436,6900,PJM_EMAC,PJM_WMAC,101.878588,16.91184561,47.88293636,Overhead
3,6,8,0.000146199,0.000413936,2415.832399,3565,PJM_PENE,PJM_WMAC,104.8271859,17.40131286,49.26877737,Overhead
4,1,6,0.000163556,0.00046308,2159.45409,2785,PJM_AP,PJM_PENE,117.2724795,19.4672316,55.11806537,Overhead
5,4,7,0.000176228,0.000498958,2004.176704,1200,PJM_Dom,PJM_SMAC,126.3584905,20.97550942,59.38849054,Overhead
6,7,8,0.000183207,0.000518719,1927.826048,780,PJM_SMAC,PJM_WMAC,131.3627648,21.80621896,61.74049946,Overhead
7,1,7,0.000190245,0.000538644,1856.513764,1100,PJM_AP,PJM_SMAC,136.408831,22.64386595,64.11215057,Overhead
8,2,9,0.000215966,0.000611469,1635.405883,7400,PJM_ATSI,PJM_West,154.85124,25.70530584,72.7800828,Overhead
9,4,1,0.000243056,0.000688171,1453.127202,5400,PJM_Dom,PJM_AP,174.2756514,28.92975813,81.90955616,Overhead
10,1,2,0.000247683,0.000701272,1425.980219,2444,PJM_AP,PJM_ATSI,177.5933412,29.48049464,83.46887036,Overhead
11,1,9,0.000280612,0.000794505,1258.64532,3395,PJM_AP,PJM_West,201.2041225,33.39988434,94.56593758,Overhead
12,4,9,0.000416541,0.001179362,847.9160767,1530,PJM_Dom,PJM_West,298.6670883,49.57873666,140.3735315,Overhead
13,3,9,0.000521332,0.00147606,677.4792353,980,PJM_COMD,PJM_West,373.8043107,62.05151558,175.688026,Overhead
14,4,10,0.000629742,0.000297324,3363.333947,0,PJM_Dom,ATLSHR,232.9242158,74.95501266,35.38899255,Submarine
15,4,11,0.000608545,0.00030768,3250.12606,0,PJM_Dom,OCN1,225.0841207,72.43207004,36.62165645,Submarine
16,4,12,0.000590384,0.000317145,3153.131055,0,PJM_Dom,OCN2,218.3668319,70.27044649,37.74819312,Submarine
17,4,13,0.000516369,0.000362603,2757.833397,0,PJM_Dom,SKPJK1,190.9909011,61.46087199,43.15887977,Submarine
18,4,14,0.000518099,0.000361393,2767.068471,0,PJM_Dom,SKPJK2,191.6304666,61.66668417,43.01483728,Submarine
19,4,15,0.000475913,0.000393428,2541.761988,0,PJM_Dom,MRWN,176.0270991,56.64552048,46.827752,Submarine
20,4,16,0.00048426,0.000386646,2586.342746,0,PJM_Dom,MMTM,179.1144934,57.63904399,46.0205826,Submarine
21,4,17,0.000389281,0.000480983,2079.077107,0,PJM_Dom,CVOW,143.9843359,46.3341593,57.24895897,Submarine
22,5,10,0.000185486,0.001009442,990.6467126,0,PJM_EMAC,ATLSHR,68.60621406,22.07747968,120.1487861,Submarine
23,5,11,0.000181921,0.001029226,971.6041394,0,PJM_EMAC,OCN1,67.28744034,21.6530983,122.503595,Submarine
24,5,12,0.00017089,0.001095657,912.6943898,0,PJM_EMAC,OCN2,63.20770652,20.34023996,130.4105748,Submarine
25,5,13,0.000208823,0.000896633,1115.283873,0,PJM_EMAC,SKPJK1,77.23783178,24.85513427,106.7217081,Submarine
26,5,14,0.00020547,0.000911263,1097.378366,0,PJM_EMAC,SKPJK2,75.9978044,24.45609346,108.4630458,Submarine
27,5,15,0.000273907,0.000683581,1462.884398,0,PJM_EMAC,MRWN,101.3105468,32.60173397,81.36323016,Submarine
28,5,16,0.000259089,0.000722675,1383.747642,0,PJM_EMAC,MMTM,95.83001255,30.83809804,86.01640677,Submarine
29,5,17,0.000505316,0.000370535,2698.798701,0,PJM_EMAC,CVOW,186.9025143,60.14522911,44.10295587,Submarine
30,7,10,0.000384955,0.000486388,2055.971621,0,PJM_SMAC,ATLSHR,142.3841894,45.81923215,57.89233604,Submarine
31,7,11,0.000369575,0.000506628,1973.833279,0,PJM_SMAC,OCN1,136.6957834,43.98870309,60.30144556,Submarine
