,PJM_AP,PJM_ATSI,PJM_COMD,PJM_Dom,PJM_EMAC,PJM_PENE,PJM_SMAC,PJM_WMAC,PJM_West,ATLSHR,OCN1,OCN2,SKPJK1,SKPJK2,MRWN,MMTM,CVOW
74,5542.028937,8208.102784,11155.29147,11963.47176,16064.26523,2151.234745,7094.909726,6777.108594,22653.28452,0,0,0,0,0,0,0,0
74,5676.505523,8351.209074,11197.82625,12278.21879,16651.09507,2169.13969,7230.094851,6904.447764,23200.3408,0,0,0,0,0,0,0,0
74,5911.080191,8679.088822,11315.75064,12850.117,17657.00038,2263.294703,7581.061749,7241.650767,23934.40933,0,0,0,0,0,0,0,0
74,6111.71338,8976.777188,11471.71262,12961.16295,17837.0068,2294.745602,7651.642686,7320.516715,24661.71237,0,0,0,0,0,0,0,0
74,5959.864911,8805.437321,11965.71892,12510.77499,17265.59138,2247.458671,7433.054695,7131.646682,24106.43207,0,0,0,0,0,0,0,0
74,5751.475802,8411.171315,11875.15539,11916.46323,16304.6986,2162.680371,7042.667616,6840.996956,23029.42557,0,0,0,0,0,0,0,0
74,5567.372371,8076.681171,11511.59216,11362.19596,15366.1493,2076.463869,6668.896829,6537.401687,21949.65428,0,0,0,0,0,0,0,0
74,5414.164947,7847.664661,10877.41234,11003.29838,14675.9154,2024.759952,6399.999263,6350.721666,21228.7689,0,0,0,0,0,0,0,0
74,5307.199988,7684.935897,10298.21822,10807.93721,14299.48635,2000.837819,6270.893932,6265.034997,20950.26254,0,0,0,0,0,0,0,0
74,5322.719334,7584.423763,9925.650871,10763.27945,14097.37167,1978.747644,6219.726366,6230.629906,20733.06111,0,0,0,0,0,0,0,0
74,5356.703708,7609.489664,9699.396362,10850.43294,14108.91629,1986.051985,6263.362134,6280.129981,20851.35142,0,0,0,0,0,0,0,0
229,5149.593058,7616.494184,10141.83838,11494.41667,14164.00592,1895.564979,6530.463078,5726.403908,21348.73217,0,0,0,0,0,0,0,0
229,5276.827108,7850.605431,9988.81719,11906.71544,14716.13057,1961.236431,6892.074319,5991.152969,22188.22527,0,0,0,0,0,0,0,0
229,5537.093007,8433.897597,10094.54828,12548.21366,15548.22289,2075.372307,7422.907831,6431.21916,23916.78498,0,0,0,0,0,0,0,0
229,5735.435798,8812.524251,10690.63759,12982.51566,16531.9377,2169.442161,7758.92987,6747.193538,24929.94853,0,0,0,0,0,0,0,0
229,5980.709581,9087.492537,11569.69975,13499.91606,17458.34231,2205.112372,8084.538629,6977.719525,25551.22168,0,0,0,0,0,0,0,0
229,6135.760856,9358.57825,12292.79116,13952.7744,18319.52343,2289.108461,8400.933264,7135.644079,26412.09864,0,0,0,0,0,0,0,0
229,6335.913234,9765.569309,12877.69723,14419.3108,19007.16252,2335.930862,8631.917654,7287.257429,27372.30563,0,0,0,0,0,0,0,0
229,6479.796518,10036.18578,13213.72971,14859.61881,19587.24297,2354.202269,8805.099194,7380.048653,28158.00008,0,0,0,0,0,0,0,0
229,6578.359353,10276.44116,13470.58811,15259.40952,20092.92628,2356.459305,8909.614015,7440.308168,28793.56354,0,0,0,0,0,0,0,0
229,6697.481403,10564.32005,13617.96422,15634.17684,20492.41666,2386.274483,8957.647158,7504.431452,29491.55957,0,0,0,0,0,0,0,0
229,6687.417068,10685.85669,13591.75698,16012.32048,20762.89216,2382.55486,8790.76047,7460.746061,29711.42463,0,0,0,0,0,0,0,0
229,6788.213499,10670.14185,13720.88803,16320.19438,20834.53319,2361.086508,8836.464375,7419.833185,29983.67231,0,0,0,0,0,0,0,0
229,6896.000192,10607.83899,13950.18158,16251.22019,21056.18464,2366.954572,9017.210257,7446.656989,30348.43619,0,0,0,0,0,0,0,0
229,6856.322201,10511.4598,14177.12551,16105.41082,21118.64257,2354.866849,9197.34844,7512.981426,30272.66191,0,0,0,0,0,0,0,0
229,6813.013562,10400.15014,14273.69543,15869.24931,20899.79116,2352.100743,9207.592385,7481.376357,29899.81753,0,0,0,0,0,0,0,0
229,6743.036825,10171.79408,14137.06986,15676.69928,20893.94037,2355.9446,9216.086472,7517.05158,29149.39045,0,0,0,0,0,0,0,0
229,6621.709266,9969.834815,13834.48236,15501.21301,20881.7062,2346.218476,9080.364287,7516.743668,28781.23582,0,0,0,0,0,0,0,0
229,6414.728393,9659.688146,13616.90673,14779.48066,20110.70991,2284.840286,8610.349517,7323.668468,27826.76922,0,0,0,0,0,0,0,0
229,6046.819205,9052.287216,13519.76986,13948.62342,18974.49761,2174.585921,8080.923482,6705.688208,25917.75877,0,0,0,0,0,0,0,0
229,5743.415675,8449.808577,12893.25018,13124.79274,17768.81534,2073.607925,7510.946281,6428.53693,23993.76084,0,0,0,0,0,0,0,0
229,5461.162982,7948.851798,11948.15577,12418.41271,16680.93291,2001.240042,7064.805323,6070.527954,22506.9251,0,0,0,0,0,0,0,0
229,5303.040807,7598.998519,11046.21124,11931.81767,15899.7041,1939.858359,6738.068472,5895.034729,21460.78461,0,0,0,0,0,0,0,0
229,5105.187853,7347.694709,10338.88038,11582.76838,15403.05577,1879.201255,6529.435829,5783.423404,20656.60222,0,0,0,0,0,0,0,0
229,5103.168528,7161.926323,9797.991413,11413.49744,15123.22183,1856.267737,6396.170396,5713.675972,20307.49795,0,0,0,0,0,0,0,0
325,5227.710864,6216.776531,8860.388295,11667.88156,13214.36902,1802.171968,6397.119334,5603.453421,19505.01604,0,0,0,0,0,0,0,0
325,5244.303224,6252.913189,8782.425967,11796.758,13217.72237,1795.63067,6429.77582,5620.523893,19515.24664,0,0,0,0,0,0,0,0
325,5278.875508,6305.361547,8692.51978,11994.14437,13414.94904,1814.182729,6549.531615,5741.00203,19913.13556,0,0,0,0,0,0,0,0
325,5361.920028,6498.159146,8711.903212,12391.52465,13748.07983,1860.744931,6697.76516,5928.194706,20415.54753,0,0,0,0,0,0,0,0
325,5487.916582,6655.062542,8874.404833,12705.45955,13986.492,1919.346013,6784.822274,6142.23433,21156.4454,0,0,0,0,0,0,0,0
325,5632.682294,6823.209882,9110.205022,12842.51179,14260.74057,1981.539799,6928.033549,6347.723636,21822.69936,0,0,0,0,0,0,0,0
325,5702.029434,7108.801694,9330.891116,12536.41236,14329.25898,2016.822104,6917.123065,6398.575588,21968.25083,0,0,0,0,0,0,0,0
325,5573.36521,7221.632465,9636.395999,12113.75743,14267.69407,2033.991707,6796.625558,6347.391815,21664.75142,0,0,0,0,0,0,0,0
325,5530.943695,7159.458825,9964.489486,11735.08918,14120.84821,2020.444796,6636.992748,6243.436336,21399.69273,0,0,0,0,0,0,0,0
325,5448.968159,7139.092179,10215.10863,11529.22469,14109.35165,2018.580585,6549.699281,6170.083017,21081.57443,0,0,0,0,0,0,0,0
