tech,fuel,unit,ave_marg_damages_isrm_LePeule,zone,node,latitude,longitude,status,Generation (MWh) Unadjusted,Generation (MWh),aq_costs,Specification
NG-CC,Gas,Existing NG-CC 1111,0.910301291,PJM_Dom,4,37.6961,-78.2848,Existing,27672.606095432686,8928548.091362342,5956759.448212946,SO
NG-CC,Gas,Existing NG-CC 1112,1.02926131,PJM_Dom,4,37.6961,-78.2848,Existing,56757.353924316136,17787241.55795341,11486601.660698898,SO
NG-CC,Gas,Existing NG-CC 1118,12.59769993,PJM_EMAC,5,39.841001,-75.220256,Existing,43533.68279438082,13090467.337236026,105336556.66802023,SO
NG-CC,Gas,Existing NG-CC 1119,12.56593167,PJM_EMAC,5,39.841001,-75.220256,Existing,43533.68279438082,13090467.337236026,105070924.1209419,SO
NG-CC,Gas,Existing NG-CC 1121,1.480886124,PJM_EMAC,5,39.18717,-75.49942,Existing,39983.490033607304,12209126.927316694,11480319.189189194,SO
NG-CC,Gas,Existing NG-CC 1122,1.480886124,PJM_EMAC,5,39.18717,-75.49942,Existing,27182.56381244841,8030533.536028495,7355313.521148885,SO
NG-CC,Gas,Existing NG-CC 1164,3.384191279,PJM_Dom,4,36.76479,-77.71313,Existing,67172.52128198551,22656961.875479747,50113941.12224004,SO
NG-CC,Gas,Existing NG-CC 1165,3.332454903,PJM_Dom,4,36.76479,-77.71313,Existing,67172.52128198551,22656961.875479747,49347816.075812936,SO
NG-CC,Gas,Existing NG-CC 1166,3.506924306,PJM_Dom,4,36.76479,-77.71313,Existing,67172.52128198551,22656961.875479747,51931402.12895056,SO
NG-CC,Gas,Existing NG-CC 1167,3.407856829,PJM_Dom,4,36.76479,-77.71313,Existing,132243.30107836082,42062495.12591282,89438163.66074978,SO
NG-CC,Gas,Existing NG-CC 125,95.1056135,PJM_EMAC,5,40.8396,-74.025002,Existing,10460.699999999786,3047786.9999999325,238469898.81978646,SO
NG-CC,Gas,Existing NG-CC 126,94.45324995,PJM_EMAC,5,40.8396,-74.025002,Existing,10460.7,3047786.9999999986,236834148.162842,SO
NG-CC,Gas,Existing NG-CC 127,94.77943172,PJM_EMAC,5,40.8396,-74.025002,Existing,30000.514377616528,8590349.102642026,589984706.59822,SO
NG-CC,Gas,Existing NG-CC 146,19.86409061,PJM_EMAC,5,40.624411,-74.211871,Existing,48151.764373390186,14589958.054842744,185414158.47223094,SO
NG-CC,Gas,Existing NG-CC 147,19.85026591,PJM_EMAC,5,40.624411,-74.211871,Existing,12840.729968701757,3696749.2805717066,60371105.637630045,SO
NG-CC,Gas,Existing NG-CC 148,19.8779153,PJM_EMAC,5,40.624411,-74.211871,Existing,12840.729968701778,3696749.280571714,60455196.41263915,SO
NG-CC,Gas,Existing NG-CC 149,19.43511979,PJM_EMAC,5,40.624411,-74.211871,Existing,48151.76437339027,14589958.054842772,181410085.7381187,SO
NG-CC,Gas,Existing NG-CC 150,19.3843234,PJM_EMAC,5,40.624411,-74.211871,Existing,12840.729968701778,3696749.280571714,58954023.13506774,SO
NG-CC,Gas,Existing NG-CC 151,19.48591618,PJM_EMAC,5,40.624411,-74.211871,Existing,12840.729968701778,3696749.280571714,59262999.77453486,SO
NG-CC,Gas,Existing NG-CC 346,11.42180143,PJM_WMAC,8,41.201997,-76.070093,Existing,7269.6896847703565,2272983.995068416,19233565.798274416,SO
NG-CC,Gas,Existing NG-CC 347,10.61978306,PJM_WMAC,8,41.201997,-76.070093,Existing,7141.589155594356,2221641.1680244436,17460151.399540834,SO
NG-CC,Gas,Existing NG-CC 379,1.86815888,PJM_Dom,4,38.5391,-77.2786,Existing,9652.499999999436,3062069.999999824,4706214.601266978,SO
NG-CC,Gas,Existing NG-CC 380,2.331999191,PJM_Dom,4,38.5391,-77.2786,Existing,9652.5,3062069.999999999,5874708.388200691,SO
NG-CC,Gas,Existing NG-CC 381,2.100079035,PJM_Dom,4,38.5391,-77.2786,Existing,60734.39832326808,19908620.938157037,26620596.809870616,SO
NG-CC,Gas,Existing NG-CC 453,18.39028323,PJM_EMAC,5,39.74564767,-75.50444433,Existing,11661.05743894088,3361807.2316822624,50863240.85565091,SO
NG-CC,Gas,Existing NG-CC 457,10.12751862,PJM_EMAC,5,39.74564767,-75.506389,Existing,24364.05743854088,7133950.564844261,52635999.18031283,SO
NG-CC,Gas,Existing NG-CC 633,40.42742977,PJM_EMAC,5,39.918222,-75.118141,Existing,4042.4,1132523.9999999995,37667461.16923665,SO
NG-CC,Gas,Existing NG-CC 69,55.72897316,PJM_SMAC,7,39.178421,-76.527476,Existing,25073.999999999483,8671319.999999812,358986481.5621189,SO
NG-CC,Gas,Existing NG-CC 722,39.31088066,PJM_EMAC,5,40.062369,-74.168576,Existing,4542.900000000001,1251289.9999999993,40468168.601396635,SO
NG-CC,Gas,Existing NG-CC 768,6.747324639,PJM_Dom,4,38.12417,-78.2036,Existing,2923.2,926897.9999999997,5145248.503033052,SO
NG-CC,Gas,Existing NG-CC 769,5.475829282,PJM_Dom,4,38.12583,-78.205,Existing,2923.2000000000003,926897.9999999997,4175655.378018199,SO
NG-CC,Gas,Existing NG-CC 790,13.75738347,PJM_COMD,3,41.48058,-88.25838,Existing,19100.007985413416,6972502.834821761,78916414.65792958,SO
NG-CC,Gas,Existing NG-CC 791,10.95323383,PJM_COMD,3,41.4806,-88.25748,Existing,19100.007985413416,6972502.834821761,62830984.15178087,SO
NG-CC,Gas,Existing NG-CC 792,13.69802891,PJM_COMD,3,41.48061,-88.25705,Existing,19100.007985413416,6972502.834821761,78575939.37213027,SO
NG-CC,Gas,Existing NG-CC 793,12.27134763,PJM_COMD,3,41.48064,-88.25614,Existing,19100.007985413416,6972502.834821761,70392074.19728059,SO
NG-CC,Gas,Existing NG-CC 794,13.75738347,PJM_COMD,3,41.48058,-88.25838,Existing,29827.98497117085,10900638.284874108,109973961.61502051,SO
NG-CC,Gas,Existing NG-CC 795,10.95323383,PJM_COMD,3,41.4806,-88.25748,Existing,29827.98497117085,10900638.284874108,87558111.5702348,SO
NG-CC,Gas,Existing NG-CC 796,13.69802891,PJM_COMD,3,41.48061,-88.25705,Existing,29827.98497117085,10900638.284874108,109499492.31514597,SO
NG-CC,Gas,Existing NG-CC 797,12.27134763,PJM_COMD,3,41.48064,-88.25614,Existing,29827.98497117085,10900638.284874108,98094867.83362831,SO
NG-CC,Gas,Existing NG-CC 801,8.098491983,PJM_COMD,3,41.774885,-89.6075,Existing,56712.84421241261,20827064.205737032,111406630.27754484,SO
NG-CC,Gas,Existing NG-CC 802,8.229878788,PJM_COMD,3,41.774895,-89.606175,Existing,56712.84421241261,20827064.205737032,113214048.40411817,SO
NG-CC,Gas,Existing NG-CC 803,8.098491983,PJM_COMD,3,41.774885,-89.6075,Existing,45067.148961215986,16532549.483090468,87058386.98367618,SO
NG-CC,Gas,Existing NG-CC 804,8.229878788,PJM_COMD,3,41.774895,-89.606175,Existing,45067.148961215986,16532549.483090468,88470788.61823353,SO
NG-CC,Gas,Existing NG-CC 807,7.729298667,PJM_COMD,3,41.71217,-90.27933,Existing,44742.61556810489,16203380.58965854,91566244.73025419,SO
NG-CC,Gas,Existing NG-CC 808,11.75631665,PJM_WMAC,8,40.42083,-75.9375,Existing,13724.383065808197,4382161.331459163,42384048.806017675,SO
NG-CC,Gas,Existing NG-CC 809,11.77948633,PJM_WMAC,8,40.42083,-75.9375,Existing,13724.383065808197,4382161.331459163,42467580.48325773,SO
NG-CC,Gas,Existing NG-CC 810,11.76790149,PJM_WMAC,8,40.42083,-75.9375,Existing,28551.349783876165,9014574.435108846,77177097.9421552,SO
NG-CC,Gas,Existing NG-CC 830,13.44148982,PJM_COMD,3,41.41324667,-88.33022667,Existing,14505.77930559822,5289574.159903194,52238753.33287393,SO
NG-CC,Gas,Existing NG-CC 843,17.93124232,PJM_EMAC,5,39.86248,-75.33577,Existing,10801.015998217352,3146161.5788769303,46412419.22755725,SO
NG-CC,Gas,Existing NG-CC 844,18.15903418,PJM_EMAC,5,39.86248,-75.33577,Existing,10801.015998217352,3146161.5788769303,47002025.4084493,SO
NG-CC,Gas,Existing NG-CC 845,18.04513825,PJM_EMAC,5,39.86248,-75.33577,Existing,28806.269281158977,8557130.85494201,111264591.99458058,SO
NG-CC,Gas,Existing NG-CC 88,7.452279932,PJM_SMAC,7,38.5444,-76.6861,Existing,63073.19450994612,22057895.775137126,135237160.670463,SO
NG-CC,Gas,Existing NG-CC 928,6.3125208,PJM_EMAC,5,40.14695,-74.74249,Existing,10797.0,3024989.9999999986,15709760.681849219,SO
NG-CC,Gas,Existing NG-CC 929,6.419729684,PJM_EMAC,5,40.14695,-74.74249,Existing,11393.3333332,3184583.3333039987,16819464.446178984,SO
NG-CC,Gas,Existing NG-CC 930,6.360245321,PJM_EMAC,5,40.14695,-74.74249,Existing,11880.0,3363029.9999999986,17597355.687708408,SO
NG-CC,Gas,Existing NG-CC 931,6.508559264,PJM_EMAC,5,40.14695,-74.74249,Existing,11880.0,3363029.9999999986,18007706.716119234,SO
NG-CC,Gas,Existing NG-CC 932,6.366125242,PJM_EMAC,5,40.14695,-74.74249,Existing,52988.57127330951,15728065.897873787,63963239.18449152,SO
NG-CC,Gas,Existing NG-CC 933,6.434402293,PJM_EMAC,5,40.14695,-74.74249,Existing,52988.57127330951,15728065.897873787,64649248.519512504,SO
NG-CC,Gas,Existing NG-CC 936,14.81925424,PJM_WMAC,8,40.3509,-76.3658,Existing,33333.86835630113,10721427.676500693,115498844.41424507,SO
NG-CC,Gas,Existing NG-CC 947,8.825121559,PJM_West,9,40.09285,-82.02727,Existing,22336.7666648,6555024.6657639975,35867161.18231121,SO
NG-CC,Gas,Existing NG-CC 948,8.88857821,PJM_West,9,40.09285,-82.02727,Existing,22336.7666648,6555024.6657639975,36125062.4377546,SO
NG-CC,Gas,Existing NG-CC 949,8.856849885,PJM_West,9,40.09285,-82.02727,Existing,36180.69833618623,10248378.500633864,54505522.3227108,SO
NG-CC,Gas,Existing NG-CC 962,7.338844988,PJM_West,9,39.5798,-81.6571,Existing,7160.0,1929619.999999999,11650439.531466458,SO
NG-CC,Gas,Existing NG-CC 963,7.366743142,PJM_West,9,39.5798,-81.6571,Existing,7160.0,1929619.999999999,11694727.938804125,SO
NG-CC,Gas,Existing NG-CC 964,7.352794065,PJM_West,9,39.5798,-81.6571,Existing,25427.72462454679,7003916.405237741,37217941.13916303,SO
NG-CC,Gas,Existing NG-CC 974,1.375231631,PJM_Dom,4,37.8669,-78.3801,Existing,11709.543538765889,3706509.956261889,4193569.3316819845,SO
NG-CC,Gas,Existing NG-CC 975,1.766282398,PJM_Dom,4,37.8669,-78.3801,Existing,11490.3333332,3766695.666623999,5473479.263953471,SO
NG-CC,Gas,Existing NG-CC 976,1.436337517,PJM_Dom,4,37.8669,-78.3801,Existing,11596.8,3622187.999999998,4280261.428542381,SO
NG-CC,Gas,Existing NG-CC 977,1.525950515,PJM_Dom,4,37.8669,-78.3801,Existing,84929.89315297721,27352128.47374105,26155202.681981217,SO
NG-CC,Gas,Existing NG-CC 980,6.740131596,PJM_West,9,39.0908,-84.8666,Existing,6656.4132653111,1737206.7091854396,9633024.782360407,SO
NG-CC,Gas,Existing NG-CC 981,6.729722522,PJM_West,9,39.0908,-84.8666,Existing,6669.0,1675799.999999999,9278166.198131513,SO
NG-CC,Gas,Existing NG-CC 982,6.39997462,PJM_West,9,39.0908,-84.8666,Existing,6656.4132653111,1737206.7091854396,9146870.983576212,SO
NG-CC,Gas,Existing NG-CC 983,8.676986998,PJM_West,9,39.0908,-84.8666,Existing,6656.4132653111,1737206.7091854396,12401186.771717897,SO
NG-CC,Gas,Existing NG-CC 984,1.418876091,PJM_West,9,39.53333,-81.71694,Existing,6972.921782483174,1859500.7229643986,2170619.128458944,SO
NG-CC,Gas,Existing NG-CC 985,1.390103444,PJM_West,9,39.53305,-81.71694,Existing,6972.921782483174,1859500.7229643986,2126602.277127987,SO
NG-CC,Gas,Existing NG-CC 986,1.447889442,PJM_West,9,39.5325,-81.71694,Existing,6972.921782483174,1859500.7229643986,2215004.2125834557,SO
NG-CC,Gas,Existing NG-CC 987,1.418956326,PJM_West,9,39.53296,-81.71694,Existing,28573.98246822579,7780928.202213505,7934968.157972906,SO
NG-CC,Gas,Existing NG-CC 988,3.192184906,PJM_AP,1,39.8589,-79.9181,Existing,9380.670215276157,2705778.3481911877,7105964.944299974,SO
NG-CC,Gas,Existing NG-CC 989,3.505501953,PJM_AP,1,39.8592,-79.9182,Existing,9380.670215276157,2705778.3481911877,7803424.526997965,SO
NG-CC,Gas,Existing NG-CC 990,3.348843429,PJM_AP,1,39.85905,-79.91815,Existing,61120.51145359443,18865023.54731528,39697978.37614313,SO
NG-CC,Gas,Existing NG-CC 991,31.46051817,PJM_EMAC,5,39.73872,-76.30826,Existing,14673.068297094926,4342034.245358696,98641209.09480762,SO
NG-CC,Gas,Existing NG-CC 992,26.96637334,PJM_EMAC,5,39.73872,-76.30826,Existing,15903.9999996,4555783.333117997,89363499.66092083,SO
NG-CC,Gas,Existing NG-CC 993,31.14855732,PJM_EMAC,5,39.73872,-76.30826,Existing,15903.9999996,4555783.333117997,103222782.55248664,SO
NG-CC,Gas,Existing NG-CC 994,29.85848294,PJM_EMAC,5,39.73872,-76.30826,Existing,42912.013082495025,12805930.591112504,236679495.90402743,SO
NG-CT,Gas,Existing NG-CT 1,30.42484127,PJM_West,9,37.8824,-84.1025,Existing,103.99999999998909,22879.99999999759,572699.9497185034,SO
NG-CT,Gas,Existing NG-CT 1010,7.530104892,PJM_AP,1,39.86666,-77.68334,Existing,5.684341886080802e-14,1.8935963908006667e-11,1.1730897678100494e-10,SO
NG-CT,Gas,Existing NG-CT 1011,7.842758213,PJM_AP,1,39.86666,-77.68334,Existing,7.105427357601002e-14,3.69482222595252e-11,2.383994106008428e-10,SO
NG-CT,Gas,Existing NG-CT 1089,24.75900568,PJM_WMAC,8,41.20334,-76.06848,Existing,7.815970093361102e-14,3.1619151741324445e-11,6.440598372573023e-10,SO
NG-CT,Gas,Existing NG-CT 129,47.41675781,PJM_EMAC,5,40.071433,-74.875878,Existing,1.3500311979441906e-13,4.0500935938325685e-11,1.579936812719732e-09,SO
NG-CT,Gas,Existing NG-CT 130,50.56726238,PJM_EMAC,5,40.071433,-74.875878,Existing,-7.296875099669614e-15,-2.335000031894276e-12,-9.714023212147713e-11,SO
NG-CT,Gas,Existing NG-CT 132,155.5982319,PJM_EMAC,5,40.73799,-74.097155,Existing,2.8421709430404014e-14,6.25277607468888e-12,8.004244335956412e-10,SO
NG-CT,Gas,Existing NG-CT 133,149.2180591,PJM_EMAC,5,40.73799,-74.097155,Existing,1.7053025658242404e-13,5.115907697472718e-11,6.280394009916682e-09,SO
NG-CT,Gas,Existing NG-CT 136,87.1882248,PJM_EMAC,5,40.73799,-74.097155,Existing,234.49999999999997,51589.999999999956,1780027.3727845838,SO
NG-CT,Gas,Existing NG-CT 137,85.9958989,PJM_EMAC,5,40.73799,-74.097155,Existing,234.50000000000017,51590.00000000003,1755684.9487456938,SO
NG-CT,Gas,Existing NG-CT 138,84.45006042,PJM_EMAC,5,40.73799,-74.097155,Existing,234.49999999999994,51589.99999999996,1724125.2419777664,SO
NG-CT,Gas,Existing NG-CT 139,84.30951116,PJM_EMAC,5,40.73799,-74.097155,Existing,234.50000000000006,51590.000000000015,1721255.8002544355,SO
NG-CT,Gas,Existing NG-CT 140,84.41651762,PJM_EMAC,5,40.73799,-74.097155,Existing,234.50000000000028,51590.00000000008,1723440.4350293966,SO
NG-CT,Gas,Existing NG-CT 141,84.76556683,PJM_EMAC,5,40.73799,-74.097155,Existing,234.50000000000034,51590.0000000001,1730566.5939765945,SO
NG-CT,Gas,Existing NG-CT 157,6.21194926,PJM_EMAC,5,39.489029,-75.035192,Existing,275.0000000000004,60500.000000000095,148725.89531751085,SO
NG-CT,Gas,Existing NG-CT 2,67.14580827,PJM_West,9,37.8824,-84.1025,Existing,104.0,22879.999999999993,1263914.5979032188,SO
NG-CT,Gas,Existing NG-CT 202,72.60844078,PJM_ATSI,2,41.42935,-82.2645,Existing,84.09456735339461,18500.804817746804,1105148.2384329224,SO
NG-CT,Gas,Existing NG-CT 205,66.09203167,PJM_ATSI,2,41.42928,-82.26598,Existing,84.09456735340189,18500.804817748405,1005964.2045732928,SO
NG-CT,Gas,Existing NG-CT 217,27.32625653,PJM_ATSI,2,41.30416,-84.33889,Existing,112.0,24639.999999999985,553941.1754560699,SO
NG-CT,Gas,Existing NG-CT 218,28.7333041,PJM_ATSI,2,41.30416,-84.33889,Existing,112.0,24639.999999999985,582463.9840593165,SO
NG-CT,Gas,Existing NG-CT 219,28.43144798,PJM_ATSI,2,41.30416,-84.33889,Existing,112.0,24639.999999999985,576344.9412351433,SO
NG-CT,Gas,Existing NG-CT 3,84.01822041,PJM_West,9,37.8824,-84.1025,Existing,104.0,22879.999999999993,1581511.311012016,SO
NG-CT,Gas,Existing NG-CT 4,15.36017259,PJM_West,9,37.8824,-84.1025,Existing,74.0,16279.999999999993,205727.95060922133,SO
NG-CT,Gas,Existing NG-CT 407,9.075311829,PJM_EMAC,5,39.375774,-74.96519,Existing,89.4999996,19689.999911999992,90252.05171985635,SO
NG-CT,Gas,Existing NG-CT 476,32.72099857,PJM_West,9,40.052939,-85.739139,Existing,144.0,31679.999999999985,760508.3998032426,SO
NG-CT,Gas,Existing NG-CT 5,12.96915216,PJM_West,9,37.8824,-84.1025,Existing,74.0,16279.999999999993,173703.58824958725,SO
NG-CT,Gas,Existing NG-CT 533,67.57087617,PJM_ATSI,2,41.3883,-83.6401,Existing,29.00000000000003,6380.000000000004,354668.8385720766,SO
NG-CT,Gas,Existing NG-CT 553,11.76288831,PJM_Dom,4,38.5292,-77.7686,Existing,94.3333332,20753.33330399999,157361.375369025,SO
NG-CT,Gas,Existing NG-CT 554,12.05382666,PJM_Dom,4,38.5292,-77.7686,Existing,159.3,35045.999999999985,272307.5650757132,SO
NG-CT,Gas,Existing NG-CT 555,11.73940391,PJM_Dom,4,38.5292,-77.7686,Existing,94.3333332,20753.33330399999,157047.2061457591,SO
NG-CT,Gas,Existing NG-CT 556,11.59778176,PJM_Dom,4,38.1169,-78.2144,Existing,9.833333199999998,2163.3333039999984,16173.15231909582,SO
NG-CT,Gas,Existing NG-CT 559,12.2640199,PJM_Dom,4,38.1169,-78.2144,Existing,77.2,16983.999999999993,134266.95385039298,SO
NG-CT,Gas,Existing NG-CT 561,7.894826684,PJM_Dom,4,38.54573,-77.77069,Existing,153.0,33659.999999999985,171298.28713636962,SO
NG-CT,Gas,Existing NG-CT 562,7.76911235,PJM_Dom,4,38.54573,-77.77069,Existing,151.0,33219.999999999985,166367.05863317716,SO
NG-CT,Gas,Existing NG-CT 567,5.234635107,PJM_Dom,4,38.07194,-77.51309,Existing,377.3333328,83013.33321599996,234633.6951601475,SO
NG-CT,Gas,Existing NG-CT 568,5.437898621,PJM_Dom,4,38.07194,-77.51309,Existing,228.78808665004914,50333.37906301078,138241.0446272562,SO
NG-CT,Gas,Existing NG-CT 569,5.057132318,PJM_Dom,4,38.07194,-77.51309,Existing,228.78808665004914,50333.37906301078,128561.28868581522,SO
NG-CT,Gas,Existing NG-CT 572,38.44904598,PJM_West,9,40.93,-84.73972,Existing,223.3333332,49133.33330399998,1436186.0321740299,SO
NG-CT,Gas,Existing NG-CT 573,32.0176362,PJM_West,9,40.93,-84.73917,Existing,223.3333332,49133.33330399998,1195953.7804290035,SO
NG-CT,Gas,Existing NG-CT 574,32.47767447,PJM_West,9,40.93,-84.73917,Existing,223.3333332,49133.33330399998,1213137.575782032,SO
NG-CT,Gas,Existing NG-CT 6,12.19275549,PJM_West,9,37.8824,-84.1025,Existing,147.99999999997453,32559.999999994383,291258.463617437,SO
NG-CT,Gas,Existing NG-CT 609,7.915474544,PJM_EMAC,5,39.150556,-75.546944,Existing,1.2079226507921703e-13,3.680611371237317e-11,2.396843752583412e-10,SO
NG-CT,Gas,Existing NG-CT 637,36.42868488,PJM_WMAC,8,40.9282,-76.0416,Existing,9.592326932761354e-14,3.682387728076718e-11,1.1036104680834497e-09,SO
NG-CT,Gas,Existing NG-CT 638,97.66540458,PJM_WMAC,8,40.9282,-76.0416,Existing,9.237055564881302e-14,4.9524828682478976e-11,3.979298691413143e-09,SO
NG-CT,Gas,Existing NG-CT 639,75.60402009,PJM_WMAC,8,40.9282,-76.0416,Existing,6.039613253960852e-14,1.6466827901240315e-11,1.0242303463794985e-09,SO
NG-CT,Gas,Existing NG-CT 7,14.05763666,PJM_West,9,37.8824,-84.1025,Existing,148.0,32559.999999999985,335806.42694282206,SO
NG-CT,Gas,Existing NG-CT 781,75.31170968,PJM_COMD,3,42.09418,-88.23974,Existing,104.0,22879.999999999993,1417624.89290236,SO
NG-CT,Gas,Existing NG-CT 784,37.49352264,PJM_West,9,39.4523,-84.4634,Existing,69.0,15179.999999999993,468242.4904645284,SO
NG-CT,Gas,Existing NG-CT 785,35.80630543,PJM_West,9,39.4523,-84.4634,Existing,70.0,15399.999999999993,453652.21579239075,SO
NG-CT,Gas,Existing NG-CT 786,37.20464625,PJM_West,9,39.4523,-84.4634,Existing,70.0,15399.999999999993,471368.659971925,SO
NG-CT,Gas,Existing NG-CT 787,35.91010846,PJM_West,9,39.4523,-84.4634,Existing,72.0,15839.999999999993,467966.4279853761,SO
