latitude,node,unit,ave_marg_damages_isrm_LePeule,status,fuel,longitude,zone,tech,Generation (MWh) Unadjusted,Generation (MWh),aq_costs,Specification
36.76479,4,Existing NG-CC 1164,3.384191279,Existing,Gas,-77.71313,PJM_Dom,NG-CC,26929.308479758998,8333578.778712903,18313989.67068559,MO OPOI
36.76479,4,Existing NG-CC 1165,3.332454903,Existing,Gas,-77.71313,PJM_Dom,NG-CC,27358.378348184175,8535418.911116783,18469211.77112899,MO OPOI
36.76479,4,Existing NG-CC 1166,3.506924306,Existing,Gas,-77.71313,PJM_Dom,NG-CC,22695.399999999998,6301931.9889953695,14314236.654222686,MO OPOI
36.76479,4,Existing NG-CC 1167,3.407856829,Existing,Gas,-77.71313,PJM_Dom,NG-CC,76047.03375615433,23001205.468751546,44090540.47585919,MO OPOI
36.86875,4,Existing Coal 468,32.19076745,Existing,Coal,-78.70482,PJM_Dom,Coal,17079.99999999998,4195199.990313996,76646756.80172749,MO OPOI
36.86875,4,Existing Coal 469,30.66096976,Existing,Coal,-78.70482,PJM_Dom,Coal,18165.156620875834,4474837.578727235,77725372.53408995,MO OPOI
37.6961,4,Existing NG-CC 1110,1.148221329,Existing,Gas,-78.2848,PJM_Dom,NG-CC,14206.35034892227,4627090.134401936,3942209.6980558266,MO OPOI
37.6961,4,Existing NG-CC 1111,0.910301291,Existing,Gas,-78.2848,PJM_Dom,NG-CC,14411.043186784269,4711112.466710212,3188279.318761594,MO OPOI
37.6961,4,Existing NG-CC 1112,1.02926131,Existing,Gas,-78.2848,PJM_Dom,NG-CC,38718.93323205393,12942943.278658897,7761541.993663196,MO OPOI
37.8669,4,Existing NG-CC 974,1.375231631,Existing,Gas,-78.3801,PJM_Dom,NG-CC,6403.881789580686,2094844.213552238,2370120.288969601,MO OPOI
37.8669,4,Existing NG-CC 975,1.766282398,Existing,Gas,-78.3801,PJM_Dom,NG-CC,6578.6,2148712.997657485,3122348.359883982,MO OPOI
37.8669,4,Existing NG-CC 976,1.436337517,Existing,Gas,-78.3801,PJM_Dom,NG-CC,6704.4,2189801.9976126896,2587641.786270248,MO OPOI
37.8669,4,Existing NG-CC 977,1.525950515,Existing,Gas,-78.3801,PJM_Dom,NG-CC,44214.200000000004,14258737.98355516,14243089.615312347,MO OPOI
38.12417,4,Existing NG-CC 768,6.747324639,Existing,Gas,-78.2036,PJM_Dom,NG-CC,1096.2,287650.99942043505,1596762.3990600426,MO OPOI
38.12583,4,Existing NG-CC 769,5.475829282,Existing,Gas,-78.205,PJM_Dom,NG-CC,1096.2,287650.99942043505,1295861.5108914357,MO OPOI
38.5391,4,Existing NG-CC 379,1.86815888,Existing,Gas,-77.2786,PJM_Dom,NG-CC,5345.999999999685,1716659.9980099949,2638401.587176663,MO OPOI
38.5391,4,Existing NG-CC 380,2.331999191,Existing,Gas,-77.2786,PJM_Dom,NG-CC,5049.0,1560734.997943275,2994334.8728721905,MO OPOI
38.5391,4,Existing NG-CC 381,2.100079035,Existing,Gas,-77.2786,PJM_Dom,NG-CC,28207.706007220033,8991643.797678526,12304902.068324385,MO OPOI
38.5444,7,Existing NG-CC 88,7.452279932,Existing,Gas,-76.6861,PJM_SMAC,NG-CC,27865.078452510832,9966286.179526232,61103391.68741607,MO OPOI
38.57278,9,Existing NG-CC 1030,8.122713767,Existing,Gas,-82.785,PJM_West,NG-CC,7137.0,2357954.9974608747,15757215.168446807,MO OPOI
38.57292,9,Existing NG-CC 1031,9.206402713,Existing,Gas,-82.78486,PJM_West,NG-CC,37920.0,12594179.9865147,75698540.0549928,MO OPOI
38.57306,9,Existing NG-CC 1029,10.29009166,Existing,Gas,-82.78472,PJM_West,NG-CC,6516.0,2092359.9975746,17713258.291152354,MO OPOI
38.57417,9,Existing NG-CC 1033,6.699543491,Existing,Gas,-82.78389,PJM_West,NG-CC,7998.0,2694209.99715885,14849760.788850488,MO OPOI
38.574305,9,Existing NG-CC 1034,6.741203522,Existing,Gas,-82.78375,PJM_West,NG-CC,40820.0,13809719.9856816,60767357.59761886,MO OPOI
38.57444,9,Existing NG-CC 1032,6.782863554,Existing,Gas,-82.78361,PJM_West,NG-CC,7770.0,2605724.997238875,14540671.523094442,MO OPOI
38.700049,9,Existing Coal 422,41.68817601,Existing,Coal,-83.817613,PJM_West,Coal,7954.702783905631,1943328.6636593975,58418106.43513364,MO OPOI
38.700049,9,Existing Coal 423,45.84847857,Existing,Coal,-83.817613,PJM_West,Coal,9985.491833167138,2838838.0354600553,70108864.74380818,MO OPOI
38.700049,9,Existing Coal 424,39.49324355,Existing,Coal,-83.817613,PJM_West,Coal,11305.620868346155,3238210.9508542963,71209153.71124814,MO OPOI
38.905053,9,Existing Coal 412,92.91355026,Existing,Coal,-84.851009,PJM_West,Coal,4080.0,1013399.9977500001,63644197.41184672,MO OPOI
38.97014,1,Existing NG-CC 1042,1.316939942,Existing,Gas,-78.17795,PJM_AP,NG-CC,35030.71639077603,11468301.092139954,10020330.394238774,MO OPOI
38.97014,1,Existing NG-CC 1043,0.975389303,Existing,Gas,-78.17795,PJM_AP,NG-CC,36295.0,12132049.987266999,7830258.619686983,MO OPOI
38.97014,1,Existing NG-CC 1044,1.269545686,Existing,Gas,-78.17795,PJM_AP,NG-CC,35789.17883911914,11866493.877690734,9939061.49835277,MO OPOI
38.97014,1,Existing NG-CC 1045,1.187291644,Existing,Gas,-78.17795,PJM_AP,NG-CC,91873.5698251888,30316544.62491487,21313773.894137833,MO OPOI
38.9794,9,Existing Coal 435,46.76057225,Existing,Coal,-81.9344,PJM_West,Coal,3873.0856716085627,963740.5590550308,37075136.4231555,MO OPOI
39.0908,9,Existing NG-CC 980,6.740131596,Existing,Gas,-84.8666,PJM_West,NG-CC,7065.23039261609,2375402.1545362556,13171896.989420079,MO OPOI
39.0908,9,Existing NG-CC 981,6.729722522,Existing,Gas,-84.8666,PJM_West,NG-CC,7353.0,2476934.997387975,13713697.677368475,MO OPOI
39.0908,9,Existing NG-CC 982,6.39997462,Existing,Gas,-84.8666,PJM_West,NG-CC,7304.0,2491659.9975017,13119274.989890132,MO OPOI
39.0908,9,Existing NG-CC 983,8.676986998,Existing,Gas,-84.8666,PJM_West,NG-CC,6474.0,2138909.99769675,15268777.301562134,MO OPOI
39.178421,7,Existing NG-CC 69,55.72897316,Existing,Gas,-76.527476,PJM_SMAC,NG-CC,2771.9999999999136,685439.9984344293,27624641.702517405,MO OPOI
39.18717,5,Existing NG-CC 1121,1.480886124,Existing,Gas,-75.49942,PJM_EMAC,NG-CC,29240.763044957665,10558570.209616065,10325660.831161981,MO OPOI
39.18717,5,Existing NG-CC 1122,1.480886124,Existing,Gas,-75.49942,PJM_EMAC,NG-CC,25202.282285606296,9139603.19243131,7998864.052339558,MO OPOI
39.489029,5,Existing NG-CT 157,6.21194926,Existing,Gas,-75.035192,PJM_EMAC,NG-CT,385.0,101199.999791,248777.8607446007,MO OPOI
39.5325,9,Existing NG-CC 986,1.447889442,Existing,Gas,-81.71694,PJM_West,NG-CC,7560.0,2609879.9975094004,3108842.6680495027,MO OPOI
39.53296,9,Existing NG-CC 987,1.418956326,Existing,Gas,-81.71694,PJM_West,NG-CC,32116.220128158235,10971328.040276017,11482609.90508687,MO OPOI
