latitude,status,tech,fuel,node,unit,longitude,ave_marg_damages_isrm_LePeule,zone,Generation (MWh) Unadjusted,Generation (MWh),aq_costs,Specification
41.209797,Existing,Oil,Oil,6,Existing Oil 3,-73.108976,21.94525142,CT,667.8,60101.99999999989,521954.6880102916,MO
41.283997,Existing,Oil,Oil,6,Existing Oil 61,-72.904323,49.37634365,CT,1441.5,129734.99999999977,2535008.388829954,MO
41.2925,Existing,Oil,Oil,6,Existing Oil 1,-72.7942,72.79641688,CT,65.39999999999819,5885.999999999825,169563.97104295605,MO
41.3367,Existing,Oil,Oil,6,Existing Oil 151,-72.02,133.6953449,CT,-2.6645352591003757e-14,-1.1670664434859639e-11,-9.344310685623775e-10,MO
41.3469,Existing,Oil,Oil,6,Existing Oil 155,-72.0411,133.6953449,CT,-3.019806626980426e-14,-1.2296830220748226e-11,-9.97562520503828e-10,MO
41.362778,Existing,Oil,Oil,6,Existing Oil 149,-72.0825,133.6953449,CT,-2.5757174171303632e-14,-1.104005775687255e-11,-8.748863160501296e-10,MO
41.4281,Existing,Oil,Oil,6,Existing Oil 4,-72.1019,131.7203012,CT,293.61750909229215,26425.575818306246,1377464.7448693796,MO
41.554944,Existing,Oil,Oil,6,Existing Oil 7,-72.579075,19.18844466,CT,1299.6877032796635,116971.8932951695,888228.309911795,MO
41.5683,Existing,Oil,Oil,6,Existing Oil 154,-72.2322,133.6953449,CT,-2.5757174171303632e-14,-1.1239897901305078e-11,-9.557230846299232e-10,MO
41.5694,Existing,Oil,Oil,6,Existing Oil 153,-72.1175,133.6953449,CT,-3.108624468950438e-14,-1.309619079847834e-11,-1.1759818894328867e-09,MO
41.7103,Existing,Coal,Coal,8,Existing Coal 29,-71.1931,60.37583423,SEMA,3720.0,370199.9999999994,9130271.503695805,MO
41.7694,Existing,Oil,Oil,8,Existing Oil 27,-70.5097,7.809595005,SEMA,4747.5603458991445,497934.31010409666,1616727.075301738,MO
42.235,Existing,Oil,Oil,8,Existing Oil 37,-70.9672,34.13986798,SEMA,8.100000000000001,728.9999999999987,9849.012379810782,MO
42.336215,Existing,Oil,Oil,4,Existing Oil 35,-73.235486,46.07783098,WCMA,61.199999999999996,5507.99999999999,100435.96961360442,MO
42.4433,Existing,Oil,Oil,4,Existing Oil 31,-73.2058,92.97915266,WCMA,63.300000000000004,5696.99999999999,209621.16058851604,MO
43.0978,Existing,Coal,Coal,2,Existing Coal 46,-70.7842,20.39510344,NH,1048.032169461298,123822.89525151665,1059585.6301521827,MO
43.0978,Existing,Oil,Oil,2,Existing Oil 47,-70.7842,20.39510344,NH,84.8,7631.999999999985,61598.13902898904,MO
43.1,Existing,Oil,Oil,2,Existing Oil 67,-70.790833,13.74748878,NH,1642.0,147779.99999999974,803974.647235337,MO
43.1411,Existing,Coal,Coal,2,Existing Coal 44,-71.4692,105.4654119,NH,1867.0667648971348,203436.0088407417,8988792.314526815,MO
43.1411,Existing,Oil,Oil,2,Existing Oil 45,-71.4692,105.4654119,NH,74.4,6695.999999999989,279465.89504405344,MO
43.7508,Existing,Oil,Oil,1,Existing Oil 17,-70.1567,44.16033273,ME,1674.8039834949514,150732.35851454534,2634159.991503305,MO
