zone,fuel,node,ave_marg_damages_isrm_LePeule,longitude,status,tech,latitude,unit,Generation (MWh) Unadjusted,Generation (MWh),aq_costs,Specification
CT,Oil,6,19.18844466,-72.579075,Existing,Oil,41.554944,Existing Oil 7,1299.6877032796635,116971.8932951695,888228.309911795,MO
CT,Oil,6,21.94525142,-73.108976,Existing,Oil,41.209797,Existing Oil 3,667.8,60101.99999999989,521954.6880102916,MO
CT,Oil,6,49.37634365,-72.904323,Existing,Oil,41.283997,Existing Oil 61,1441.5,129734.99999999977,2535008.388829954,MO
CT,Oil,6,72.79641688,-72.7942,Existing,Oil,41.2925,Existing Oil 1,65.39999999999819,5885.999999999825,169563.97104295605,MO
CT,Oil,6,131.7203012,-72.1019,Existing,Oil,41.4281,Existing Oil 4,293.61750909229215,26425.575818306246,1377464.7448693796,MO
CT,Oil,6,133.6953449,-72.2322,Existing,Oil,41.5683,Existing Oil 154,-2.5757174171303632e-14,-1.1239897901305078e-11,-9.557230846299232e-10,MO
CT,Oil,6,133.6953449,-72.1175,Existing,Oil,41.5694,Existing Oil 153,-3.108624468950438e-14,-1.309619079847834e-11,-1.1759818894328867e-09,MO
CT,Oil,6,133.6953449,-72.0825,Existing,Oil,41.362778,Existing Oil 149,-2.5757174171303632e-14,-1.104005775687255e-11,-8.748863160501296e-10,MO
CT,Oil,6,133.6953449,-72.0411,Existing,Oil,41.3469,Existing Oil 155,-3.019806626980426e-14,-1.2296830220748226e-11,-9.97562520503828e-10,MO
CT,Oil,6,133.6953449,-72.02,Existing,Oil,41.3367,Existing Oil 151,-2.6645352591003757e-14,-1.1670664434859639e-11,-9.344310685623775e-10,MO
ME,Oil,1,44.16033273,-70.1567,Existing,Oil,43.7508,Existing Oil 17,1674.8039834949514,150732.35851454534,2634159.991503305,MO
NH,Coal,2,20.39510344,-70.7842,Existing,Coal,43.0978,Existing Coal 46,1048.032169461298,123822.89525151665,1059585.6301521827,MO
NH,Coal,2,105.4654119,-71.4692,Existing,Coal,43.1411,Existing Coal 44,1867.0667648971348,203436.0088407417,8988792.314526815,MO
NH,Oil,2,13.74748878,-70.790833,Existing,Oil,43.1,Existing Oil 67,1642.0,147779.99999999974,803974.647235337,MO
NH,Oil,2,20.39510344,-70.7842,Existing,Oil,43.0978,Existing Oil 47,84.8,7631.999999999985,61598.13902898904,MO
NH,Oil,2,105.4654119,-71.4692,Existing,Oil,43.1411,Existing Oil 45,74.4,6695.999999999989,279465.89504405344,MO
SEMA,Coal,8,60.37583423,-71.1931,Existing,Coal,41.7103,Existing Coal 29,3720.0,370199.9999999994,9130271.503695805,MO
SEMA,Oil,8,7.809595005,-70.5097,Existing,Oil,41.7694,Existing Oil 27,4747.5603458991445,497934.31010409666,1616727.075301738,MO
SEMA,Oil,8,34.13986798,-70.9672,Existing,Oil,42.235,Existing Oil 37,8.100000000000001,728.9999999999987,9849.012379810782,MO
WCMA,Oil,4,46.07783098,-73.235486,Existing,Oil,42.336215,Existing Oil 35,61.199999999999996,5507.99999999999,100435.96961360442,MO
WCMA,Oil,4,92.97915266,-73.2058,Existing,Oil,42.4433,Existing Oil 31,63.300000000000004,5696.99999999999,209621.16058851604,MO
