node,tech,latitude,zone,unit,status,longitude,fuel,ave_marg_damages_isrm_LePeule,Generation (MWh) Unadjusted,Generation (MWh),aq_costs,Specification
1,NG-CC,38.97014,PJM_AP,Existing NG-CC 1042,Existing,-78.17795,Gas,1.316939942,35700.0,9079699.999999994,7818865.071941527,MO EM190
1,NG-CC,38.97014,PJM_AP,Existing NG-CC 1043,Existing,-78.17795,Gas,0.975389303,35700.0,9079699.999999994,5791028.967646036,MO EM190
1,NG-CC,38.97014,PJM_AP,Existing NG-CC 1044,Existing,-78.17795,Gas,1.269545686,35700.0,9079699.999999994,7537478.441442431,MO EM190
1,NG-CC,38.97014,PJM_AP,Existing NG-CC 1045,Existing,-78.17795,Gas,1.187291644,84798.6,21553619.99999999,15415123.621603614,MO EM190
1,NG-CC,39.8589,PJM_AP,Existing NG-CC 988,Existing,-79.9181,Gas,3.192184906,6438.0,1611239.999999999,4231468.170520255,MO EM190
1,NG-CC,39.85905,PJM_AP,Existing NG-CC 990,Existing,-79.91815,Gas,3.348843429,36401.954028328786,9218265.289065212,20043337.305016804,MO EM190
1,NG-CC,39.8592,PJM_AP,Existing NG-CC 989,Existing,-79.9182,Gas,3.505501953,6090.0,1506839.9999999993,4345704.156485017,MO EM190
1,NG-CC,40.545,PJM_AP,Existing NG-CC 1026,Existing,-79.76917,Gas,11.40922873,4843.0,1145619.9999999995,10753248.383266307,MO EM190
1,NG-CC,40.545,PJM_AP,Existing NG-CC 1027,Existing,-79.76917,Gas,9.758405555,5678.0,1396119.9999999993,11208420.494297408,MO EM190
1,NG-CC,40.545,PJM_AP,Existing NG-CC 1028,Existing,-79.76917,Gas,10.58381714,18900.0,4717999.999999997,32376788.184331764,MO EM190
2,NG-CC,41.37778,PJM_ATSI,Existing NG-CC 1023,Existing,-83.1655,Gas,8.079041113,38689.73208253638,9726493.058157997,47387469.67352283,MO EM190
2,NG-CC,41.37778,PJM_ATSI,Existing NG-CC 1024,Existing,-83.1655,Gas,6.619972007,15844.14757321418,3975237.490693831,17200235.677442666,MO EM190
2,NG-CC,41.37778,PJM_ATSI,Existing NG-CC 1025,Existing,-83.1655,Gas,9.538110219,13658.4,3460127.9999999977,21616932.244490556,MO EM190
3,NG-CC,41.41324667,PJM_COMD,Existing NG-CC 830,Existing,-88.33022667,Gas,13.44148982,7750.0,2741329.9999999986,27319497.915670846,MO EM190
3,NG-CC,41.48058,PJM_COMD,Existing NG-CC 790,Existing,-88.25838,Gas,13.75738347,10098.342872410254,3632702.861723075,41115778.96147447,MO EM190
3,NG-CC,41.48058,PJM_COMD,Existing NG-CC 794,Existing,-88.25838,Gas,13.75738347,14957.083484931578,5305875.045479471,54088054.12062295,MO EM190
3,NG-CC,41.4806,PJM_COMD,Existing NG-CC 791,Existing,-88.25748,Gas,10.95323383,11522.015261668115,4147915.4178921795,37377913.50660287,MO EM190
3,NG-CC,41.4806,PJM_COMD,Existing NG-CC 795,Existing,-88.25748,Gas,10.95323383,16500.0,5919999.999999997,48118738.22015869,MO EM190
3,NG-CC,41.48061,PJM_COMD,Existing NG-CC 792,Existing,-88.25705,Gas,13.69802891,10484.964230149617,3762162.3017031127,42397320.43569613,MO EM190
3,NG-CC,41.48061,PJM_COMD,Existing NG-CC 796,Existing,-88.25705,Gas,13.69802891,15500.0,5482499.999999997,55630781.79603487,MO EM190
3,NG-CC,41.48064,PJM_COMD,Existing NG-CC 793,Existing,-88.25614,Gas,12.27134763,10774.922628962195,3880201.256246181,39173223.90547938,MO EM190
3,NG-CC,41.48064,PJM_COMD,Existing NG-CC 797,Existing,-88.25614,Gas,12.27134763,15868.736988673916,5663509.561999231,51585350.63985632,MO EM190
3,NG-CC,41.71217,PJM_COMD,Existing NG-CC 807,Existing,-90.27933,Gas,7.729298667,28667.559051003896,10277761.470773619,58281002.21088341,MO EM190
3,NG-CC,41.774885,PJM_COMD,Existing NG-CC 801,Existing,-89.6075,Gas,8.098491983,36232.992532895005,13019457.759868493,69798955.53298032,MO EM190
3,NG-CC,41.774885,PJM_COMD,Existing NG-CC 803,Existing,-89.6075,Gas,8.098491983,32996.344044666526,11926922.641139265,59157458.89088961,MO EM190
3,NG-CC,41.774895,PJM_COMD,Existing NG-CC 802,Existing,-89.606175,Gas,8.229878788,35107.83542097445,12607990.626292331,68950059.52281736,MO EM190
3,NG-CC,41.774895,PJM_COMD,Existing NG-CC 804,Existing,-89.606175,Gas,8.229878788,31967.98782077671,11597708.424998224,58696204.259897515,MO EM190
4,Coal,36.86875,PJM_Dom,Existing Coal 468,Existing,-78.70482,Coal,32.19076745,3759.999999999998,827199.9999999992,11652676.007688666,MO EM190
4,Coal,36.86875,PJM_Dom,Existing Coal 469,Existing,-78.70482,Coal,30.66096976,4062.0,893639.9999999995,12132213.824189695,MO EM190
4,NG-CC,36.76479,PJM_Dom,Existing NG-CC 1164,Existing,-77.71313,Gas,3.384191279,43015.7,11717159.999999993,25976106.201449502,MO EM190
4,NG-CC,36.76479,PJM_Dom,Existing NG-CC 1165,Existing,-77.71313,Gas,3.332454903,43015.7,11717159.999999993,25578992.242261227,MO EM190
4,NG-CC,36.76479,PJM_Dom,Existing NG-CC 1166,Existing,-77.71313,Gas,3.506924306,37781.721924283804,10063399.015770812,22602652.83446164,MO EM190
4,NG-CC,36.76479,PJM_Dom,Existing NG-CC 1167,Existing,-77.71313,Gas,3.407856829,107459.69740435388,28876596.72675956,59447302.20382452,MO EM190
4,NG-CC,37.6961,PJM_Dom,Existing NG-CC 1110,Existing,-78.2848,Gas,1.148221329,21470.0,5863399.999999998,4943596.845035735,MO EM190
4,NG-CC,37.6961,PJM_Dom,Existing NG-CC 1111,Existing,-78.2848,Gas,0.910301291,21660.0,5924199.999999998,3964780.1971659814,MO EM190
4,NG-CC,37.6961,PJM_Dom,Existing NG-CC 1112,Existing,-78.2848,Gas,1.02926131,49908.39317921167,13632965.817347726,8597092.208932796,MO EM190
4,NG-CC,37.8669,PJM_Dom,Existing NG-CC 974,Existing,-78.3801,Gas,1.375231631,9798.300000000001,2671325.999999999,3022355.5098237493,MO EM190
4,NG-CC,37.8669,PJM_Dom,Existing NG-CC 975,Existing,-78.3801,Gas,1.766282398,9779.0,2670555.999999999,3880651.4204869657,MO EM190
4,NG-CC,37.8669,PJM_Dom,Existing NG-CC 976,Existing,-78.3801,Gas,1.436337517,10147.199999999999,2775983.9999999986,3280320.4144706987,MO EM190
4,NG-CC,37.8669,PJM_Dom,Existing NG-CC 977,Existing,-78.3801,Gas,1.525950515,67136.0,18354845.999999993,18443225.72038758,MO EM190
4,NG-CC,38.12417,PJM_Dom,Existing NG-CC 768,Existing,-78.2036,Gas,6.747324639,1624.0,416555.99999999977,2312319.3009688617,MO EM190
4,NG-CC,38.12583,PJM_Dom,Existing NG-CC 769,Existing,-78.205,Gas,5.475829282,1624.0,416555.99999999977,1876575.7415009511,MO EM190
4,NG-CC,38.5391,PJM_Dom,Existing NG-CC 379,Existing,-77.2786,Gas,1.86815888,8167.499999999425,2230469.9999998454,3428096.1838520453,MO EM190
4,NG-CC,38.5391,PJM_Dom,Existing NG-CC 380,Existing,-77.2786,Gas,2.331999191,7870.5,2135429.999999999,4096911.0874066893,MO EM190
4,NG-CC,38.5391,PJM_Dom,Existing NG-CC 381,Existing,-77.2786,Gas,2.100079035,43065.46746641756,11747829.589253616,16176625.324657822,MO EM190
4,NG-CT,38.07194,PJM_Dom,Existing NG-CT 567,Existing,-77.51309,Gas,5.234635107,899.3333332,197853.3333039999,523093.8305360334,MO EM190
4,NG-CT,38.07194,PJM_Dom,Existing NG-CT 568,Existing,-77.51309,Gas,5.437898621,893.3333332,196533.3333039999,539780.4360801941,MO EM190
4,NG-CT,38.07194,PJM_Dom,Existing NG-CT 569,Existing,-77.51309,Gas,5.057132318,901.6418544416683,198361.20797716695,506653.2984184307,MO EM190
5,NG-CC,39.18717,PJM_EMAC,Existing NG-CC 1121,Existing,-75.49942,Gas,1.480886124,31845.0,8700439.999999996,8499128.677218324,MO EM190
5,NG-CC,39.18717,PJM_EMAC,Existing NG-CC 1122,Existing,-75.49942,Gas,1.480886124,26075.999999999993,7087259.999999994,6320458.2216233155,MO EM190
5,NG-CC,39.73872,PJM_EMAC,Existing NG-CC 991,Existing,-76.30826,Gas,31.46051817,8249.0,2106319.999999999,47945251.38728776,MO EM190
5,NG-CC,39.73872,PJM_EMAC,Existing NG-CC 992,Existing,-76.30826,Gas,26.96637334,8956.67351972712,2290295.5263126767,44729156.86139689,MO EM190
5,NG-CC,39.73872,PJM_EMAC,Existing NG-CC 993,Existing,-76.30826,Gas,31.14855732,8906.0,2274079.999999999,51250611.61000689,MO EM190
5,NG-CC,39.73872,PJM_EMAC,Existing NG-CC 994,Existing,-76.30826,Gas,29.85848294,21620.0,5685119.999999998,105229826.7898688,MO EM190
5,NG-CC,39.74564767,PJM_EMAC,Existing NG-CC 453,Existing,-75.50444433,Gas,18.39028323,6732.0,1724139.9999999995,26085775.31228012,MO EM190
5,NG-CC,39.74564767,PJM_EMAC,Existing NG-CC 457,Existing,-75.506389,Gas,10.12751862,20008.999999999996,5449179.999999997,40437423.899918884,MO EM190
5,NG-CC,39.806687,PJM_EMAC,Existing NG-CC 1035,Existing,-75.422206,Gas,7.859726755,9680.0,2647039.999999999,17116334.12790365,MO EM190
5,NG-CC,39.806687,PJM_EMAC,Existing NG-CC 1036,Existing,-75.422206,Gas,8.166343395,10048.5,2747807.9999999986,18461068.14467482,MO EM190
